user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
kamal_balaiannnnn,50.0,48.0,2.0,100.0,1077.0,1060-1079,TIMFAKS,-1,54.0,39.0,7.0,100.0
jenzetti,48.0,49.0,3.0,100.0,1359.0,1340-1359,Amisree,-1,48.0,49.0,3.0,100.0
hermar,47.0,51.0,2.0,100.0,1609.0,1600-1619,Rufusikik9999,-1,57.0,36.0,6.0,100.0
HakobN,53.0,43.0,4.0,100.0,2379.0,2360-2379,NikolaDubovik,1,51.0,37.0,12.0,100.0
Castillo123458789102,28.0,65.0,6.0,100.0,1057.0,1040-1059,Bauti_Bomben,-1,45.0,48.0,7.0,100.0
anacondaismypet,48.0,46.0,6.0,100.0,2235.0,2220-2239,LomakinaGV,1,56.0,39.0,4.0,100.0
Julio2019,25.0,73.0,2.0,100.0,1609.0,1600-1619,Remigio2023,-1,44.0,52.0,4.0,100.0
kapri8,61.0,37.0,2.0,100.0,1213.0,1200-1219,ufyljybot,0,48.0,43.0,9.0,100.0
Deku5855,40.0,57.0,2.0,100.0,703.0,700-719,Se1co,-1,42.0,55.0,3.0,100.0
aissik,38.0,54.0,8.0,100.0,1371.0,1360-1379,vladimir_novosibirsk,1,48.0,51.0,1.0,100.0
paulpavlus,32.0,66.0,2.0,100.0,1571.0,1560-1579,rostov555,-1,45.0,52.0,3.0,100.0
Hrishant2610,36.0,63.0,0.0,57.0,1657.0,1640-1659,Amitajoshi,-1,60.0,27.0,12.0,99.0
Arnav1813,54.0,46.0,0.0,100.0,1052.0,1040-1059,SpeedyGonzales978,1,50.0,50.0,0.0,6.0
Dyokoro,39.0,50.0,11.0,100.0,1872.0,1860-1879,cadencedepleutre,-1,42.0,56.0,2.0,100.0
Josef_Otto,40.0,59.0,0.0,66.0,1573.0,1560-1579,Glenallen,1,0.0,100.0,0.0,3.0
CG1974,44.0,55.0,1.0,100.0,1237.0,1220-1239,Guillermodc,-1,44.0,51.0,5.0,100.0
EhsanSarayloo,40.0,50.0,10.0,100.0,2108.0,2100-2119,DAS_2013,-1,44.0,45.0,11.0,100.0
C_rOPb1,38.0,57.0,4.0,100.0,1419.0,1400-1419,duanra92,-1,43.0,51.0,6.0,100.0
CooperPears,38.0,61.0,1.0,100.0,1229.0,1220-1239,diaasc,-1,49.0,51.0,0.0,100.0
kzCTAH,100.0,0.0,0.0,9.0,2179.0,2160-2179,mrmicheas,1,35.0,61.0,3.0,93.0
Hatkekhel,45.0,49.0,6.0,100.0,1170.0,1160-1179,d0216ka,-1,44.0,55.0,1.0,100.0
RamChess1234,40.0,60.0,0.0,15.0,985.0,980-999,Cristianlagos,1,49.0,50.0,1.0,100.0
miwanyat_ko11,49.0,46.0,5.0,100.0,1398.0,1380-1399,NATA15SR,-1,48.0,32.0,20.0,100.0
jvt18,75.0,25.0,0.0,48.0,2306.0,2300-2319,Demoleitor64,-1,42.0,42.0,14.0,21.0
Triple_J,48.0,38.0,14.0,100.0,2366.0,2360-2379,NDOLAONE,-1,51.0,36.0,13.0,100.0
namhoang33,44.0,55.0,0.0,9.0,1642.0,1640-1659,Santiagochacra,-1,50.0,50.0,0.0,6.0
MaZZaY,48.0,48.0,4.0,100.0,1449.0,1440-1459,MOHAMEDDEGHIDY,-1,49.0,46.0,5.0,100.0
whoisvinoth,51.0,43.0,6.0,100.0,1370.0,1360-1379,pabloyanez,-1,54.0,41.0,5.0,100.0
aSd12F13,64.0,28.0,7.0,100.0,2300.0,2280-2299,Maitre_Dechazel,1,40.0,0.0,60.0,15.0
M5ntis,53.0,45.0,2.0,100.0,1482.0,1480-1499,sisyphe1957,-1,41.0,56.0,3.0,100.0
Monarchist1,37.0,49.0,14.0,100.0,2385.0,2380-2399,Argysh,1,56.0,40.0,4.0,100.0
muhammetburakay,57.0,42.0,0.0,100.0,1330.0,1320-1339,El3men2GMObregon,-1,46.0,47.0,7.0,100.0
nadaches,46.0,46.0,8.0,100.0,2092.0,2080-2099,A_Gindinson,1,42.0,50.0,8.0,100.0
WeakSlowandTerrible,45.0,52.0,3.0,100.0,1910.0,1900-1919,TheGuyver,1,50.0,43.0,7.0,100.0
Laut18,46.0,50.0,4.0,100.0,1259.0,1240-1259,pojminka,-1,50.0,46.0,4.0,100.0
SenyaExs27,43.0,54.0,3.0,100.0,2121.0,2120-2139,Dejan_Sevilla,1,47.0,47.0,6.0,100.0
mojojojaab,49.0,40.0,11.0,100.0,1658.0,1640-1659,floatingonclouds,1,36.0,60.0,4.0,75.0
TSrog,45.0,49.0,6.0,100.0,973.0,960-979,areleaf102,-1,47.0,52.0,1.0,100.0
Forgeek,55.0,41.0,4.0,100.0,1093.0,1080-1099,naamiswaan,1,51.0,46.0,3.0,100.0
k04uron,50.0,41.0,8.0,72.0,1260.0,1240-1259,Vasily08,1,0.0,100.0,0.0,6.0
yamucha93,32.0,64.0,4.0,100.0,1489.0,1480-1499,Truckdriver_89,1,44.0,52.0,4.0,100.0
SuperKoolKat,41.0,52.0,7.0,100.0,872.0,860-879,houcemlaw,1,49.0,50.0,1.0,100.0
Cristian_Z,49.0,49.0,2.0,100.0,1305.0,1300-1319,Jim774,-1,47.0,47.0,4.0,69.0
coburg,49.0,49.0,2.0,100.0,1694.0,1680-1699,RohitGuruKhel,-1,44.0,50.0,6.0,100.0
Gorochu23,49.0,51.0,0.0,100.0,2038.0,2020-2039,diman_ufa,1,60.0,35.0,3.0,84.0
vahid0162,43.0,49.0,8.0,100.0,1335.0,1320-1339,amatotoca,-1,45.0,54.0,1.0,100.0
Inkurushio,48.0,42.0,10.0,100.0,2378.0,2360-2379,Ants_Paradise,1,67.0,25.0,8.0,100.0
chessToxico,51.0,44.0,5.0,100.0,2323.0,2320-2339,cmc8d3,-1,38.0,53.0,9.0,100.0
mohamedalaa207,37.0,62.0,0.0,24.0,907.0,900-919,medgarci,-1,33.0,59.0,7.0,81.0
chavete,54.0,46.0,0.0,100.0,1675.0,1660-1679,branka_m,1,44.0,50.0,6.0,100.0
BryandDor,50.0,45.0,5.0,100.0,1835.0,1820-1839,joaquinlespins,1,44.0,51.0,5.0,100.0
Bunnny_123,42.0,57.0,0.0,100.0,1611.0,1600-1619,jaimem1967,-1,49.0,48.0,3.0,100.0
Ismaelfiol,29.0,70.0,0.0,81.0,1365.0,1360-1379,vonguyenanh,-1,20.0,80.0,0.0,5.0
Will_Rock,39.0,56.0,4.0,100.0,1631.0,1620-1639,sonthoha0112,-1,46.0,51.0,3.0,100.0
nijamdeen,53.0,40.0,7.0,100.0,1181.0,1180-1199,MasterGadol,-1,53.0,37.0,10.0,100.0
don13055,53.0,45.0,2.0,100.0,1575.0,1560-1579,Nikolaibis,1,43.0,53.0,4.0,100.0
zizaca,47.0,50.0,3.0,100.0,1672.0,1660-1679,MechantChien,-1,75.0,25.0,0.0,12.0
