user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,blitz_rating
TIMFAKS,54.0,39.0,7.0,100.0,1119.0
Amisree,48.0,49.0,3.0,100.0,1354.0
Rufusikik9999,57.0,36.0,6.0,100.0,1603.0
NikolaDubovik,51.0,37.0,12.0,100.0,2088.0
Bauti_Bomben,45.0,48.0,7.0,100.0,1063.0
LomakinaGV,56.0,39.0,4.0,100.0,2125.0
Remigio2023,44.0,52.0,4.0,100.0,1905.0
ufyljybot,48.0,43.0,9.0,100.0,1366.0
Se1co,42.0,55.0,3.0,100.0,679.0
vladimir_novosibirsk,48.0,51.0,1.0,100.0,1420.0
rostov555,45.0,52.0,3.0,100.0,1644.0
Amitajoshi,60.0,27.0,12.0,99.0,2123.0
SpeedyGonzales978,50.0,50.0,0.0,6.0,1225.0
cadencedepleutre,42.0,56.0,2.0,100.0,1860.0
Glenallen,0.0,100.0,0.0,3.0,785.0
Guillermodc,44.0,51.0,5.0,100.0,1220.0
DAS_2013,44.0,45.0,11.0,100.0,2291.0
duanra92,43.0,51.0,6.0,100.0,1452.0
diaasc,49.0,51.0,0.0,100.0,1298.0
mrmicheas,35.0,61.0,3.0,93.0,1853.0
d0216ka,44.0,55.0,1.0,100.0,1393.0
Cristianlagos,49.0,50.0,1.0,100.0,1191.0
NATA15SR,48.0,32.0,20.0,100.0,1389.0
Demoleitor64,42.0,42.0,14.0,21.0,2163.0
NDOLAONE,51.0,36.0,13.0,100.0,2416.0
Santiagochacra,50.0,50.0,0.0,6.0,1401.0
MOHAMEDDEGHIDY,49.0,46.0,5.0,100.0,1475.0
pabloyanez,54.0,41.0,5.0,100.0,1387.0
Maitre_Dechazel,40.0,0.0,60.0,15.0,1953.0
sisyphe1957,41.0,56.0,3.0,100.0,1390.0
Argysh,56.0,40.0,4.0,100.0,2520.0
El3men2GMObregon,46.0,47.0,7.0,100.0,1385.0
A_Gindinson,42.0,50.0,8.0,100.0,2044.0
TheGuyver,50.0,43.0,7.0,100.0,1875.0
pojminka,50.0,46.0,4.0,100.0,1183.0
Dejan_Sevilla,47.0,47.0,6.0,100.0,2060.0
floatingonclouds,36.0,60.0,4.0,75.0,1640.0
areleaf102,47.0,52.0,1.0,100.0,1011.0
naamiswaan,51.0,46.0,3.0,100.0,1088.0
Vasily08,0.0,100.0,0.0,6.0,1565.0
Truckdriver_89,44.0,52.0,4.0,100.0,1389.0
houcemlaw,49.0,50.0,1.0,100.0,800.0
Jim774,47.0,47.0,4.0,69.0,1677.0
RohitGuruKhel,44.0,50.0,6.0,100.0,1698.0
diman_ufa,60.0,35.0,3.0,84.0,2048.0
amatotoca,45.0,54.0,1.0,100.0,1249.0
Ants_Paradise,67.0,25.0,8.0,100.0,2405.0
cmc8d3,38.0,53.0,9.0,100.0,2332.0
medgarci,33.0,59.0,7.0,81.0,1017.0
branka_m,44.0,50.0,6.0,100.0,1678.0
joaquinlespins,44.0,51.0,5.0,100.0,1885.0
jaimem1967,49.0,48.0,3.0,100.0,1631.0
vonguyenanh,20.0,80.0,0.0,5.0,1406.0
sonthoha0112,46.0,51.0,3.0,100.0,1629.0
MasterGadol,53.0,37.0,10.0,100.0,1338.0
Nikolaibis,43.0,53.0,4.0,100.0,1520.0
MechantChien,75.0,25.0,0.0,12.0,1677.0
ythk,71.0,28.0,0.0,42.0,1295.0
Cubuklu11,55.0,41.0,4.0,100.0,1739.0
iAmRe7,48.0,50.0,2.0,100.0,1259.0
nmithun2013,64.0,35.0,0.0,42.0,1090.0
Andrei1966,47.0,49.0,4.0,100.0,2101.0
remcobrobbel,43.0,56.0,1.0,100.0,1936.0
iam_not_real,66.0,28.0,4.0,63.0,2348.0
