user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,user_op
kamal_balaiannnnn,50.0,48.0,2.0,100.0,1077.0,1060-1079,TIMFAKS
jenzetti,48.0,49.0,3.0,100.0,1359.0,1340-1359,Amisree
hermar,47.0,51.0,2.0,100.0,1609.0,1600-1619,Rufusikik9999
HakobN,53.0,43.0,4.0,100.0,2379.0,2360-2379,NikolaDubovik
Castillo123458789102,28.0,65.0,6.0,100.0,1057.0,1040-1059,Bauti_Bomben
anacondaismypet,48.0,46.0,6.0,100.0,2235.0,2220-2239,LomakinaGV
Julio2019,25.0,73.0,2.0,100.0,1609.0,1600-1619,Remigio2023
kapri8,61.0,37.0,2.0,100.0,1213.0,1200-1219,ufyljybot
Deku5855,40.0,57.0,2.0,100.0,703.0,700-719,Se1co
aissik,38.0,54.0,8.0,100.0,1371.0,1360-1379,vladimir_novosibirsk
paulpavlus,32.0,66.0,2.0,100.0,1571.0,1560-1579,rostov555
Hrishant2610,36.0,63.0,0.0,57.0,1657.0,1640-1659,Amitajoshi
Arnav1813,54.0,46.0,0.0,100.0,1052.0,1040-1059,SpeedyGonzales978
Dyokoro,39.0,50.0,11.0,100.0,1872.0,1860-1879,cadencedepleutre
Josef_Otto,40.0,59.0,0.0,66.0,1573.0,1560-1579,Glenallen
CG1974,44.0,55.0,1.0,100.0,1237.0,1220-1239,Guillermodc
EhsanSarayloo,40.0,50.0,10.0,100.0,2108.0,2100-2119,DAS_2013
C_rOPb1,38.0,57.0,4.0,100.0,1419.0,1400-1419,duanra92
CooperPears,38.0,61.0,1.0,100.0,1229.0,1220-1239,diaasc
kzCTAH,100.0,0.0,0.0,9.0,2179.0,2160-2179,mrmicheas
Hatkekhel,45.0,49.0,6.0,100.0,1170.0,1160-1179,d0216ka
RamChess1234,40.0,60.0,0.0,15.0,985.0,980-999,Cristianlagos
miwanyat_ko11,49.0,46.0,5.0,100.0,1398.0,1380-1399,NATA15SR
jvt18,75.0,25.0,0.0,48.0,2306.0,2300-2319,Demoleitor64
Triple_J,48.0,38.0,14.0,100.0,2366.0,2360-2379,NDOLAONE
namhoang33,44.0,55.0,0.0,9.0,1642.0,1640-1659,Santiagochacra
MaZZaY,48.0,48.0,4.0,100.0,1449.0,1440-1459,MOHAMEDDEGHIDY
whoisvinoth,51.0,43.0,6.0,100.0,1370.0,1360-1379,pabloyanez
aSd12F13,64.0,28.0,7.0,100.0,2300.0,2280-2299,Maitre_Dechazel
M5ntis,53.0,45.0,2.0,100.0,1482.0,1480-1499,sisyphe1957
Monarchist1,37.0,49.0,14.0,100.0,2385.0,2380-2399,Argysh
muhammetburakay,57.0,42.0,0.0,100.0,1330.0,1320-1339,El3men2GMObregon
nadaches,46.0,46.0,8.0,100.0,2092.0,2080-2099,A_Gindinson
WeakSlowandTerrible,45.0,52.0,3.0,100.0,1910.0,1900-1919,TheGuyver
