user_id,is_blitz
Nonsilentgamer,0
durniukas1967,0
Ulf_de_wolf,0
MikeByte,0
krushidozho,0
karam980,0
edwin2023,0
randomusername9,0
mohsam112,0
alireza-ranjbar,0
egenedy97,0
ChessPlayer2134,0
aw123aw,0
MURODILLA2001,0
Vladmira,0
shriyakokkonda,0
xiaqiqi,0
mateowaza2813,0
AHLOKE,0
namkhoanbbl,0
Comtois,0
WolffA24,0
SUSANK9,0
pavlos2,0
VladimirBuev,0
Anvar-1963mir,0
noga_2016,0
ullesweet,0
Cch28,0
Anvarito88,0
omranlovesme,0
Mark_Levitin,0
NafsSays,0
Reubenferns07,0
torrentgirl,0
kingsgambit8,0
victormatrix1983,0
AMRULLAH_CKT,0
rigby002,0
shivakshi31,0
ashhu59,0
von-blutcher,0
shaltaiboltai1,0
siwalej,0
ilicm,0
PinkPawn2013,0
DirecToramk,0
nurdjani,0
Alberto_1234_Ugarte,0
Zeddex,0
PHANTOM13,0
ps75757,0
Mr_Not_So_Great,0
carlsen31carlsen,0
spidergirl,0
Fstyoun2,0
nixurtes,0
TheBuckle,0
SLEFLEUR,0
Winner3077,0
IronMan_Mark85,0
MarcoCid2000,0
Piyush8746,0
Sunjey,0
Prithwitosh,0
imran_mughal2022,0
dturkar,0
Jder12,0
Thevivek11,0
DaRKNickYbLUE,0
eduuduran6,0
UAhmad_05,0
ElDylan,0
FK_Philipp,0
pouriya72,0
Jimenalhv,0
CB_XYZ,0
Zubeyiryokus,0
nomadexpert,0
Corine-sohna,0
Madhu_Gogoi12,0
JonnPaparipa,0
Ehab_Gaber,0
olo21,0
CirujaGourmet,0
Ivette_08,0
eminentia,0
KonKva,0
aaravdashh,0
ponch4k,0
Pioruk,0
Queenstate,0
GrishaGol1,0
EmperorJugo,0
VaMpO,0
Lezin_Semen,0
Carloscelta,0
IamDissappeared,0
rodolfinchiquitin,0
madibi,0
IVI0narch,0
blitzonelove,0
Platon0305,0
skoulas,0
Trololol50,0
dazco,0
Tondano,0
gumanitarij,0
jeremia29,0
Hawkeyewrx,0
BekzatOry,0
Slava19945,0
SHIBAINU19373hj,0
nrassullo17,0
Graythevanity,0
radwanemad,0
edvg,0
Kampu,0
AadiDev2023,0
Gabo2593,0
Renat1997,0
JPDF11,0
mariuszae,0
sergey1_1,0
immotivated,0
Xenexnotfound,0
AnthonyMbrp,0
fun4me,0
KJaashWin,0
padede,0
ThevniK,0
Check_Mater03,0
fanofoxxxymiron,0
Steen_24,0
basing72,0
persiangulf4ever,0
knightyrook19,0
vikashsah,0
rakeshlimbu,0
Chiche_L,0
Franta_p,0
tungnguyen2016,0
REEUQ,0
casperghost,0
khamse57,0
civciv42,0
Krokroa,0
Amateur1446,0
Best-Neighbour,0
Patryk-G,0
Ecclesia_club,0
AbhinavGarg2313114,0
WDan07,0
knarf33,0
ChessGospel,0
PUNISHER_78,0
mirandasavio,0
erenavsar1,0
ego590,0
Rokon02,0
Cmilthon3nriqu3,0
Cheesemate34,0
ojavier16,0
Oshan-I,0
MvHunter008,0
khootech,0
Mookeroo,0
Vicente59,0
Gorbunov_2012,0
Dhruvjaju,0
serge1968-1980,0
ArnavMaurya,0
pratyushkumarmgm,0
Ganvisaju,0
agg144,0
rajeh74,0
VardanLevonyan,0
methreepo,0
XadrezDoTCE,0
Simu49,0
imei9,0
championknight001,0
NikitaChempion,0
Brayola,0
Fohlen1900,0
PavelStruk82,0
king_chess_2,0
IdeafixS,0
MatejDlugos2013,0
KrOOOt459,0
Cat_Chess_7,0
CesarAugust77,0
Zoltankovacs,0
zish0106,0
Spitzmaher,0
CheeeeseMan,0
aahil_haq,0
Ersin_k,0
zts1976,0
jeronimestre,0
Ayeshu,0
Shamil1981,0
atishaycnova,0
Bobj88,0
Alexkhinine,0
Elritorno,0
iandmcelroy,0
HIGHJUMPER65,0
Bulgin,0
Deepak7me,0
Kartikay123,0
FreddyOne,0
smihir6,0
Dima5120,0
hKurt35-5,0
hainam1212,0
LuisOsnayo_UNAP,0
Chemtails,0
Forza_Chess_897,0
Charith2010,0
Yegonator,0
Drafter54,0
antu_S,0
kuhan2015,0
ABU-TALHA,0
PatserFasul,0
Igorij137,0
jayjoshi9676,0
dkdkds,0
BartekGHG,0
IRSID1976,0
SADEGH01,0
Ivannaumo,0
dragondany,0
Timomichelin,0
Raymond_87,0
valmur2323,0
Gofman_geviksman,0
Pamas9,0
yasingeiming,0
IvanOrlov6,0
XXXX9999,0
Baruch49,0
nextwhat,0
khanh_huu,0
KRISHANU-69,0
said_tooba,0
capivaraclasseC,0
DM1978,0
energosvo,0
MarkGnes,0
DenisAhtyrskij,0
MSV1,0
Doibj,0
VincedeTT,0
Gunna228,0
Hamzaoy,0
Mauridestroyer,0
Good_luck1,0
IDontKnowHowToPlay42,0
slimmuffin,0
sumit_b6,0
Anti_statusquo,0
Kingdaniel23,0
sergeimuliar,0
mazen188,0
ExtraToni,0
aslangs01,0
ponpen,0
ksak1293,0
Raphael_Yu,0
TimJanKnows,0
clubcousino,0
the_eska47,0
vvvvv_desikeych,0
Sarminskiy,0
WakeyEmpire,0
Fixlipp,0
hithin_deety,0
aans,0
MTonsy97,0
fandbwelch,0
the_knife,0
AntonSH0404,0
NeZnayKakNazvat,0
Zvez,0
rudrakdhruv,0
S7MASTERS,0
atharvagrawal,0
Sumisiek,0
elOsoYogi,0
chessplayer9030,0
samfuenf,0
Jo_V,0
a4a5d4d5,0
Promethean55,0
mirhasan0110,0
mehehe,0
Nisthur,0
Tolllk,0
Jekan220,0
kakao2582,0
ahmedragab2024,0
Ronaldo_58,0
bahaov,0
DDTMK,0
PAWN_STAR_2013,0
metiomai,0
deepak1870,0
Iopsi,0
purplenga,0
S-I-R_DAdDy-35,0
VOIODYMYR,0
Grully,0
mrpakniyat,0
mukul007,0
Unduhen,0
FajnaFoka,0
daBALYAN8,0
Denis_Shpak,0
SarkarRajAS,0
Se7enSins,0
Vanca93,0
matomic,0
SoulOfAnHerbivore,0
DauntlessChess,0
Giordani,0
bekan,0
Adrenalineni,0
bisinggama,0
pro_atharav6,0
Aravindhrk,0
maling444,0
CooperP20,0
Psytrance2,0
L1stZsz_9,0
strave32,0
Darkcake81,0
Vasyoker,0
xGhxst,0
