user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,user_white_win_rate,user_white_lose_rate,user_white_draw_rate,user_white_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_top_eco,user_second_eco,user_top_winrate_eco,user_second_winrate_eco,user_mate_winrate,user_resign_winrate,user_time_winrate,user_mate_lossrate,user_resign_lossrate,user_time_lossrate,user_average_game_len,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,op_id,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3,game_result
kamal_balaiannnnn,50.0,48.0,2.0,100.0,1077.0,1060-1079,47.692,50.769,1.538,65.0,43.333,55.0,1.667,60.0,C40,C34,B12,A45,0.386,0.439,0.158,0.545,0.167,0.258,367.0,56.63,422.0,1220.0,1205.0,1202.0,TIMFAKS,54.0,39.0,7.0,100.0,1119.0,45.161,48.387,6.452,62.0,47.619,47.619,4.762,63.0,C42,C50,D20,C55,0.379,0.414,0.172,0.433,0.167,0.4,272.0,45.28,1984.0,1412.0,1410.0,1390.0,-1.0
jenzetti,48.0,49.0,3.0,100.0,1359.0,1340-1359,51.562,45.312,3.125,64.0,45.902,54.098,0.0,61.0,C50,B28,A13,C40,0.328,0.475,0.197,0.355,0.29,0.355,388.0,45.0,2010.0,1517.0,1512.0,1500.0,Amisree,48.0,49.0,3.0,100.0,1354.0,56.452,38.71,4.839,62.0,42.857,57.143,0.0,63.0,C41,C23,C20,C01,0.161,0.516,0.242,0.633,0.0,0.35,381.0,78.88,208.0,1460.0,1445.0,1440.0,-1.0
hermar,47.0,51.0,2.0,100.0,1609.0,1600-1619,50.0,48.333,1.667,60.0,44.615,46.154,9.231,65.0,D02,A40,D11,C40,0.271,0.525,0.203,0.203,0.407,0.39,379.0,49.82,1582.0,1729.0,1704.0,1687.0,Rufusikik9999,57.0,36.0,6.0,100.0,1603.0,48.438,45.312,6.25,64.0,50.82,42.623,6.557,61.0,C44,C50,B32,C72,0.355,0.435,0.21,0.327,0.491,0.145,410.0,46.78,1023.0,1624.0,1618.0,1616.0,-1.0
HakobN,53.0,43.0,4.0,100.0,2379.0,2360-2379,59.375,32.812,7.812,64.0,45.902,45.902,8.197,61.0,B23,B00,A02,D04,0.197,0.636,0.167,0.245,0.714,0.041,277.0,46.15,7861.0,2782.0,2665.0,2664.0,NikolaDubovik,51.0,37.0,12.0,100.0,2088.0,50.82,37.705,11.475,61.0,42.188,48.438,9.375,64.0,B00,A02,A00,C31,0.345,0.31,0.293,0.444,0.444,0.111,253.0,47.09,16413.0,2710.0,2700.0,2697.0,1.0
Castillo123458789102,28.0,65.0,6.0,100.0,1057.0,1040-1059,30.357,58.929,10.714,56.0,44.928,44.928,10.145,69.0,B01,A40,A48,A09,0.375,0.375,0.208,0.281,0.547,0.141,329.0,52.74,671.0,1227.0,1216.0,1198.0,Bauti_Bomben,45.0,48.0,7.0,100.0,1063.0,57.143,38.095,4.762,63.0,43.548,50.0,6.452,62.0,C20,C41,C70,B50,0.349,0.302,0.333,0.345,0.418,0.236,358.0,45.23,2899.0,1823.0,1503.0,1456.0,-1.0
anacondaismypet,48.0,46.0,6.0,100.0,2235.0,2220-2239,53.226,38.71,8.065,62.0,53.968,42.857,3.175,63.0,D10,C02,C05,E26,0.179,0.627,0.194,0.216,0.647,0.137,448.0,46.97,799.0,2357.0,2350.0,2340.0,LomakinaGV,56.0,39.0,4.0,100.0,2125.0,60.317,36.508,3.175,63.0,48.387,43.548,8.065,62.0,A05,A04,A00,A45,0.088,0.618,0.279,0.12,0.54,0.34,413.0,45.06,9781.0,2313.0,2309.0,2296.0,1.0
Julio2019,25.0,73.0,2.0,100.0,1609.0,1600-1619,30.159,66.667,3.175,63.0,30.645,69.355,0.0,62.0,D00,B00,D30,A03,0.053,0.211,0.605,0.329,0.447,0.082,290.0,45.05,7457.0,2362.0,2341.0,2327.0,Remigio2023,44.0,52.0,4.0,100.0,1905.0,54.098,36.066,9.836,61.0,48.438,46.875,4.688,64.0,A06,A04,C42,D02,0.266,0.328,0.391,0.077,0.558,0.327,282.0,45.03,10470.0,2524.0,2418.0,2393.0,-1.0
kapri8,61.0,37.0,2.0,100.0,1213.0,1200-1219,57.377,37.705,4.918,61.0,51.562,48.438,0.0,64.0,B01,D00,C02,A03,0.309,0.529,0.132,0.111,0.852,0.019,449.0,45.3,1153.0,1336.0,1323.0,1320.0,ufyljybot,48.0,43.0,9.0,100.0,1366.0,40.678,49.153,10.169,59.0,48.485,43.939,7.576,66.0,D02,C00,A13,C41,0.214,0.518,0.196,0.103,0.397,0.466,495.0,45.08,17543.0,1955.0,1941.0,1929.0,0.0
Deku5855,40.0,57.0,2.0,100.0,703.0,700-719,52.381,47.619,0.0,63.0,43.548,51.613,4.839,62.0,C23,C40,D06,C30,0.233,0.367,0.367,0.403,0.21,0.177,367.0,98.6,281.0,909.0,868.0,857.0,Se1co,42.0,55.0,3.0,100.0,679.0,46.875,50.0,3.125,64.0,32.787,60.656,6.557,61.0,D00,C44,C47,A02,0.32,0.5,0.14,0.58,0.406,0.014,490.0,59.36,215.0,870.0,863.0,835.0,-1.0
aissik,38.0,54.0,8.0,100.0,1371.0,1360-1379,47.619,50.794,1.587,63.0,43.548,48.387,8.065,62.0,C50,C41,C46,D01,0.263,0.491,0.175,0.419,0.565,0.0,290.0,45.02,6388.0,1717.0,1676.0,1654.0,vladimir_novosibirsk,48.0,51.0,1.0,100.0,1420.0,51.562,46.875,1.562,64.0,55.738,39.344,4.918,61.0,B01,C22,B02,A10,0.328,0.448,0.179,0.296,0.519,0.185,395.0,45.11,35793.0,1645.0,1643.0,1633.0,1.0
