user_id,op_id,game_result
Nonsilentgamer,MB2MB,1
durniukas1967,cims,1
Ulf_de_wolf,MSe1,-1
MikeByte,Leszqq,1
krushidozho,nachtschattenlaeufer,1
karam980,BKD_03,-1
edwin2023,jcrobles,1
randomusername9,beh-nam,1
mohsam112,Pomarolaio,-1
alireza-ranjbar,Burnite36,-1
egenedy97,Chrisproking,-1
ChessPlayer2134,Attila-72,-1
aw123aw,Mukii2020,-1
MURODILLA2001,Shidran123,-1
Vladmira,Kasuya0Kiyotaka,1
shriyakokkonda,niteshluce,-1
xiaqiqi,yarenben,1
mateowaza2813,,401
AHLOKE,,401
namkhoanbbl,Vigen_Rshtuni,-1
Comtois,alexia2587,-1
WolffA24,CDUMMY1,1
SUSANK9,JaapJesse,-1
pavlos2,andirin,-1
VladimirBuev,badbadnotgood2,-1
Anvar-1963mir,DrChessWin,1
noga_2016,TimOstapenko,-1
ullesweet,co-lin,1
Cch28,Mau12301,-1
Anvarito88,Black_16,-1
omranlovesme,vmostransistor,-1
Mark_Levitin,evaristom,1
NafsSays,Yuehdddhjcjddp,-1
Reubenferns07,JeremTh,-1
torrentgirl,White_lyt,-1
kingsgambit8,PlatonChess18,1
victormatrix1983,Genvisha,1
AMRULLAH_CKT,,401
rigby002,,401
shivakshi31,Kevleen,1
ashhu59,sagarjaink,-1
von-blutcher,Thalamas,-1
shaltaiboltai1,Szafurski,1
siwalej,JD2024,1
ilicm,Burrisvyviibu,-1
PinkPawn2013,CheckMete,-1
DirecToramk,Nschuen,-1
nurdjani,Zancre5,1
Alberto_1234_Ugarte,mergaly,1
Zeddex,RG1910,1
PHANTOM13,operatorerror,-1
ps75757,Sunisi,1
Mr_Not_So_Great,RichardMat,-1
carlsen31carlsen,radisanz2001,-1
spidergirl,,401
Fstyoun2,,401
nixurtes,nickname_nickname,1
TheBuckle,omergursoy,-1
SLEFLEUR,Annoymous,-1
Winner3077,MataMaster,1
IronMan_Mark85,RussiaAlexander,-1
MarcoCid2000,emadabdbary,1
Piyush8746,chesswin111,-1
Sunjey,icah,-1
Prithwitosh,tuuuur,1
imran_mughal2022,Nasir-Meo,1
dturkar,HR72,-1
Jder12,robbe25,1
Thevivek11,emcconnell,-1
DaRKNickYbLUE,ivasenko,-1
eduuduran6,AVAVAVA,-1
UAhmad_05,mcore1,-1
ElDylan,porkmeat,-1
FK_Philipp,Granjera,-1
pouriya72,lordfeo,1
Jimenalhv,Skulboy,1
CB_XYZ,TheLord17,1
Zubeyiryokus,TITO10,1
nomadexpert,the_krish,1
Corine-sohna,Manox87,-1
Madhu_Gogoi12,Jamboneee,0
JonnPaparipa,sxof,1
Ehab_Gaber,Ever18,-1
olo21,emrahgkbru-3434,-1
CirujaGourmet,yulia545775,1
Ivette_08,ManuAsterion,-1
eminentia,RBS_CHF,-1
KonKva,BaisilSan,-1
aaravdashh,meranachess,-1
ponch4k,mjadidi,-1
Pioruk,Roland_Deschain,1
Queenstate,Xeneize92,-1
GrishaGol1,Rudolfimagaria,-1
EmperorJugo,chaly6_66-6,0
VaMpO,Procyon9,-1
Lezin_Semen,Miro_rakic,-1
Carloscelta,Philidor_Roraima,1
IamDissappeared,aditivasudeva,1
rodolfinchiquitin,Maggtfuito6potpo9v6,1
madibi,pragni,1
IVI0narch,Cumera,-1
blitzonelove,jesselroy99,-1
Platon0305,Pablofr2016,-1
skoulas,Schachspieler32,-1
Trololol50,sasama,-1
dazco,lrawy88,1
Tondano,aquioattack,1
gumanitarij,AdmGeneralAladeen,1
jeremia29,KingsIndianKing,1
Hawkeyewrx,krawos,1
BekzatOry,psico2024,1
Slava19945,Djvaldi,-1
SHIBAINU19373hj,Bogdanmurzin,-1
nrassullo17,RaslGal,1
Graythevanity,Theloweloguy24,-1
radwanemad,ISIDOROBAENA,-1
edvg,boogie_britches,1
Kampu,Stepashka229,1
AadiDev2023,jackyjack27,1
Gabo2593,ezalyalov,-1
Renat1997,Vicious2312,1
JPDF11,marcialbc,-1
mariuszae,abdelli,-1
sergey1_1,Veteran_00,-1
immotivated,akbarzadeh1341,0
Xenexnotfound,ackerman_adi07,-1
AnthonyMbrp,indigenousman,-1
fun4me,IvanMimica,-1
KJaashWin,sharrwenesh,0
padede,julienget,-1
ThevniK,KillerQveen,-1
Check_Mater03,najdat5555557,1
fanofoxxxymiron,sigmabahamoment,-1
Steen_24,johngamer,-1
basing72,Ajesh225,1
persiangulf4ever,Giovanni1945,1
knightyrook19,UrmelBoy,1
vikashsah,echodaisy,1
rakeshlimbu,Rasul_mate,-1
Chiche_L,devaj,-1
Franta_p,jiteshkhemchandani,1
tungnguyen2016,Nowchak,-1
REEUQ,abc31415926535,-1
casperghost,JaneCab,-1
khamse57,ashwinikumar27,1
civciv42,lowerBound3,1
Krokroa,bizarre554,-1
Amateur1446,Abokhamed,-1
Best-Neighbour,alessandrousai,-1
Patryk-G,volker99,1
Ecclesia_club,IdealSheaf,1
AbhinavGarg2313114,DanielCuencaV,-1
WDan07,Pakrovejas69,-1
knarf33,RafaelVinceSu,-1
ChessGospel,nathanielaustin90,-1
PUNISHER_78,fahadsimon4862,-1
mirandasavio,permana_KCI,1
erenavsar1,Sn1perK,-1
ego590,KubgeSevol,0
Rokon02,Jamesbourne,-1
Cmilthon3nriqu3,strom011,1
Cheesemate34,NikolayIgorich,-1
ojavier16,edisondamanik,-1
Oshan-I,midox_x,-1
MvHunter008,msydyka,0
khootech,andreysadikov,-1
Mookeroo,Zoro34,-1
Vicente59,AshtangaRobbie,-1
Gorbunov_2012,ZhabskiyStas,1
Dhruvjaju,Imperial_go,-1
serge1968-1980,balondeoro2024,0
ArnavMaurya,Ammagus,1
pratyushkumarmgm,Kasperbobr,-1
Ganvisaju,savadkp,-1
agg144,old_grandfather,-1
rajeh74,Murheg9999,-1
VardanLevonyan,Kongora,-1
methreepo,arkmcom,-1
XadrezDoTCE,CAP1ST,1
Simu49,Robi123456788,-1
imei9,Notrealgavi74,-1
championknight001,Tucho85,-1
NikitaChempion,xxsergejxx,-1
Brayola,riebisl,1
Fohlen1900,Umuratkali,-1
PavelStruk82,SKUNG,1
king_chess_2,MarlonValde,-1
IdeafixS,tretyacov-59evgeni,-1
MatejDlugos2013,MisterKLI,1
KrOOOt459,Sasha67,1
Cat_Chess_7,M_Asd,1
CesarAugust77,FNajdorf,-1
Zoltankovacs,Maximum1969,0
zish0106,Dassie,-1
Spitzmaher,rushkeldon,1
CheeeeseMan,AmbitiousApathy,-1
aahil_haq,Y-Stanichess,-1
Ersin_k,yperion1,1
zts1976,wankhade1788553,-1
jeronimestre,PaffLeonoz,-1
Ayeshu,ford_zephyr,-1
Shamil1981,Ayo7,1
atishaycnova,Lakmalchess123,-1
Bobj88,Babakoto1971,-1
Alexkhinine,kronosx91,1
Elritorno,Linara100,-1
iandmcelroy,arva10,1
HIGHJUMPER65,Taylqr,-1
Bulgin,johnsalchichon30cm,0
Deepak7me,playnow22,1
Kartikay123,jek65,0
FreddyOne,shahriarkm,-1
smihir6,,401
Dima5120,,401
hKurt35-5,straticulty,-1
hainam1212,avantika_07,1
LuisOsnayo_UNAP,Hulk1983,-1
Chemtails,Busrabatur,1
Forza_Chess_897,,401
Charith2010,,401
Yegonator,Pro199,1
Drafter54,vimol,1
antu_S,Sirenar,-1
kuhan2015,BernsUnicon,-1
ABU-TALHA,centrx,-1
PatserFasul,pankshail,-1
Igorij137,Wael56,1
jayjoshi9676,Roma_Astra_900,-1
dkdkds,voganesyan,-1
BartekGHG,Olexandr_Verbitskyi,-1
IRSID1976,Franciovios,0
SADEGH01,Lucsx,-1
Ivannaumo,ZionKnight,-1
dragondany,farchesszin,1
Timomichelin,Elixir_de_Elysium,1
Raymond_87,Zamazamacheck,-1
valmur2323,Cirov,-1
Gofman_geviksman,mlplider,-1
Pamas9,Flasgordon,1
yasingeiming,tlgkbb,-1
IvanOrlov6,NPXO,-1
XXXX9999,bondlegolas,1
Baruch49,frankrafchess,1
nextwhat,Nadin2025,1
khanh_huu,kratos82,-1
KRISHANU-69,BiG_xAm,1
said_tooba,kalvinsura,-1
capivaraclasseC,paranami,1
DM1978,ddas16,0
energosvo,isawrooka4,-1
MarkGnes,Gelo_MCGCC,-1
DenisAhtyrskij,alfanine,-1
MSV1,Zlata02,1
Doibj,hayek69,-1
VincedeTT,Bulzebub,-1
Gunna228,,401
Hamzaoy,,401
Mauridestroyer,Capa1919,-1
Good_luck1,Asilbek_Rustamov,-1
IDontKnowHowToPlay42,Schackproffsikalmar,-1
slimmuffin,sardar119,-1
sumit_b6,lovesosa300x2,-1
Anti_statusquo,,401
Kingdaniel23,,401
sergeimuliar,Ronak75,-1
mazen188,Xam1988,1
ExtraToni,SEUMAS,1
aslangs01,utyyf,-1
ponpen,policeman7,-1
ksak1293,CzarnyPan420,-1
Raphael_Yu,RaZHaree,1
TimJanKnows,Alexander823,1
clubcousino,Roxman20,1
the_eska47,kaktus88,1
vvvvv_desikeych,Elmir013,0
Sarminskiy,scheuMann,-1
WakeyEmpire,leahgaming,1
Fixlipp,ArthurLoa,1
hithin_deety,eyuploman,-1
aans,Mzy2020,1
MTonsy97,mite_dimov,1
fandbwelch,esvictor,1
the_knife,Nisko1234,1
AntonSH0404,Ennochka,-1
NeZnayKakNazvat,Malaga67,1
Zvez,Ivan_bodrov,1
rudrakdhruv,daYiMukwemba2,-1
S7MASTERS,AyaanAzeem,-1
atharvagrawal,GaFa8,1
Sumisiek,DrTomaszJudym,-1
elOsoYogi,Base_Marambio_2025,-1
chessplayer9030,Suddyga,-1
samfuenf,algomelon,1
Jo_V,,401
a4a5d4d5,,401
Promethean55,Stephen93,-1
mirhasan0110,koehlo13,1
mehehe,chrisotter,1
Nisthur,hhhasan,-1
Tolllk,diingthiong51,-1
Jekan220,mwschmidt75,-1
kakao2582,aneela_hashmi,0
ahmedragab2024,moazahmed2014,1
Ronaldo_58,MZigo,-1
bahaov,pennerswag,1
DDTMK,DexterMorgan7,1
PAWN_STAR_2013,NITIKA_DABI_73,1
metiomai,yassinmnissi,-1
deepak1870,aarohan1234,-1
Iopsi,jainesh123,1
purplenga,Zapatalegrand,-1
S-I-R_DAdDy-35,jobachess,-1
VOIODYMYR,kalouche,-1
Grully,M-sib54,1
mrpakniyat,TigerSiberian69,1
mukul007,CrescentBBS,-1
Unduhen,rogers10,-1
FajnaFoka,rogerbr,-1
daBALYAN8,jb07boom,1
Denis_Shpak,halilasm,-1
SarkarRajAS,w2w2w2w2,1
Se7enSins,jukkat,1
Vanca93,,401
matomic,,401
SoulOfAnHerbivore,,401
DauntlessChess,,401
Giordani,DrAlgernop,-1
bekan,Zaur1999A,1
Adrenalineni,Ako0o0n,1
bisinggama,Urhic,1
pro_atharav6,abhash1207,1
Aravindhrk,,401
maling444,,401
CooperP20,AmazingAashrithX,1
Psytrance2,sjakmatt,-1
L1stZsz_9,Diablo9000,1
strave32,michalskimarcin,1
Darkcake81,canson15,-1
Vasyoker,Zavi77,-1
xGhxst,a11181514,-1
biroa2,Frederico87,-1
MEX_99,TabdulazizT,0
KarlNapf,yazeed_ki,-1
SantiagoXD18,strnccfe,1
rafallbn1981,msk260742,-1
mohamadali4141,serhatsenel,-1
Sboopy,Cakinhasanali64,-1
lSil2ntl,litaylor,-1
Nomerindo,adamik57,1
Miroslav_2015,SAMKUL_5749,1
AnceV,AliseV,1
wapple,chappie1997,1
NoamAterDatz-22,Maxximiro,-1
OXY6EN,Surpresa1975,1
Dr_thunderfire,davidovich_vitaliy,-1
Abdosallam,Kasmot23,1
BeatComber08,vladnik7,1
hussain-ishaq,sievicz,-1
ibrahimov882,Masa77,-1
hamzatabanja,HumptyJackalope,-1
cremant5,SamBott67,1
HD365,Piraveen_20-14,1
Montezuma24,srekjr,1
eibbor,TISPACCO1753,-1
StefanDorin,emi_85,1
manuel2410,kerimkaraman,-1
soytuamigoroberto,,401
Yawi1000,,401
Alex29052018,condor71,-1
DanimalCracker,kov1304,-1
abdalsla,timochak013,-1
BadInfluence96,chs4,-1
equinoxe1818,vkathiresh,1
pEKinEs08,V_vs,1
Basti_Fantasti,y__puhan-2009,1
iamhereforyoubaby,jefflarkin,1
AZLO_1,Txuskito,1
mdaCP,Sergej-78,-1
JesusOC,Mowil,-1
Walsur,Aol_winner,1
Faith_Duhat,Vera2709,-1
ali1626,Klapperzahn,1
mohammadsamni,Dimas_000,-1
Ch_KorkurT,forkmast,-1
itzz_fazl,igormsp,-1
yxkoh,Roso-Roso,0
canata345791,estevaadrian,-1
mhdradi,cfc1905,1
xba369555,Edularra,1
Bolikov_Aleksandr,ahmetulusoyy,-1
Aisuran,One_of_many,-1
baguioasafriend,philip_simon_din,1
TutankamonXXX,edisontorre,1
OncleSi,,401
Nunofurbizniz,,401
KhabirKhan,caltaruts1985,-1
blackjakson,ebrahim_hoseyni,0
palasara,pessimism7904,1
chosenegwim,TekkenJam,1
chessizkool,ugomiller,1
spiderlily8,Dirk_H,1
abhi_ab,Ztromboli,-1
mohammed_kobesi,Hussein20030,1
ChessBishop456,NADHANN,-1
JesusQuispe,ikoime,-1
TomRipple,Alihan50,-1
Igor_and_Shishikin,Ranuzagawa,1
Polynaikes,Anneo,-1
Tandar_best,Aleksandra032,1
silvio1975,Nico_3,1
macaque_i,hamacampos2021,-1
LaFuria,Aguprin,-1
ArsalaLev,Freyerf,-1
ILda50,i_am_frenzy,1
Frogandtoadrfriends,almostunique,-1
StaniclavGol,Luka_mudishev-073,-1
Rigel806,PounrajR,-1
Elik62,Rakesh857,-1
void8,sundog_111,-1
Opossum_Yo,Dvk2002,-1
Therooklift,ata1400,-1
SABBEugeneX,MS1745,-1
Massimissa50,caphornchess,-1
Okky_LCKB,boekanmaster_bts207,-1
David3006miu,Pstv87,-1
parimah_93,MaxSha,-1
Saher_Alheraki16,Dragonchicha,1
Cheens,AA994061973,1
Dinurisp,DLchessMaster123,0
erctal,zev765,1
Mohammedalwazzan,shahezadkhan,-1
juankasfma,BobEsponja-27,1
cartergchess,Luettmannp,-1
Jason_royyyyyy,Dmitry270882,-1
tester72,,401
ismaelmartinez,,401
helloworld33,,401
AidarGasanov,,401
StoneWolf1992,Noelt1977,-1
racnela_br,Holmene,1
billyidolguitar,Yo555,1
GeneralIro,Camentaa,-1
AReallyColdMatty,tizdayen,-1
Black_Rider_841994,aymanchess2011,0
tusharkanojia23,shankervanti,-1
Yezhovskiy,mtashev,1
MightyPotter,Karem_mahmoud2024,-1
angry-grandma,Feri84,-1
lj17_Zolee21,Chri0,1
These_men_are_pawns,GianCarlo79,1
Khez11,albokato,-1
jindsama,ViceGrips,-1
race73,JeanMarcel1990,-1
SHERLOCKEDDDDD,hanianianiani,1
katakuri4life,Shivamwwf,1
peoncaballorey,SALMIn01,-1
rahman13600,ferufo,0
Jasper_0212,Arnavprochessplayer,-1
Ganpy,krithikp,1
Maximfm,nandronikidis,1
koalamouse,Yvonne68,-1
TorresEnSeptima,CoyoteMeister,-1
Migo5703,Putin-Team666,1
barthebarbarian,FatherOfChessGenius,1
titech,savanora,1
DrGregoryHousee,Crazy_damage,1
WhooopsMyBad,Abdullaev1988,1
WB2019,MaxiW2006,0
FrancescoCampo,justbilly,0
Wight-King,LeBandit,1
AnandRex,sadabhau,-1
kaldkdss,mamimetin07,1
duongchimto,Nice_18,-1
neonclouds,Tzoltic72,1
Quvonchbek_7,,401
Fertizis,,401
spartacusmills,Vilgot1,1
jakubkondratiuksp33,st7105,1
lhoelhahaha,GauravSharma_18,-1
lends,MAP16,-1
muhhuzarin2001,ingloriousdaedalist,-1
Alberto50,SMH69ER,-1
BessonovYuriy,joshirahul123,1
steveharmon,Transparently,-1
ramitapio,Pieshka1964,-1
Ozone1,zzmoore,1
JMackenzie,pipavoadora,-1
speedrun63,jasapurba,1
Goldstrid3r,l_o_h,-1
koopa41,akiba66,1
masteralhan,HommeManly,-1
kuzeytatlidil,RajaBasak786,1
DARKPRINCE24245521,Falekine,-1
Rioja47,Raconix,1
Lasnico21,stock_FISHE_lVl_8,1
Linda_66,harryath,-1
da_na,ismael_2106,1
Berkay_Akova_10_9,knighted-srini,-1
ChessOpening14,tonyuquq,-1
Coolansh,aakarshsheth007,-1
Mark11081492,ShAsHaVa,-1
Ctvty,HakimovRH,1
pvpdeajedrezjijij,AE42,1
zSBERz,JazzmanSilver,-1
antonsgau,Gennadiy1958,-1
Chernikov-Miroslav,igumnov1,-1
Lelouch008,Morphy90,-1
EKHdoyle,Petrushka63,-1
Raimon_campeon,bobbystruk,0
StoBodaKatja,,401
Makar_IB,,401
CoronationJr,alibabaa2,-1
philly0505,SRlchess1205,-1
Lyjlyj,Nati-chess,1
PRISaaMKE,SKabra,-1
Vf2805,justengr,1
Cinzia,haygiya,-1
Anatolii1966,Nikolaybp1,-1
bharadwajj1729_v4,,401
wholelottaleverage,,401
eruhan,korji,-1
Saishravan2023,baratasurya,1
Aldim15,astghik55,1
mehmeteyvaz,goword1,1
Gold_0,Leathwaite,-1
alaacherouana,Andreas-AK,1
elphomega,Rsaravanan,-1
ESTRELLASUPER,David121010,-1
AlexeyRos,iTBC,1
Rsuveer,kian1983,1
Rabo-Karabekian,mesdemayo,-1
kanz8o,sravan24059,-1
wwvargas,IceWitch27,-1
SYRIAN11,Armando_Blanco,-1
Rainers2ooo,elputoano,-1
romildojuliano,pauls-paulenius,-1
AnthonyAL,QuarantineFunChess,-1
apelsinkaaaaa,ajimura,-1
Siberkaan,antonio25146,1
KSF04,luismi90,-1
Mantequilla18,mahmod010,-1
morteza13383,emreser,-1
benguela2019,Elevoc,-1
mikidkno,xdemonx,1
Ivan8486,Mehdiii1998,-1
Vecccctor,,401
PrckoNutrient,,401
Gurujithegeat123,Ji-Yooo,-1
misterpaolino,Koenigsspringer56,-1
JoseCamero,DISHONORED4720,-1
manonthem00n,wingsoficarus116,0
Mykull21,AlamoSanAntonio,-1
drkavorkian,arva9999,-1
Karl58,jaimebm,-1
NurseGladys,ynrynl,-1
