user_id,op_id,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_user_blitz_total_games,op_user_best_win_1,op_user_best_win_2,op_user_best_win_3
Nonsilentgamer,MB2MB,1,34.0,61.0,5.0,100.0,510.0,33.333,66.667,0.0,30.0,27.273,72.727,0.0,33.0,D00,A40,A06,A00,0.105,0.579,0.211,0.205,0.75,0.023,197.0,91.25,63.0,829.0,822.0,820.0
durniukas1967,cims,1,65.0,32.0,3.0,100.0,1964.0,37.5,57.143,5.357,56.0,20.29,75.362,4.348,69.0,C23,C24,C25,C69,0.143,0.2,0.543,0.452,0.226,0.274,395.0,75.37,188.0,2041.0,1857.0,1801.0
Ulf_de_wolf,MSe1,-1,52.0,41.0,7.0,100.0,1628.0,44.872,52.564,2.564,78.0,29.787,53.191,17.021,47.0,A01,C00,A13,A16,0.184,0.633,0.184,0.061,0.409,0.5,442.0,79.47,873.0,2293.0,2152.0,2147.0
MikeByte,Leszqq,1,51.0,45.0,4.0,100.0,1873.0,52.459,45.902,1.639,61.0,42.188,53.125,4.688,64.0,B23,B10,E77,C70,0.203,0.627,0.169,0.29,0.629,0.081,388.0,52.89,356.0,2016.0,2005.0,1991.0
krushidozho,nachtschattenlaeufer,1,43.0,51.0,6.0,100.0,842.0,66.667,33.333,0.0,6.0,50.0,50.0,0.0,8.0,A00,B00,A40,D08,0.5,0.125,0.375,0.667,0.333,0.0,313.0,117.26,14.0,848.0,801.0,721.0
karam980,BKD_03,-1,47.0,50.0,3.0,100.0,1748.0,32.0,60.0,8.0,25.0,34.483,58.621,6.897,29.0,B01,D00,B50,C46,0.556,0.333,0.111,0.438,0.188,0.125,342.0,66.51,54.0,1351.0,1066.0,1058.0
edwin2023,jcrobles,1,41.0,56.0,3.0,100.0,1473.0,47.458,50.847,1.695,59.0,63.636,36.364,0.0,66.0,D00,A40,B43,A80,0.443,0.357,0.2,0.426,0.241,0.315,261.0,112.41,587.0,1521.0,1501.0,1500.0
randomusername9,beh-nam,1,50.0,50.0,0.0,100.0,1459.0,44.262,45.902,9.836,61.0,57.812,37.5,4.688,64.0,B00,C21,A04,A53,0.203,0.484,0.312,0.173,0.75,0.038,207.0,50.5,494.0,1518.0,1494.0,1491.0
mohsam112,Pomarolaio,-1,44.0,54.0,2.0,100.0,1720.0,35.484,59.677,4.839,62.0,41.27,52.381,6.349,63.0,D20,D00,D60,A51,0.146,0.625,0.229,0.114,0.671,0.171,387.0,57.97,1814.0,2003.0,1999.0,1988.0
alireza-ranjbar,Burnite36,-1,45.0,48.0,7.0,100.0,1661.0,47.619,47.619,4.762,63.0,51.613,46.774,1.613,62.0,C20,C41,C00,D02,0.161,0.532,0.274,0.356,0.559,0.051,377.0,45.6,8438.0,1884.0,1884.0,1874.0
egenedy97,Chrisproking,-1,40.0,55.0,5.0,100.0,1790.0,25.0,75.0,0.0,4.0,0.0,100.0,0.0,1.0,D00,D05,B09,D05,1.0,0.0,0.0,0.25,0.25,0.5,251.0,390.52,4.0,0.0,0.0,0.0
ChessPlayer2134,Attila-72,-1,46.0,44.0,10.0,100.0,2176.0,70.312,26.562,3.125,64.0,55.738,40.984,3.279,61.0,B01,D02,D01,D05,0.203,0.734,0.063,0.048,0.286,0.643,415.0,67.75,167.0,2266.0,2236.0,2197.0
aw123aw,Mukii2020,-1,37.0,62.0,0.0,87.0,564.0,18.919,78.378,2.703,37.0,24.324,72.973,2.703,37.0,A40,D00,C65,D02,0.312,0.438,0.125,0.732,0.214,0.018,324.0,63.7,70.0,1093.0,903.0,877.0
MURODILLA2001,Shidran123,-1,17.0,82.0,0.0,87.0,1463.0,34.615,46.154,19.231,26.0,38.462,46.154,15.385,26.0,C62,D06,B44,A03,0.211,0.579,0.211,0.375,0.542,0.083,385.0,,,,,
Vladmira,Kasuya0Kiyotaka,1,42.0,57.0,0.0,14.0,1181.0,74.194,19.355,6.452,62.0,58.73,38.095,3.175,63.0,C00,D02,A06,D30,0.289,0.458,0.181,0.222,0.5,0.278,397.0,,,,,
shriyakokkonda,niteshluce,-1,54.0,44.0,2.0,100.0,1526.0,0.0,0.0,0.0,0.0,0.0,66.667,33.333,3.0,D00,C30,D00,C30,0.0,0.0,0.0,0.0,0.0,0.0,58.0,251.28,3.0,0.0,0.0,0.0
xiaqiqi,yarenben,1,51.0,46.0,3.0,100.0,1370.0,30.769,66.154,3.077,65.0,31.667,65.0,3.333,60.0,C50,C00,C01,C64,0.205,0.359,0.256,0.293,0.573,0.085,229.0,52.25,232.0,1994.0,1711.0,1707.0
mateowaza2813,,401,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
AHLOKE,,401,0.0,0.0,0.0,0.0,1500.0,30.435,65.217,4.348,23.0,50.0,50.0,0.0,20.0,D02,A40,C24,C30,0.588,0.176,0.059,0.04,0.76,0.2,205.0,,,,,
namkhoanbbl,Vigen_Rshtuni,-1,53.0,43.0,4.0,100.0,1975.0,55.556,30.159,14.286,63.0,56.452,40.323,3.226,62.0,C50,B18,A34,B15,0.314,0.329,0.343,0.455,0.364,0.136,289.0,59.11,303.0,2247.0,2230.0,2105.0
Comtois,alexia2587,-1,43.0,55.0,2.0,100.0,1803.0,34.375,59.375,6.25,64.0,32.787,67.213,0.0,61.0,B00,B22,C30,A28,0.381,0.5,0.095,0.228,0.684,0.063,264.0,45.8,1472.0,2362.0,2345.0,2301.0
WolffA24,CDUMMY1,1,45.0,48.0,7.0,100.0,1575.0,60.0,40.0,0.0,65.0,53.333,46.667,0.0,60.0,C50,C42,A46,C26,0.324,0.507,0.169,0.167,0.778,0.056,296.0,69.12,183.0,1889.0,1864.0,1853.0
SUSANK9,JaapJesse,-1,56.0,44.0,0.0,100.0,1449.0,28.571,67.857,3.571,28.0,36.667,60.0,3.333,30.0,B01,D00,B20,C20,0.263,0.368,0.368,0.351,0.189,0.432,438.0,79.68,58.0,1589.0,1506.0,1469.0
pavlos2,andirin,-1,54.0,45.0,1.0,100.0,1828.0,39.655,56.897,3.448,58.0,32.836,61.194,5.97,67.0,B10,B23,C10,A40,0.444,0.444,0.089,0.189,0.581,0.23,329.0,46.82,3389.0,2173.0,2078.0,2060.0
VladimirBuev,badbadnotgood2,-1,35.0,65.0,0.0,100.0,1330.0,33.333,53.968,12.698,63.0,45.161,53.226,1.613,62.0,C20,A00,A40,A01,0.245,0.327,0.388,0.537,0.433,0.0,230.0,135.08,4234.0,1971.0,1512.0,1496.0
Anvar-1963mir,DrChessWin,1,45.0,51.0,4.0,100.0,1750.0,51.111,46.667,2.222,45.0,45.455,50.909,3.636,55.0,C00,C02,C10,C13,0.312,0.562,0.125,0.143,0.184,0.653,557.0,82.18,100.0,1978.0,1887.0,1825.0
noga_2016,TimOstapenko,-1,51.0,35.0,14.0,100.0,1461.0,23.81,66.667,9.524,63.0,12.069,74.138,13.793,58.0,nonStandard,D00,A06,C25,0.636,0.136,0.227,0.588,0.318,0.071,353.0,74.11,120.0,1174.0,1132.0,1119.0
ullesweet,co-lin,1,54.0,43.0,3.0,100.0,1663.0,49.123,45.614,5.263,57.0,45.588,51.471,2.941,68.0,B30,B20,B24,E76,0.169,0.661,0.169,0.098,0.639,0.262,499.0,56.45,5464.0,2275.0,2198.0,2193.0
Cch28,Mau12301,-1,36.0,57.0,5.0,19.0,895.0,56.923,41.538,1.538,65.0,46.667,48.333,5.0,60.0,C50,B23,B70,D04,0.215,0.538,0.246,0.232,0.696,0.036,324.0,53.72,5827.0,1495.0,1484.0,1479.0
Anvarito88,Black_16,-1,54.0,43.0,3.0,100.0,1904.0,55.072,34.783,10.145,69.0,46.429,53.571,0.0,56.0,A40,C00,A04,C50,0.078,0.625,0.266,0.204,0.352,0.389,497.0,46.71,2969.0,2165.0,2087.0,2070.0
omranlovesme,vmostransistor,-1,49.0,43.0,8.0,100.0,1873.0,66.667,33.333,0.0,3.0,100.0,0.0,0.0,2.0,A48,D41,C52,A48,0.0,1.0,0.0,0.0,1.0,0.0,416.0,164.36,5.0,1827.0,1685.0,1502.0
