user_id,user_op,game_result,blitz_rating,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
paulpavlus,mrots_tnelis,1,1667.0,68.9,3058.0,1805.0,1794.0,1772.0,38.333,61.667,0.0,60.0,44.615,53.846,1.538,65.0,C50,C44,B20,A22,0.154,0.673,0.154,0.083,0.722,0.194,417.0
Hrishant2610,Morus_rubra,-1,1723.0,47.2,1155.0,1918.0,1839.0,1823.0,52.459,42.623,4.918,61.0,48.438,48.438,3.125,64.0,B30,A40,A05,A00,0.143,0.683,0.143,0.14,0.754,0.105,497.0
Arnav1813,Dieter_Koehler,1,1166.0,49.14,1363.0,1428.0,1360.0,1345.0,40.351,57.895,1.754,57.0,33.824,63.235,2.941,68.0,A04,A07,A96,E62,0.304,0.543,0.13,0.053,0.539,0.408,410.0
Josef_Otto,susytroll,-1,1705.0,45.23,3822.0,1971.0,1926.0,1901.0,54.098,42.623,3.279,61.0,37.5,59.375,3.125,64.0,A40,B30,D38,A85,0.14,0.702,0.158,0.156,0.688,0.156,586.0
Josef_Otto,susytroll,-1,1705.0,45.23,3822.0,1971.0,1926.0,1901.0,54.098,42.623,3.279,61.0,37.5,59.375,3.125,64.0,A40,B30,D38,A85,0.14,0.702,0.158,0.156,0.688,0.156,586.0
kzCTAH,lemalin17,1,2172.0,45.05,49616.0,2494.0,2479.0,2475.0,55.556,38.095,6.349,63.0,48.387,48.387,3.226,62.0,B21,D08,C30,C24,0.185,0.569,0.231,0.185,0.796,0.019,342.0
RamChess1234,Kurban336,-1,1264.0,139.38,980.0,1473.0,1421.0,1417.0,35.484,53.226,11.29,62.0,42.857,50.794,6.349,63.0,A00,C00,A04,A13,0.102,0.653,0.204,0.815,0.077,0.092,626.0
jvt18,Samweiss99,1,2404.0,45.0,8447.0,2703.0,2671.0,2654.0,53.968,39.683,6.349,63.0,50.0,33.871,16.129,62.0,B90,D35,B87,B76,0.138,0.692,0.154,0.283,0.565,0.152,425.0
namhoang33,JorgeLuis_81,-1,1856.0,84.7,4963.0,2319.0,2223.0,2210.0,59.016,39.344,1.639,61.0,46.875,45.312,7.812,64.0,C41,B06,B08,C31,0.212,0.667,0.076,0.208,0.472,0.302,360.0
whoisvinoth,stelmashok,0,1348.0,45.26,2844.0,1561.0,1559.0,1553.0,57.353,38.235,4.412,68.0,35.088,63.158,1.754,57.0,A01,B00,A00,A01,0.271,0.576,0.119,0.403,0.5,0.048,459.0
