user_id,user_op,game_result
bacorr1515,kA-adem06,-1
shivsharma0109,titoamira,-1
pavlfrag,,401
Lakshiv_123,,401
Gatsby29,bty78,1
Delicroma2015,EgorShumilun,1
edua28,karasahin070707,-1
erdbeerchen,grabkoam,1
geraldfernandez17,HeadMadi,-1
SinanTosun55,Liaomin_Tianjin,-1
KNIGHTLOSSEOPHOBIA,syahrul1234,-1
TJ_Woof,Nitishsi7,1
ChessCheens,fneu,1
hug880107,xessmaster2020,1
Hardwired_1018,,401
NotoriousChameleon,,401
IROHphoenix,A_Breen9,1
Oskr27,erkankir,-1
gazikli62,Ali00135,-1
isaac_99,Mustafakabaa,0
LOTHBROK666,kataty,1
RehanP5E2,nik196,-1
VladimirZhuravlev,Abdelrahman979,1
Taicosta,synthCat,1
jasaenzl,watfro874,1
qhDawoud,warash760,-1
a_chess99,RascarKappa49,-1
hahuczkij,ApeTss,1
Franicozzo,Antonio_Policarpo,1
yayuuuhhhh,,401
KINGPRIOM,,401
skatki,Noory87,-1
Guhas1000,Achuthegreat,-1
Nachiket_Paturkar,mara_zul,-1
LeliPol,Sven4657,0
SampuHyde,Q1000,-1
MANDOMan13,ahmad1359,-1
Dannyxr1,skrchessdelhi,1
eduzor,Pm1909,1
FGpaxpYxis,BelkaBelai,0
kob3,jmoo,-1
leethielemier,baselkhalil,-1
Bashevkin7,castleking82,1
pandaha50,,401
dinocup,,401
Calipso1962,Capellannn,-1
kitski69,Casablanca2112,1
Mark140812,Napugayka,-1
eLalcaravAn,Erreburundi,-1
RadojeKrgovic,ton1_mahoni,1
arifhaiqalazman,thrissurthadiyan,-1
En_anjala_macha_ave,alinazavr,0
Zenbty,zefazry,1
KNelli,Luis-Imperator,0
PassedPun,jachess01,0
Moonster,huayra36,0
abeersharma24,ManthanMistry,1
Chessmaker_18102009,SemenPuzyrevsky,-1
tamneck,Limock,-1
CH-189,sibiryakz,-1
Machinetr,chess_e_pinkman,1
younessolgi,Rohannijhawan,1
NamanChesslover,knpchess,-1
combobreaker69,Selantey,-1
phucnguyen3009,XuanDucpro,-1
roma1375,desertmoon,-1
adoneria,BENTLARSENG3,1
mkultyshev,WalidGebril2020,1
jpjoseph,Jats,-1
Vithuna2,SantiRamiQ,-1
vihaanvignesh,Suvarnatechnosoft,1
langtuhungyen,max737021,-1
Teo-fish,Jrawww,-1
sharifzadeh66,janseb29,-1
Santy_GomeZz,Mathius033,-1
RitvikSegan,nazar-arkhypovych,-1
sorkinskiy,jager-meister,-1
E1nherjar,gem1212,1
yusif_2024,SpheSbiya25,-1
bmbng_a,OTBVisualization,-1
Z5_Z5_Z5,affist,-1
Sebenzaprince,kaimba11,-1
a1ashu_30,mehran75723,1
e4e5e4c5,,401
RKNAYAK,,401
Sonapoghosyan,lupshaw,-1
nart22,harrytardas,1
YamanEmirYilmaz,ymrclk04,1
ibadatchesss,maxicampero,-1
alwaysdreamer,,401
ViggoW,,401
AGmedina,ArsMachine14,1
heivapoiry,TwoDollar,1
Disturbed_imba_24,M_hosein,-1
tyum6673,Paran2htus,-1
hoangminhhieu43,sensible_9,-1
Pickle101,Albitrus,-1
sledak2021,theheartsofdarkness,1
curler,sinodAzA,-1
CaramelTastesGood,towago,-1
TameemH,WorldChessChampion_1,1
lakf,ChessStirTime,1
Illuwu,Gandadikusumah,-1
youlostgg,,401
MaratShashkiRus,,401
Anonymous2010_11010,ventvogel,1
FernanfloorealNofake,Schachgame1,-1
vyychy,abdenour1964,1
leflc,HelloKitty898989,-1
SanyaAD,mark_carlsen,-1
Frankokiko11,Chess_King_Artur,1
Myuna,Lorisse53,1
catarata94,backt2play,-1
Balvin69,JORGE_NobleR-84,-1
lsms91,ben-e-whitney,-1
Ildarildarov,Kostya1964,1
llopsa,PKT18,-1
HR1729,nilla_fillet,1
GastonBahamonde,Zolpy,-1
Ffigga,rezakh95,-1
jojojossy,amirh12,1
kabachok7,Abid_123,-1
daeton,sneakpeakii,-1
InverseZottman,Mr_Pini,-1
rospa92,Captainmorgan488,1
Dilmurod05,abumiteb,1
Jemshadow,Dipaolad,1
Ths_7,isco084,1
Ashby646476476,Ameisenforscher,1
LUFFY_UZUMAKI,fighterdevesh,-1
prepare-well,motaz4,-1
volodika83,APA_85,1
loveforwhisky,UberFico,-1
Babbione,Hackintosh98,1
ChrisYoung,Vicrors5,-1
vityaii,,401
rjruiz1416,,401
highlaspd,sandraekaputra,1
TheGreatestowl,ReTewere,-1
Vladimir-ast,PeritusNauta,-1
Cavalier-c7,vlhullier,-1
triplXL,tugaps,0
diabeticdummy,nzn79,-1
AlbinBolle,Mazi_it,1
jasnob,draiochtvisigoth,1
