user_id,user_op,game_result,blitz_rating,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3
MythagoW,barajasFR,1,1153.0,45.08,6590.0,1320.0,1319.0,1316.0
EDDYJAVIERPEREZ,gisu123,-1,1830.0,45.09,2463.0,2015.0,2009.0,2004.0
mallin777,Osiel09,-1,1981.0,45.87,9712.0,2630.0,2588.0,2584.0
Only10plus0,Piyush_Sahoo-1425,1,1154.0,46.34,980.0,1749.0,1689.0,1660.0
q1_Sergey_1,ensenaringlesencasa,-1,1636.0,45.11,926.0,1779.0,1750.0,1750.0
voschessclub1,Aba031,1,1702.0,,,,,
Vincent_Carly,Zappanale,1,1371.0,,,,,
tahaaljahili,,401,1500.0,500.0,0.0,0.0,0.0,0.0
n-r03,,401,1500.0,500.0,0.0,0.0,0.0,0.0
kevo170,boysnake,0,1081.0,45.06,3586.0,1370.0,1301.0,1279.0
kolulu,JohnnyMotionless,1,1552.0,47.56,1715.0,1610.0,1609.0,1607.0
Colorado88,loesantos,-1,1505.0,118.43,19229.0,1551.0,1527.0,1526.0
cactology,Breiss,1,1421.0,45.04,7765.0,1736.0,1730.0,1721.0
Jota_spa,LKsenija,-1,1486.0,45.23,364.0,1803.0,1736.0,1707.0
redhotblazer2609,rocker82,-1,1328.0,51.63,22109.0,1595.0,1564.0,1557.0
Ntsekana,Rolle57,-1,1776.0,45.07,20995.0,2491.0,2490.0,2444.0
Mollenkijker,DSMartin,-1,1836.0,45.11,4669.0,2007.0,1994.0,1993.0
Pawn_Star_Tal,Nik245,1,928.0,45.13,1678.0,1040.0,1032.0,1010.0
Ti-ki_Q,mrk1slota,1,1882.0,54.21,3521.0,2101.0,2085.0,2080.0
bhola55,PepedeHuelva,-1,880.0,45.06,7534.0,1153.0,1151.0,1143.0
Wangster12,Alexficher,1,1811.0,46.31,3060.0,2062.0,2055.0,2049.0
Cadk-Checkers,hof4711,1,1291.0,45.53,1129.0,1570.0,1565.0,1558.0
shahrams,Gilang-pratama,-1,1880.0,45.38,2048.0,2152.0,2105.0,2069.0
tegarirsyadbanned,O-Faktor,-1,1057.0,45.83,2095.0,1546.0,1457.0,1429.0
sarina0001,B_Kepke,-1,1268.0,45.14,2298.0,1491.0,1475.0,1474.0
renan_nls,jokanboka,1,1586.0,45.13,3582.0,2214.0,2163.0,2148.0
paca83,TheOldZomby,-1,1503.0,45.71,1185.0,1801.0,1783.0,1750.0
H9ntox,Ri_MOMO,1,1167.0,45.0,914.0,1355.0,1351.0,1335.0
Mango_Cat,DiscipleSimon,-1,1242.0,45.04,2670.0,1694.0,1641.0,1632.0
jacopo1395,dautov_r,-1,1256.0,69.01,2167.0,1494.0,1368.0,1358.0
fullofgreif,Pal59,-1,994.0,45.01,6563.0,1437.0,1181.0,1164.0
BusWater,matus-a,1,1556.0,45.81,10898.0,1855.0,1851.0,1801.0
ABDOFadeel,chessM1983,-1,1014.0,45.32,5143.0,1241.0,1239.0,1234.0
apple96880,Misha1921,-1,1921.0,45.1,11776.0,2139.0,2122.0,2116.0
KillerB12,hxnnxs,1,1272.0,45.09,2597.0,2336.0,1933.0,1930.0
Nba_joshy,arciom,-1,1253.0,45.13,14679.0,2007.0,1888.0,1741.0
kmarkin,schettert,0,1965.0,45.0,23739.0,2452.0,2373.0,2363.0
Michail1967,mirmed,1,1975.0,45.04,21463.0,2405.0,2345.0,2325.0
bx331,Sprsprspr,1,1526.0,45.35,4835.0,1671.0,1671.0,1660.0
ian-turner,CoraMueveLaCola,1,1169.0,45.01,16758.0,1561.0,1528.0,1527.0
mptsts,M1968,-1,,,,,,
Geoclass96,Karlos6307,-1,1468.0,,,,,
barbodz,yektam4985,-1,910.0,84.73,35.0,1007.0,934.0,931.0
tzanetaras,jmc56es,-1,1144.0,45.01,12922.0,1773.0,1735.0,1727.0
Vurgez,alirezakavosi,-1,1262.0,46.33,845.0,1889.0,1807.0,1754.0
OIGROIG89,Fishbone9,-1,880.0,45.11,1334.0,1076.0,1053.0,1046.0
Rory_Todd,Bhoybl,-1,1668.0,45.05,29608.0,2373.0,2284.0,2262.0
varun_rao,blackbird89,1,1395.0,45.25,1566.0,1487.0,1484.0,1470.0
sasi151988,FAIL79,-1,1514.0,45.0,3353.0,1797.0,1718.0,1705.0
szaszina,Baclanik,-1,943.0,82.94,133.0,1009.0,1005.0,986.0
Tripp1982,diegobx0,-1,1097.0,214.22,6.0,0.0,0.0,0.0
ALEKC1976,Es13271349,1,1528.0,45.06,26861.0,2131.0,2121.0,2114.0
Sobhy022,davelim2901,1,1329.0,51.05,487.0,1437.0,1422.0,1408.0
