user_id,user_op,game_result,blitz_rating
paulpavlus,mrots_tnelis,1,1667.0
Hrishant2610,Morus_rubra,-1,1723.0
Arnav1813,Dieter_Koehler,1,1166.0
Josef_Otto,susytroll,-1,1705.0
Josef_Otto,susytroll,-1,1705.0
kzCTAH,lemalin17,1,2172.0
RamChess1234,Kurban336,-1,1264.0
jvt18,Samweiss99,1,2404.0
namhoang33,JorgeLuis_81,-1,1856.0
whoisvinoth,stelmashok,0,1348.0
aSd12F13,olotu,1,1513.0
k04uron,DanielPerotti,1,1263.0
Cristian_Z,walter_43,1,1199.0
Gorochu23,MISTERCHUK22A,1,1913.0
mohamedalaa207,Maxuta2013,1,709.0
BryandDor,olwan12,-1,1953.0
Ismaelfiol,alancomplet,1,1313.0
elvergalarg,Railandersson,1,1678.0
GozziFrank,findus_1,-1,1282.0
Pag_Tokef,dimdumup321,-1,1201.0
EmilEkholm02,,401,1500.0
groovechesster,,401,1500.0
SamihDiDi,Yassin_abdo,-1,1564.0
ilcheetah,PAYDAR32,-1,1559.0
MohamedBakr12,Adam_Ismail3,-1,2004.0
Ankit_undefeated,babouski,0,1602.0
Ostia1948,mmode,-1,1639.0
TorontoBlueJays,MakeAWish55,-1,1954.0
Kloudzz,Dimasik24,-1,1741.0
Waterman1970,disara,1,2055.0
mwilkes510,SACRECEUR,1,1432.0
VovaZubairov,dgrechin,-1,1422.0
Gazzaeva-Liyana_2,Chess_Go-Samara,1,2356.0
Gorki69,mobin74,1,1732.0
greshchess,TakezoKensei,-1,765.0
redexplosions,BBcherie,1,1739.0
OISMJ-Harshali,Heisenberg6403,-1,851.0
Manasaap,abde_rmc,-1,860.0
Anrihard,psp2108,-1,1372.0
MN_Galao,dGonzo,-1,1937.0
YuryLobov36,cvomake,1,1907.0
dptydog,EldoradoSun,-1,1448.0
AlbertoX,matheusbnas,1,1278.0
ChessWorldChampion_1,leviatanmagic,-1,2209.0
karomur,Pacositeb,-1,924.0
NkChessTienNam,thki,-1,1948.0
joelsterki,AlejandroDeArmas,1,1208.0
tuhermana123,ntoc1999,0,1457.0
Sultan_IDFC,Rus10,1,1241.0
amihai,talhatartici,-1,1306.0
Kramit54321,EnchantingMajor,-1,1201.0
avemaria2025,old_grandfather,-1,2483.0
AlexeyOrehov,greenmate,1,1933.0
chchchchchchhc,xjoufix84,-1,983.0
solid-pawn13,ayax75,1,1599.0
Dani2514,Bradyaga14,1,1073.0
jairoperez30,alfons2018,-1,1339.0
Dajea,Toponet9952,-1,1881.0
Huckushi,jesskinny,-1,1386.0
gondor110,ALEXANDR_M13,1,1289.0
bl4ckeagle10,shurido,-1,964.0
manthanchachar,L4gfx,1,1040.0
