user_id,user_op,game_result,blitz_rating,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
bacorr1515,kA-adem06,-1,1744.0,110.25,4635.0,2366.0,2264.0,2262.0,46.032,47.619,6.349,63.0,54.839,38.71,6.452,62.0,B30,C41,D30,D07,0.238,0.46,0.238,0.315,0.352,0.296,412.0
shivsharma0109,titoamira,-1,1403.0,45.12,11424.0,1711.0,1688.0,1684.0,40.323,54.839,4.839,62.0,53.968,44.444,1.587,63.0,C23,C50,C37,B02,0.186,0.729,0.068,0.419,0.435,0.081,528.0
pavlfrag,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lakshiv_123,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gatsby29,bty78,1,2281.0,45.01,3087.0,2494.0,2453.0,2440.0,46.774,45.161,8.065,62.0,39.683,47.619,12.698,63.0,A45,B02,E76,A10,0.074,0.556,0.37,0.276,0.638,0.069,273.0
Delicroma2015,EgorShumilun,1,729.0,127.02,34.0,916.0,745.0,722.0,36.842,52.632,10.526,19.0,31.25,56.25,12.5,16.0,D00,D01,D04,C60,0.583,0.167,0.083,0.632,0.158,0.158,428.0
edua28,karasahin070707,-1,984.0,45.1,542.0,1331.0,1177.0,1147.0,55.738,40.984,3.279,61.0,37.5,56.25,6.25,64.0,C47,B00,C30,A20,0.414,0.276,0.259,0.459,0.148,0.295,355.0
erdbeerchen,grabkoam,1,1821.0,45.07,7260.0,1978.0,1966.0,1963.0,42.857,55.556,1.587,63.0,48.387,51.613,0.0,62.0,C00,A04,A46,C40,0.263,0.404,0.333,0.209,0.582,0.164,244.0
geraldfernandez17,HeadMadi,-1,1531.0,51.18,892.0,2183.0,2114.0,2087.0,44.262,50.82,4.918,61.0,45.312,53.125,1.562,64.0,C50,nonStandard,B06,B12,0.321,0.393,0.286,0.338,0.6,0.031,295.0
SinanTosun55,Liaomin_Tianjin,-1,1565.0,45.25,842.0,2179.0,2129.0,2083.0,53.226,43.548,3.226,62.0,38.095,58.73,3.175,63.0,A40,D00,B15,A45,0.509,0.439,0.053,0.234,0.172,0.594,254.0
KNIGHTLOSSEOPHOBIA,syahrul1234,-1,1542.0,53.02,375.0,1654.0,1607.0,1606.0,51.562,43.75,4.688,64.0,52.459,40.984,6.557,61.0,A40,A00,C10,D30,0.231,0.6,0.138,0.17,0.434,0.245,354.0
TJ_Woof,Nitishsi7,1,802.0,136.85,7.0,0.0,0.0,0.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,4.0,C47,D00,C47,D00,0.0,0.0,0.0,0.286,0.286,0.429,352.0
ChessCheens,fneu,1,1393.0,45.1,4569.0,1676.0,1562.0,1543.0,42.857,53.968,3.175,63.0,50.0,46.774,3.226,62.0,A04,A06,B27,A46,0.224,0.534,0.207,0.429,0.429,0.111,322.0
hug880107,xessmaster2020,1,2147.0,45.32,6620.0,2373.0,2366.0,2362.0,50.0,43.548,6.452,62.0,39.683,50.794,9.524,63.0,C67,C54,C47,E65,0.107,0.732,0.161,0.119,0.593,0.288,436.0
