user_id,is_blitz
Mendee123,1
illgil,1
Alex_314,1
biniamd,1
pjajcikm,1
Peuplier,1
jaspreet08,1
odenkouzuki,1
ApostolicPentecostal,1
almoulim,1
ersh79,1
oryzal,1
En4road,1
eri92,1
Teni24,1
Himgautam,1
erkan3838,1
WeisseFeder,1
mythicapplsauce,1
ZuluWanati,1
Avetiq,1
Zaratustra10,1
vishyhemu143,1
Jonathan23v,1
south-west3791,1
MasterAndrey,1
Gamzat1990,1
zivkovi,1
Md_naveed,1
dasha2009krag,1
Nalro1818,1
Kolia0011,1
KHALID_23,1
fabibi_b,1
Baukuna,1
G5353,1
SLaNiks,1
ozlan,1
Mahdie21,1
Suidecide,1
chitima,1
sumeyye_13,1
chicagoss96,1
dagnasty,1
dexterashish,1
casper751,1
SiegbertJohann,1
RomanK1,1
Hikmatullo,1
Juhuelma,1
jhusmith,1
olivierCrolles,1
TOXED,1
Hamed2018,1
Jonsey357,1
Bashi_Alicia,1
chachach,1
OLEGKOLOKOL,1
roma18894,1
feborba,1
cramis12345,1
Risky_Fellow,1
Drew901,1
Novichok_from_KGB,1
Gwynwed,1
tdk1977,1
dr54,1
yusefmhg,1
Chimmzy,1
richarnt,1
TheKingslayer57,1
moh-kaya1,1
Leoinus88,1
AN-DR-ES-F,1
gyana,1
bangpul,1
Arif158,1
damirlina,1
AgustinNieto10,1
McCarrylord,1
PMBendix,1
BTP_forever,1
mdaraJoe,1
phil03,1
shtz45,1
Floyd22,1
schachjoni,1
GoodUse,1
EJLIGAS05,1
Gnojniy1312,1
Tmior,1
africarlos,1
Fischer44344,1
Ronald84,1
Danzzy,1
Skazobrain,1
sergluck,1
nalzam,1
Mandlatedji,1
Dashima,1
EvestVP26,1
MatthewIsLazy,1
mosa1979,1
TrustNgoniMabaya,1
mariolino002,1
martinthe3d,1
velours,1
z_WaTcher,1
manoprag,1
JHasselDarm,1
Jorgeguma89,1
Imhotep56,1
Alex-porus,1
tazagachoo,1
ApoloBurbu,1
HXIX,1
BETEP_C_BOCTOKA,1
PKMAIL,1
Stillspace,1
GrozniyBuryat,1
MohamedGamaleldin,1
Thalyaavila97,1
zluta,1
Indhu_21,1
zpgs,1
FADELEDRIDI,1
Pagan58,1
chessorsex,1
Dybamo,1
Axon99,1
sagekingberry,1
jojozaragosa,1
harnioff,1
hamdollahzadehhadi,1
KoningEric,1
YoryV1,1
Dandelion_0,1
nyamzi23,1
tornikela,1
Gazzerim,1
HeribertoYo,1
GregorioGarcia,1
joister767,1
Ytahaf,1
cojle63,1
CrocoDan,1
bonganihlatshwayo,1
Nhoi_Uragon,1
Entrafurando,1
Soulkeeper450,1
Khaled_9393,1
TigrAkir,1
Kapoor30,1
AlexVN20,1
Sportingerke,1
mahmoud9955,1
Shaniks,1
Blindguardian_1,1
Samira232,1
abokroooom,1
relexion03,1
MohamedZalt,1
Dacara76,1
Lucifer_cahill,1
zoghlami_jawher,1
tom_leonhardt,1
SOFIA_TERRADEZ,1
atajan,1
Van_Motman,1
nagibatorsanya,1
maczuklic,1
Vin_ho,1
loklyal,1
KORSAKOV1987,1
alwaysretweet,1
Guillaume-von-doom,1
MarcXIII,1
stumacher,1
timur_zeinel,1
ihsan007,1
kj_9,1
MajeEnder,1
dedeus29,1
Mugiwara_ya_ya,1
mdenaitulhoque,1
DavidjoeN,1
DanOrFik,1
HomoSapiensDenisova,1
Tdhn98,1
sylwesterz,1
nevsky77,1
VNogueira77,1
blackforesthorn,1
Nomadeninja,1
chessforall5,1
codeg,1
Pranavvs,1
ahmed-atwa50,1
NayanPandey,1
Jiang1,1
proudlondonhater,1
mousebreak,1
Empirialchess,1
asfouribrahim,1
Oleg_Papayan,1
madhav_hassija,1
Ivan2389,1
mog_sakhaei,1
Rwon20,1
yesyesyow,1
janpapao,1
FalconJab,1
longissor53,1
dramas,1
RG1910,1
hishammmm,1
Becafoin17,1
Sinane,1
jacobramsey,1
THE_GR8_SOMME,1
SergeBlue,1
fajomu,1
REX-FUEGO,1
Alokkr17118,1
sspbchess,1
silence-killer,1
remtene,1
claedo,1
skritsky,1
AlvinCapon34,1
berlin206,1
JoseLuis_Uribe_UTP,1
dudosoaspecto,1
mcangelo,1
Alkmaar,1
Ahmed_Selim93,1
dagland,1
lidiaagp,1
Rodaknight,1
Shakandis,1
Tibibo,1
hrngrl,1
Morgan_03x,1
mbcymbals,1
Kokenhof,1
sangeeth22,1
RusitoMexicano,1
gomiey,1
Marthe88,1
donbolomr,1
gnoss09,1
kaliMator2011,1
kriti_2016,1
MeysamT10,1
Jumanji_i,1
York1963,1
Mikhail_Morphy,1
zaki-77,1
peyper,1
grews77,1
NoDraw2021,1
samewu,1
Animechessadict,1
Pico_75_92,1
MichaelReds,1
OmiCapivara,1
Quitooo95,1
u-u-u-u,1
ebenezar,1
Kaanerturk1,1
Meroket,1
Alsace2020,1
Denis_173,1
David2Dk,1
fyodor_b,1
redlad21,1
hesham36312,1
yuvraj2306,1
agisaka,1
staika,1
dgh05ahs,1
famr,1
Vegas44,1
VEDANT_25,1
tomtarna,1
cartoonmnyama,1
mohammedmousa2023,1
Collinsehis,1
a3xar,1
Viacheslav999,1
Antonio1024,1
Latinza,1
matheusgrazi,1
sakriputus3,1
astrid_guth,1
LTFCYBER,1
wylyes,1
redjeb,1
Ab09127140267,1
mmh123,1
joelhrc5,1
ram_8,1
FischersigloXXI,1
DJSale,1
Aethelbert5,1
KL4VR,1
saintdoc,1
fake137,1
rico7979,1
sagor5453678,1
leddcasis,1
AJESHPANWAR,1
maxtilford,1
naveencp,1
kaleesubhjbb,1
Cwrong,1
CountVlad,1
simosanada,1
UglyWeakBoy,1
duleyo,1
koresh33333,1
Docoe89,1
yourturnsir,1
phurmos,1
Ubinio,1
simond90,1
jedi_11,1
Alberto_Duprr,1
insidz99,1
maxmaya,1
domahony,1
GoshX,1
Ferdz23,1
marius-za,1
DancinDog,1
beto55,1
bowyer,1
OmarAnssary,1
aleinaf,1
rovespieros_1789,1
Cygnus_88,1
sa1ama,1
tigre_1968,1
amiralit_91,1
AquariusAquarius,1
Pebchem,1
slavyn81,1
Cataklysme007,1
CELENGGULING,1
acemage82,1
aescudero32,1
ce31,1
Yehia_ElNashar106,1
Farzanenazari,1
klepilini,1
Buda1967,1
gabi2004,1
Sonhamle7,1
Facundox7x7,1
LawrenceK1ng,1
Neeleshm,1
galpet,1
BrianGinsberg,1
Barca10roni1,1
Taccura,1
Binara_MC,1
TroutHunter,1
CharlySunday,1
BeshenayaPehska,1
Czid,1
facunet,1
Bootchun,1
K076Lungani,1
LAV-U,1
knyazkratok,1
Petma,1
Maria_Sok,1
farshad777,1
nhlm_777,1
slad,1
Demifacto,1
the_paradox_1729,1
Wimvdvelden,1
rayposta,1
InflameSG,1
uknown_user007,1
Peter383,1
SoheiliM,1
marsianinme,1
richdaly,1
Artem-Legenda,1
nima1010,1
gugaglonti,1
spiroulla,1
armando-pelayo,1
shankar97,1
Spanish_Giri,1
Sjb999,1
Advait0722,1
koki101,1
le_mozart_des_echecs,1
Paffins,1
Leandroverea,1
dmw101,1
Malireza2400,1
Dove_1ne,1
EmmVen,1
raga00,1
timdelawe,1
dutyedimduttubeni12,1
CARL0S_MAGNUSSEN,1
jesusmz69,1
UnBeMa,1
VeganMU,1
srinikrishnan,1
Max_Blunders,1
Ahmed024,1
Nizar_Morphy,1
KotalI,1
Rafinsky11,1
Aslan_9,1
seaj10,1
IUmedic,1
Nauka_gry,1
vladimirenderov,1
Tilman1,1
muzffer,1
Kingjoe59,1
Kk86163,1
Jorgeblumen,1
sindrehb,1
naisalb,1
Kopella,1
SURIK,1
Chetrange,1
nradoicic,1
KingFuru,1
taltullll,1
pedro7heredia,1
mmer2017,1
Deductive_Thinker,1
Eduard-12,1
shelby_kin,1
Gaby2014,1
Prajwal7868,1
MunsenMuntz,1
Sr-Inc,1
AntonSpagn,1
CrashRadio,1
uglyface,1
kui101,1
Sakr2010,1
Dzenda808,1
Dhalal,1
col_slade,1
Ibrahimbagceci,1
hermandg,1
drsoji,1
ZyTsU1,1
GrinMaksimUAVR,1
AperturaEscocesa,1
LucasSilveiraBrazil,1
Ssr74,1
klausi187,1
Baldwin_iv4,1
poisonivysart,1
sandymisra,1
BokoFittleworth,1
jxxvydjskKBSVSHZIS,1
szoern,1
davidbeloved,1
abu254,1
ballingwood,1
ahmad_abel_yusuf_SCI,1
whatscookin69,1
WFPB,1
calcu_later,1
IntingYasuo,1
nikkocomla95,1
MarcialPedrero,1
bi0nique,1
Svetoslav_pr,1
Bairamuk,1
mostafa_mashaly,1
Awais07,1
SCNco,1
avocadik55,1
alex4aprile,1
Pudelizm,1
cesur36,1
Fontanellean,1
An4152crazy4this,1
MarkVADOR,1
TheHouseEmlak,1
filthygimp,1
Rohith_limitless,1
drian21,1
alireza1365,1
Werka201,1
MikelAsesino69,1
forallthedogs100,1
OPV16,1
Eniqma,1
Gransiurell,1
Tolah,1
shalin,1
mercychess,1
SMPCHESSGOD,1
kafili5000,1
wonabaq,1
andrea238,1
Bogol,1
darbz77,1
sebastian18,1
gevorg123456,1
Kipnip,1
Derf2Gre,1
jarko_orion_broz,1
mohammadFiore,1
ZiXor,1
Prince_zr,1
Auwal,1
Apatar_MCS,1
destapr,1
Drgtt,1
Tschucklo,1
resan1927,1
Kitain,1
PRANU31RULZ,1
dolomiti70,1
Facon0622,1
jboez57,1
JuergenDZ,1
AndriiPikalov,1
oddswapper,1
KirillAksenov,1
mliyby,1
pro_uzair,1
rsk2004,1
Luispinacv,1
SashaYlavaara,1
Infinitymagrochess,1
Ili24,1
MasterBararung_23,1
nyomtato,1
ByronwithdaIron,1
MahmutAzur21,1
Judoman,1
teska88,1
adrit1996,1
NewProvidenceChess,1
PHOENIXALPHA,1
uzmann,1
Leonid385,1
FredFaraday,1
Can_Tasyapan,1
BoogiesBro08,1
dadbodomega,1
Cafu3,1
SHAWN_TT,1
nicolas3434,1
TariqKhan123,1
serenerg,1
adilknight,1
tanish_j,1
ASSTASEN,1
Giorg12,1
Qwsxf,1
deleokomo,1
chikki_pikki,1
josefortunato1964,1
Slava50,1
spiilia,1
Bigstu23,1
baby-shark1970,1
Quallenfenger,1
atulnath,1
Pescerosso01,1
PsyGoga,1
Leosinho,1
imadsaa,1
bmoslo,1
DmitriiTsar,1
mmd4804,1
DrSinann,1
LaFurstemberg,1
Anton100300,1
Qchip,1
Brisavion,1
Matvey536,1
shajahanbd,1
Aslan0997,1
Anfest,1
RaihaneRey,1
Romario1991,1
Bukin_Aleksandr,1
Darkenrot,1
ErikHSHL,1
Ybarsnac,1
KPACHODAP,1
Marova5,1
almeidawalter,1
Lesnoechudovishe,1
Mohammed_6767,1
pablosaya,1
Neueinsteigerin,1
davidcanet,1
Ishero,1
Matholomous,1
Berhane69,1
serg625,1
Patrik_Springare,1
deeper_darker,1
ajdar025,1
Malyavko,1
admin112,1
NirajtheDruidGuy,1
koslaba,1
SchwerzTal,1
cynky,1
OmarAthi,1
Garagenpunk,1
samasoni,1
Yousefyjjjjjj,1
tytbiton,1
BrunoHagever,1
lbordes,1
graaant,1
BarkeepBear,1
Dukagjin1,1
kazackov,1
steviin,1
CzarnyPan420,1
Yeyo5724,1
Lucas_Gon,1
symentic,1
SuperMercado,1
leventovski,1
Martsenko_Vitaliy,1
CreativCraft,1
Thanruli2012,1
DanielGonzalez83,1
Tchemr,1
mehmetselim321,1
ArturoPisani,1
CFTdosang2013,1
Derrick-2012-dsg,1
TaskerBliss,1
BorisVaps2017,1
Shivanisajith,1
Ilichrich,1
svetly79,1
Clark1994,1
RealMaxie,1
zwizenzug69,1
iamawk,1
manish606,1
overhet00,1
joseMF,1
DavidWag13,1
Messi_01,1
AIDOS_MAGRAMOV,1
GMKopanolvsky,1
DanCheess,1
Sandy27,1
bebra2101,1
tritonyeah666,1
boulziboulz,1
brianheno,1
Wolkhard,1
Groowl,1
Hummer707,1
Moe_dian,1
scottfine,1
chessmayhem4,1
Alex13_2,1
gigiproiettili1,1
Cahuba,1
DonPatzo,1
mahesh2222,1
mahirrrrrrr,1
kemz,1
Blooody11,1
J_Carlos41,1
omaraboushady,1
stoemn,1
serkankorn,1
Abdrev,1
gggDAD,1
Nautilus_20,1
Salarin_Trauerweide,1
MCBogdan,1
ahadjon_1345,1
Maxim104k,1
Tmannion,1
suryono,1
cxlxred,1
OscarBCN,1
BennyB_85,1
Julioo11,1
gsululu,1
vikrantkumarnag,1
yaseralhmsy,1
Saidbir83,1
Hermau,1
hazard-draxler,1
P00i,1
Paddlepop19,1
Zen361,1
vsablin,1
Rigpaaa,1
roymirza,1
BWR23,1
neonbrandy,1
Yall65,1
etwepa,1
ajp_2121,1
kasinihi06052018,1
chessbeginner1915,1
slippper,1
Killbill82,1
Beerchess701,1
danivi87,1
ariefirman,1
sinanakinal,1
bakaldineu,1
Ryou_Chess,1
thomasmuller,1
GlukMailRu,1
kreuselbart,1
MagicznyKrzysztof,1
dzhrt,1
ancalagon2O,1
