Unnamed: 0,user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,op_id,game_result,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,op_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3,is_blitz
2225,Panguinoso,85.0,14.0,0.0,21.0,1774.0,1760-1779,iafsalpk,1,48.81,279.0,1890.0,1850.0,1845.0,55.6,798.0,1830.0,1814.0,1799.0,0
2226,smurfy,27.0,14.0,59.0,100.0,1376.0,1360-1379,Levacaster,0,45.69,958.0,1602.0,1574.0,1567.0,167.55,366.0,1866.0,1859.0,1847.0,0
2227,DINAN5678,48.0,50.0,2.0,100.0,1508.0,1500-1519,KartelChess,1,46.65,1345.0,2071.0,2047.0,1971.0,173.78,4814.0,2012.0,2010.0,1986.0,0
2228,ikromjon555,60.0,40.0,0.0,15.0,1500.0,1480-1499,ikromjon021,-1,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0
2229,ChiefGago,37.0,61.0,2.0,100.0,1016.0,1000-1019,MrChess365,-1,45.2,2336.0,1408.0,1403.0,1392.0,77.37,1524.0,1630.0,1626.0,1602.0,0
2230,Surepuk,41.0,57.0,1.0,100.0,1706.0,1700-1719,papi4526,-1,45.17,16370.0,2066.0,2064.0,2061.0,45.11,9769.0,1901.0,1856.0,1824.0,1
2231,Xi1315,47.0,48.0,5.0,100.0,1910.0,1900-1919,bertzui49,1,67.76,543.0,2041.0,2035.0,2017.0,45.04,52131.0,2405.0,2384.0,2376.0,1
2232,goodgame_wellplayed,48.0,47.0,5.0,100.0,2286.0,2280-2299,dtrain9000,-1,59.79,1213.0,2499.0,2444.0,2435.0,45.7,11024.0,2587.0,2565.0,2545.0,1
2233,dangphong68,44.0,54.0,2.0,100.0,1486.0,1480-1499,hazemhamdy20,-1,45.01,11136.0,1857.0,1792.0,1783.0,45.43,2544.0,1721.0,1720.0,1704.0,1
2234,johannbrehmer,45.0,51.0,4.0,100.0,1738.0,1720-1739,APonderingPenguin,-1,45.74,395.0,2093.0,2087.0,2001.0,48.3,387.0,1883.0,1883.0,1880.0,1
