user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,op_id,game_result,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,op_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3,is_blitz
Nonsilentgamer,100.0,0.0,0.0,3.0,633.0,620-639,Rtucci1995,-1,90.16,63.0,829.0,822.0,820.0,95.61,71.0,1043.0,1023.0,991.0,0
Mendee123,51.0,45.0,4.0,100.0,1622.0,1620-1639,dmitrijj-minochkin,1,45.15,1790.0,1980.0,1885.0,1873.0,45.01,382.0,1780.0,1755.0,1653.0,1
illgil,59.0,35.0,6.0,100.0,1078.0,1060-1079,cboy777,1,48.22,759.0,1618.0,1449.0,1198.0,46.0,67.0,1171.0,1136.0,1131.0,1
Alex_314,50.0,48.0,2.0,100.0,2016.0,2000-2019,zlanton,1,45.11,23345.0,2334.0,2316.0,2299.0,46.01,5300.0,2206.0,2197.0,2184.0,1
biniamd,42.0,54.0,4.0,100.0,1876.0,1860-1879,Stoindlscheyba,-1,45.37,6796.0,2147.0,2131.0,2125.0,45.0,98213.0,2366.0,2328.0,2196.0,1
durniukas1967,45.0,48.0,6.0,99.0,1292.0,1280-1299,mull1234,-1,75.41,186.0,1857.0,1801.0,1773.0,500.0,0.0,0.0,0.0,0.0,0
pjajcikm,51.0,47.0,2.0,100.0,2066.0,2060-2079,Sarada_Samaa,1,45.3,17744.0,2219.0,2215.0,2215.0,45.0,6029.0,2497.0,2355.0,2349.0,1
Peuplier,48.0,49.0,3.0,100.0,1441.0,1440-1459,jerem08,1,45.06,11218.0,1793.0,1790.0,1779.0,45.36,1031.0,1515.0,1511.0,1461.0,1
jaspreet08,52.0,38.0,10.0,100.0,1022.0,1020-1039,kolia2,-1,49.15,716.0,1118.0,1118.0,1116.0,45.01,623.0,1634.0,1575.0,1560.0,1
odenkouzuki,48.0,44.0,8.0,100.0,1143.0,1140-1159,buckyb01,-1,45.11,1661.0,1408.0,1390.0,1370.0,45.04,12321.0,1451.0,1449.0,1443.0,1
Ulf_de_wolf,36.0,45.0,18.0,33.0,1607.0,1600-1619,Morio,-1,78.23,873.0,2293.0,2152.0,2147.0,65.2,686.0,1547.0,1545.0,1538.0,0
MikeByte,48.0,50.0,2.0,100.0,1915.0,1900-1919,DMac87,1,51.01,356.0,2016.0,2005.0,1991.0,54.38,1533.0,2257.0,2246.0,2185.0,0
krushidozho,50.0,50.0,0.0,24.0,625.0,620-639,asbelgm,1,116.41,14.0,848.0,801.0,721.0,49.67,92.0,1457.0,1373.0,1372.0,0
ApostolicPentecostal,47.0,52.0,1.0,100.0,1296.0,1280-1299,ali_alizadeh1,1,47.49,3178.0,1653.0,1609.0,1605.0,45.04,1129.0,1653.0,1556.0,1548.0,1
almoulim,51.0,48.0,1.0,100.0,2071.0,2060-2079,RubenPuchler,1,51.91,3616.0,2271.0,2259.0,2246.0,53.24,1275.0,2245.0,2243.0,2240.0,1
karam980,36.0,54.0,10.0,100.0,943.0,940-959,Kaka9191,-1,65.0,54.0,1351.0,1066.0,1058.0,195.28,3.0,0.0,0.0,0.0,0
ersh79,51.0,43.0,6.0,100.0,1936.0,1920-1939,Hamovi,1,45.36,18803.0,2303.0,2265.0,2254.0,45.04,23848.0,2407.0,2376.0,2371.0,1
oryzal,54.0,45.0,0.0,11.0,1500.0,1480-1499,AnargyaJ,-1,500.0,11.0,0.0,0.0,0.0,76.85,279.0,1960.0,1922.0,1917.0,1
edwin2023,100.0,0.0,0.0,3.0,1426.0,1420-1439,The_Sniper07,-1,111.54,585.0,1521.0,1501.0,1500.0,45.66,1679.0,1328.0,1324.0,1324.0,0
En4road,51.0,47.0,2.0,100.0,2083.0,2080-2099,Celantiy-74,-1,45.23,5805.0,2425.0,2357.0,2348.0,45.48,2725.0,2701.0,2379.0,2342.0,1
eri92,39.0,55.0,6.0,100.0,1520.0,1500-1519,twnB6yta,1,45.04,745.0,2177.0,2120.0,2112.0,45.03,3394.0,1827.0,1823.0,1785.0,1
randomusername9,42.0,42.0,15.0,57.0,1429.0,1420-1439,Matze8617,1,48.52,494.0,1518.0,1494.0,1491.0,175.54,2256.0,1526.0,1524.0,1513.0,0
Teni24,46.0,41.0,13.0,100.0,700.0,680-699,nannuchess,-1,52.97,219.0,891.0,861.0,857.0,45.18,157.0,968.0,955.0,915.0,1
Himgautam,37.0,60.0,3.0,100.0,1642.0,1640-1659,Mowil,1,45.12,11519.0,2407.0,2348.0,2347.0,45.01,2673.0,1804.0,1773.0,1759.0,1
erkan3838,43.0,53.0,4.0,100.0,872.0,860-879,DaveThomasThomas,1,51.85,842.0,1084.0,1077.0,1066.0,45.02,508.0,1157.0,1106.0,1049.0,1
WeisseFeder,47.0,50.0,3.0,100.0,968.0,960-979,IYAD-9,1,53.25,1361.0,1144.0,1133.0,1132.0,45.13,155.0,1314.0,1312.0,1310.0,1
mythicapplsauce,52.0,48.0,0.0,100.0,1426.0,1420-1439,Gamzat1990,1,49.63,2055.0,1568.0,1534.0,1530.0,45.31,2161.0,1988.0,1949.0,1800.0,1
ZuluWanati,0.0,100.0,0.0,1.0,1350.0,1340-1359,Barboza007,-1,314.15,1.0,0.0,0.0,0.0,57.98,3104.0,1878.0,1875.0,1873.0,1
Avetiq,47.0,50.0,3.0,100.0,1375.0,1360-1379,BedBugg1312,-1,45.39,5410.0,2111.0,1999.0,1997.0,51.03,2813.0,1732.0,1732.0,1712.0,1
Zaratustra10,35.0,56.0,7.0,39.0,1278.0,1260-1279,philmitskill,1,61.37,46.0,1407.0,1394.0,1377.0,45.46,2984.0,1424.0,1398.0,1396.0,1
vishyhemu143,46.0,52.0,2.0,100.0,1924.0,1920-1939,Sicco,-1,45.65,2697.0,2118.0,2112.0,2106.0,45.05,23158.0,2276.0,2259.0,2251.0,1
Jonathan23v,44.0,54.0,2.0,100.0,1087.0,1080-1099,sameh2pho,-1,109.46,1632.0,1757.0,1626.0,1508.0,45.31,9760.0,1493.0,1481.0,1467.0,1
south-west3791,53.0,45.0,2.0,100.0,1650.0,1640-1659,RuslanDam,1,45.04,17370.0,2006.0,1972.0,1959.0,45.37,16699.0,1853.0,1849.0,1833.0,1
alireza-ranjbar,43.0,51.0,6.0,100.0,1729.0,1720-1739,jvalmir,1,45.13,8312.0,1884.0,1884.0,1874.0,45.0,20231.0,1936.0,1925.0,1915.0,0
Gamzat1990,55.0,41.0,4.0,100.0,1346.0,1340-1359,iridiumman,1,45.28,2161.0,1988.0,1949.0,1800.0,45.3,7735.0,1609.0,1603.0,1602.0,1
xiaqiqi,30.0,66.0,4.0,100.0,1329.0,1320-1339,DJ_Man_2099,-1,50.29,232.0,1994.0,1711.0,1707.0,121.32,50.0,2384.0,2074.0,1681.0,0
zivkovi,44.0,53.0,3.0,100.0,1807.0,1800-1819,el_chechi,-1,45.21,570.0,2086.0,1969.0,1965.0,45.31,625.0,2028.0,2024.0,2021.0,1
Md_naveed,50.0,50.0,0.0,42.0,1431.0,1420-1439,peterzimmerman,1,111.32,554.0,1699.0,1690.0,1608.0,45.86,578.0,1560.0,1557.0,1544.0,1
dasha2009krag,47.0,50.0,3.0,100.0,1654.0,1640-1659,vilkovbogdan2010,-1,90.23,211.0,2193.0,2184.0,2170.0,207.15,23.0,0.0,0.0,0.0,1
Nalro1818,50.0,50.0,0.0,100.0,1787.0,1780-1799,Ssmmii,-1,46.11,2107.0,1969.0,1953.0,1923.0,45.04,31941.0,1877.0,1873.0,1851.0,1
KHALID_23,43.0,54.0,3.0,100.0,1413.0,1400-1419,mhmd_sayed8512412,1,45.22,9342.0,1734.0,1659.0,1651.0,45.03,3213.0,1858.0,1821.0,1818.0,1
fabibi_b,38.0,55.0,7.0,100.0,994.0,980-999,tatavrn,1,45.42,1166.0,1182.0,1162.0,1135.0,45.21,4507.0,1179.0,1146.0,1145.0,1
Baukuna,56.0,39.0,5.0,100.0,1969.0,1960-1979,American_Pharoah,-1,45.39,26570.0,2162.0,2146.0,2146.0,45.49,2977.0,2408.0,2319.0,2308.0,1
G5353,53.0,40.0,7.0,100.0,1054.0,1040-1059,MorPeh1969,-1,45.17,2799.0,1731.0,1408.0,1381.0,45.2,6337.0,1450.0,1444.0,1414.0,1
Comtois,32.0,62.0,6.0,100.0,1813.0,1800-1819,Viktol,1,45.6,1466.0,2362.0,2345.0,2301.0,45.15,8302.0,1908.0,1906.0,1886.0,0
WolffA24,30.0,69.0,0.0,69.0,1642.0,1640-1659,fulvioswww,1,67.66,183.0,1889.0,1864.0,1853.0,197.86,7.0,0.0,0.0,0.0,0
VladimirBuev,0.0,100.0,0.0,3.0,1249.0,1240-1259,ParidhiJainOstwal,1,134.77,4234.0,1971.0,1512.0,1496.0,81.64,117.0,1953.0,1900.0,1809.0,0
Anvar-1963mir,0.0,100.0,0.0,6.0,1752.0,1740-1759,Vena,-1,83.12,99.0,1978.0,1887.0,1825.0,48.81,3241.0,2320.0,2235.0,2172.0,0
SLaNiks,56.0,40.0,3.0,100.0,1202.0,1200-1219,TONI22222,1,45.13,555.0,1405.0,1403.0,1354.0,46.35,70.0,1561.0,1426.0,1404.0,1
ozlan,0.0,100.0,0.0,3.0,1500.0,1480-1499,youngcapablanca,-1,500.0,1.0,0.0,0.0,0.0,102.25,1822.0,2924.0,2888.0,2880.0,1
Mahdie21,43.0,55.0,2.0,100.0,2001.0,2000-2019,alumno_malcriado,-1,45.94,547.0,2200.0,2159.0,2142.0,45.04,20506.0,2803.0,2612.0,2611.0,1
Suidecide,52.0,44.0,4.0,100.0,1795.0,1780-1799,Alperensezgin,-1,84.28,197.0,1986.0,1907.0,1846.0,45.1,8158.0,1974.0,1923.0,1904.0,1
chitima,55.0,44.0,1.0,100.0,1625.0,1620-1639,bobbyfinisher,-1,45.21,7496.0,1725.0,1724.0,1718.0,45.05,16736.0,1877.0,1876.0,1848.0,1
sumeyye_13,55.0,43.0,2.0,100.0,1082.0,1080-1099,FighterJetMate,-1,45.72,258.0,1185.0,1178.0,1178.0,45.09,3247.0,1258.0,1249.0,1240.0,1
chicagoss96,28.0,65.0,7.0,100.0,1909.0,1900-1919,doel_roehim,1,106.57,521.0,1960.0,1954.0,1947.0,208.46,5217.0,2192.0,2035.0,2024.0,1
noga_2016,26.0,53.0,20.0,45.0,650.0,640-659,Priom707,1,74.28,114.0,1132.0,1119.0,985.0,69.07,1736.0,1720.0,1720.0,1718.0,0
ullesweet,100.0,0.0,0.0,3.0,1787.0,1780-1799,iliotropion,1,55.69,5464.0,2275.0,2198.0,2193.0,172.06,933.0,2073.0,2009.0,1989.0,0
Cch28,50.0,33.0,16.0,18.0,1271.0,1260-1279,Bofamily1,-1,52.92,5827.0,1495.0,1484.0,1479.0,203.69,17.0,0.0,0.0,0.0,0
dagnasty,48.0,47.0,5.0,100.0,1282.0,1280-1299,Gerry_16_Roscio,1,45.0,1470.0,1597.0,1528.0,1510.0,45.08,1219.0,1800.0,1789.0,1789.0,1
dexterashish,56.0,43.0,1.0,100.0,1290.0,1280-1299,velihast,-1,45.09,644.0,1401.0,1397.0,1367.0,45.41,3889.0,1992.0,1974.0,1924.0,1
casper751,38.0,55.0,7.0,100.0,1849.0,1840-1859,M_i_c_h_a_e_l_Bel,1,68.62,164.0,2171.0,2154.0,2150.0,45.33,4277.0,2421.0,2337.0,2256.0,1
SiegbertJohann,42.0,57.0,0.0,78.0,1164.0,1160-1179,callmeChinaski,-1,45.11,9712.0,2181.0,1996.0,1989.0,45.11,875.0,1746.0,1677.0,1669.0,1
RomanK1,33.0,67.0,0.0,100.0,1775.0,1760-1779,suchz37,-1,93.08,4699.0,2177.0,2149.0,2010.0,151.83,5207.0,1983.0,1973.0,1962.0,1
Anvarito88,50.0,41.0,9.0,100.0,1790.0,1780-1799,Jordings,0,45.75,2969.0,2165.0,2087.0,2070.0,142.5,271.0,1943.0,1877.0,1852.0,0
omranlovesme,80.0,20.0,0.0,5.0,1839.0,1820-1839,zhifeizhi,1,163.76,5.0,1827.0,1685.0,1502.0,62.91,1095.0,1762.0,1755.0,1742.0,0
Mark_Levitin,50.0,48.0,2.0,100.0,1319.0,1300-1319,andrej10,0,47.47,880.0,2043.0,1913.0,1912.0,48.89,8330.0,1843.0,1827.0,1715.0,0
NafsSays,56.0,43.0,0.0,90.0,1569.0,1560-1579,Luchinrojo,-1,45.02,208.0,1689.0,1664.0,1660.0,47.25,1459.0,2247.0,2061.0,2009.0,0
Hikmatullo,61.0,32.0,7.0,100.0,2079.0,2060-2079,Nikame,-1,46.39,6972.0,2684.0,2622.0,2608.0,45.07,30550.0,2831.0,2768.0,2733.0,1
Juhuelma,39.0,59.0,2.0,100.0,1538.0,1520-1539,Kenito20,-1,45.2,4971.0,1810.0,1809.0,1800.0,45.0,618.0,1714.0,1686.0,1675.0,1
jhusmith,54.0,46.0,0.0,100.0,2041.0,2040-2059,boltthe,1,45.58,9606.0,2582.0,2505.0,2489.0,45.24,6608.0,2408.0,2372.0,2336.0,1
olivierCrolles,49.0,45.0,6.0,100.0,1909.0,1900-1919,magicleon77,1,45.19,3106.0,2094.0,2084.0,2077.0,45.12,179.0,1972.0,1924.0,1922.0,1
Reubenferns07,0.0,100.0,0.0,2.0,1100.0,1080-1099,erfanamandi1395,0,225.55,2.0,0.0,0.0,0.0,151.34,5.0,0.0,0.0,0.0,0
torrentgirl,37.0,62.0,0.0,24.0,941.0,940-959,QYH,1,64.15,3126.0,1379.0,1366.0,1359.0,112.2,37.0,1470.0,1467.0,1429.0,0
TOXED,10.0,90.0,0.0,10.0,590.0,580-599,tanukithing,1,74.81,27.0,880.0,800.0,793.0,45.02,185.0,1023.0,909.0,867.0,1
Hamed2018,45.0,47.0,8.0,100.0,1507.0,1500-1519,Malijuke26,-1,78.98,693.0,1699.0,1696.0,1688.0,75.67,1982.0,1724.0,1696.0,1667.0,1
Jonsey357,51.0,48.0,1.0,100.0,1434.0,1420-1439,Bomjara_806,-1,45.13,16056.0,1906.0,1900.0,1897.0,48.22,1816.0,2007.0,1752.0,1749.0,1
Bashi_Alicia,52.0,46.0,2.0,100.0,1365.0,1360-1379,edmar89,1,65.4,887.0,1581.0,1569.0,1567.0,45.04,29777.0,1633.0,1563.0,1540.0,1
chachach,61.0,38.0,1.0,100.0,1490.0,1480-1499,ZxhjarieLeyn,1,45.53,3567.0,1617.0,1590.0,1584.0,45.25,143.0,1733.0,1718.0,1698.0,1
shivakshi31,68.0,31.0,0.0,48.0,830.0,820-839,AMC2004,1,65.77,288.0,1722.0,1608.0,1585.0,57.39,80.0,1341.0,1315.0,1294.0,0
OLEGKOLOKOL,52.0,42.0,6.0,100.0,1932.0,1920-1939,rgmohan,1,45.02,8502.0,2175.0,2158.0,2143.0,45.28,5315.0,2189.0,2173.0,2167.0,1
roma18894,49.0,49.0,2.0,100.0,1222.0,1220-1239,gizli,-1,56.69,514.0,1385.0,1384.0,1371.0,45.09,5856.0,1673.0,1605.0,1580.0,1
feborba,50.0,49.0,1.0,100.0,1085.0,1080-1099,sthbejaia,-1,49.94,3145.0,1369.0,1368.0,1367.0,45.11,3517.0,2025.0,1971.0,1968.0,1
ashhu59,39.0,56.0,5.0,100.0,1546.0,1540-1559,H00007,-1,45.13,8807.0,1970.0,1942.0,1920.0,500.0,0.0,0.0,0.0,0.0,0
cramis12345,41.0,56.0,2.0,100.0,1324.0,1320-1339,Capitol_K,-1,63.14,3154.0,1590.0,1381.0,1378.0,172.53,3598.0,1574.0,1347.0,1347.0,1
von-blutcher,0.0,100.0,0.0,12.0,986.0,980-999,luismipeay,1,230.38,6.0,0.0,0.0,0.0,119.01,21.0,574.0,541.0,455.0,0
Risky_Fellow,52.0,48.0,0.0,100.0,1096.0,1080-1099,josemiguelsf,1,45.19,5235.0,1273.0,1272.0,1269.0,45.01,568.0,1609.0,1551.0,1505.0,1
Drew901,38.0,56.0,6.0,100.0,2208.0,2200-2219,Minahasa_Passo,1,45.08,4276.0,2443.0,2433.0,2431.0,45.0,254.0,2280.0,2276.0,2269.0,1
