user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3
TIMFAKS,54.0,39.0,7.0,100.0,1119.0,45.161,48.387,6.452,62.0,47.619,47.619,4.762,63.0,C42,C50,D20,C55,0.379,0.414,0.172,0.433,0.167,0.4,272.0,45.28,1984.0,1412.0,1410.0,1390.0
Amisree,48.0,49.0,3.0,100.0,1354.0,56.452,38.71,4.839,62.0,42.857,57.143,0.0,63.0,C41,C23,C20,C01,0.161,0.516,0.242,0.633,0.0,0.35,381.0,78.88,208.0,1460.0,1445.0,1440.0
Rufusikik9999,57.0,36.0,6.0,100.0,1603.0,48.438,45.312,6.25,64.0,50.82,42.623,6.557,61.0,C44,C50,B32,C72,0.355,0.435,0.21,0.327,0.491,0.145,410.0,46.78,1023.0,1624.0,1618.0,1616.0
NikolaDubovik,51.0,37.0,12.0,100.0,2088.0,50.82,37.705,11.475,61.0,42.188,48.438,9.375,64.0,B00,A02,A00,C31,0.345,0.31,0.293,0.444,0.444,0.111,253.0,47.09,16413.0,2710.0,2700.0,2697.0
Bauti_Bomben,45.0,48.0,7.0,100.0,1063.0,57.143,38.095,4.762,63.0,43.548,50.0,6.452,62.0,C20,C41,C70,B50,0.349,0.302,0.333,0.345,0.418,0.236,358.0,45.23,2899.0,1823.0,1503.0,1456.0
LomakinaGV,56.0,39.0,4.0,100.0,2125.0,60.317,36.508,3.175,63.0,48.387,43.548,8.065,62.0,A05,A04,A00,A45,0.088,0.618,0.279,0.12,0.54,0.34,413.0,45.06,9781.0,2313.0,2309.0,2296.0
Remigio2023,44.0,52.0,4.0,100.0,1905.0,54.098,36.066,9.836,61.0,48.438,46.875,4.688,64.0,A06,A04,C42,D02,0.266,0.328,0.391,0.077,0.558,0.327,282.0,45.03,10470.0,2524.0,2418.0,2393.0
ufyljybot,48.0,43.0,9.0,100.0,1366.0,40.678,49.153,10.169,59.0,48.485,43.939,7.576,66.0,D02,C00,A13,C41,0.214,0.518,0.196,0.103,0.397,0.466,495.0,45.08,17543.0,1955.0,1941.0,1929.0
Se1co,42.0,55.0,3.0,100.0,679.0,46.875,50.0,3.125,64.0,32.787,60.656,6.557,61.0,D00,C44,C47,A02,0.32,0.5,0.14,0.58,0.406,0.014,490.0,59.36,215.0,870.0,863.0,835.0
vladimir_novosibirsk,48.0,51.0,1.0,100.0,1420.0,51.562,46.875,1.562,64.0,55.738,39.344,4.918,61.0,B01,C22,B02,A10,0.328,0.448,0.179,0.296,0.519,0.185,395.0,45.11,35793.0,1645.0,1643.0,1633.0
rostov555,45.0,52.0,3.0,100.0,1644.0,48.387,46.774,4.839,62.0,46.032,50.794,3.175,63.0,A00,B06,B00,A01,0.169,0.424,0.322,0.59,0.246,0.115,389.0,54.59,1664.0,1804.0,1796.0,1776.0
Amitajoshi,60.0,27.0,12.0,99.0,2123.0,67.692,27.692,4.615,65.0,60.0,30.0,10.0,60.0,B00,C25,C26,nonStandard,0.325,0.525,0.138,0.278,0.361,0.361,302.0,51.81,1222.0,2258.0,2220.0,2215.0
