user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,user_op,user_white_win_rate,user_white_lose_rate,user_white_draw_rate,user_white_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_top_eco,user_second_eco,user_top_winrate_eco,user_second_winrate_eco,user_mate_winrate,user_resign_winrate,user_time_winrate,user_mate_lossrate,user_resign_lossrate,user_time_lossrate,user_average_game_len,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3
kamal_balaiannnnn,50.0,48.0,2.0,100.0,1077.0,1060-1079,TIMFAKS,47.692,50.769,1.538,65.0,43.333,55.0,1.667,60.0,C40,C34,B12,A45,0.386,0.439,0.158,0.545,0.167,0.258,367.0,56.63,422.0,1220.0,1205.0,1202.0
jenzetti,48.0,49.0,3.0,100.0,1359.0,1340-1359,Amisree,51.562,45.312,3.125,64.0,45.902,54.098,0.0,61.0,C50,B28,A13,C40,0.328,0.475,0.197,0.355,0.29,0.355,388.0,45.0,2010.0,1517.0,1512.0,1500.0
hermar,47.0,51.0,2.0,100.0,1609.0,1600-1619,Rufusikik9999,50.0,48.333,1.667,60.0,44.615,46.154,9.231,65.0,D02,A40,D11,C40,0.271,0.525,0.203,0.203,0.407,0.39,379.0,49.82,1582.0,1729.0,1704.0,1687.0
HakobN,53.0,43.0,4.0,100.0,2379.0,2360-2379,NikolaDubovik,59.375,32.812,7.812,64.0,45.902,45.902,8.197,61.0,B23,B00,A02,D04,0.197,0.636,0.167,0.245,0.714,0.041,277.0,46.15,7861.0,2782.0,2665.0,2664.0
Castillo123458789102,28.0,65.0,6.0,100.0,1057.0,1040-1059,Bauti_Bomben,30.357,58.929,10.714,56.0,44.928,44.928,10.145,69.0,B01,A40,A48,A09,0.375,0.375,0.208,0.281,0.547,0.141,329.0,52.74,671.0,1227.0,1216.0,1198.0
anacondaismypet,48.0,46.0,6.0,100.0,2235.0,2220-2239,LomakinaGV,53.226,38.71,8.065,62.0,53.968,42.857,3.175,63.0,D10,C02,C05,E26,0.179,0.627,0.194,0.216,0.647,0.137,448.0,46.97,799.0,2357.0,2350.0,2340.0
Julio2019,25.0,73.0,2.0,100.0,1609.0,1600-1619,Remigio2023,30.159,66.667,3.175,63.0,30.645,69.355,0.0,62.0,D00,B00,D30,A03,0.053,0.211,0.605,0.329,0.447,0.082,290.0,45.05,7457.0,2362.0,2341.0,2327.0
kapri8,61.0,37.0,2.0,100.0,1213.0,1200-1219,ufyljybot,57.377,37.705,4.918,61.0,51.562,48.438,0.0,64.0,B01,D00,C02,A03,0.309,0.529,0.132,0.111,0.852,0.019,449.0,45.3,1153.0,1336.0,1323.0,1320.0
Deku5855,40.0,57.0,2.0,100.0,703.0,700-719,Se1co,52.381,47.619,0.0,63.0,43.548,51.613,4.839,62.0,C23,C40,D06,C30,0.233,0.367,0.367,0.403,0.21,0.177,367.0,98.6,281.0,909.0,868.0,857.0
aissik,38.0,54.0,8.0,100.0,1371.0,1360-1379,vladimir_novosibirsk,47.619,50.794,1.587,63.0,43.548,48.387,8.065,62.0,C50,C41,C46,D01,0.263,0.491,0.175,0.419,0.565,0.0,290.0,45.02,6388.0,1717.0,1676.0,1654.0
paulpavlus,32.0,66.0,2.0,100.0,1571.0,1560-1579,rostov555,44.262,52.459,3.279,61.0,23.438,76.562,0.0,64.0,C40,C23,A07,B10,0.262,0.667,0.071,0.062,0.556,0.37,373.0,134.89,1788.0,1636.0,1568.0,1554.0
