user_id,blitz_rating,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3
Gatotkoco995,2304.0,45.02,28818.0,2776.0,2719.0,2679.0
Agron,1934.0,108.9,19067.0,2195.0,2183.0,2171.0
tempoocioso,2005.0,45.32,22801.0,2577.0,2543.0,2470.0
Pirschei,1464.0,45.07,4813.0,1736.0,1624.0,1621.0
MichaelMBrillantes,1704.0,50.3,7516.0,2609.0,2463.0,2394.0
datajunkie,2775.0,45.43,2576.0,2955.0,2952.0,2944.0
l3ab-idin,1807.0,91.06,5346.0,2080.0,1981.0,1977.0
Sallaia,1082.0,,,,,
Javpine597,2251.0,,,,,
alienvspredator,1190.0,,,,,
HvChessGm,1204.0,,,,,
mahmoud_abdellatif,1053.0,,,,,
colorado7683,599.0,,,,,
winx_m,2930.0,,,,,
FaustiOro,2878.0,,,,,
josmicar,708.0,,,,,
alnikgul,1777.0,,,,,
Hunterrun,2416.0,,,,,
ping0062,819.0,,,,,
pavelarshinn90,1014.0,,,,,
naive_knight,1192.0,,,,,
behrad98,2441.0,,,,,
Ahmet-Tunahan,2248.0,,,,,
DruzhkovVN,947.0,,,,,
lublualiyu,737.0,,,,,
Dmorineau,1473.0,,,,,
iyad2017,860.0,,,,,
TolloT,2420.0,,,,,
Narsil737,1212.0,,,,,
Koninaleks,1942.0,,,,,
BWilliams001,1502.0,,,,,
Josue_Daza,1406.0,,,,,
KaiSolter,1710.0,,,,,
darlinchess,2007.0,,,,,
wcarmona,1487.0,,,,,
tevydavid,1594.0,,,,,
syed_nawfel,645.0,,,,,
Wladi-71,598.0,,,,,
Adrian_Chucua,1748.0,,,,,
Oleksandr_11,2294.0,,,,,
ZICK80,1909.0,,,,,
juanfernando96,1728.0,,,,,
StephenWilly,2628.0,,,,,
Taladan,2460.0,,,,,
anand10m,562.0,,,,,
NastyGunz,970.0,,,,,
larolarolang,2257.0,,,,,
khairinasir,2004.0,,,,,
Blochsky,958.0,,,,,
