user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,op_id,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,op_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3,user_white_win_rate,user_white_lose_rate,user_white_draw_rate,user_white_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_top_eco,user_second_eco,user_top_winrate_eco,user_second_winrate_eco,user_mate_winrate,user_resign_winrate,user_time_winrate,user_mate_lossrate,user_resign_lossrate,user_time_lossrate,user_average_game_len,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len,is_blitz
bashir23,46.0,51.0,3.0,100.0,1383.0,1380-1399,saberkhairy,1,53.0,42.0,5.0,100.0,1362.0,45.1,7007.0,1862.0,1823.0,1795.0,45.88,957.0,1460.0,1443.0,1438.0,49.206,44.444,6.349,63.0,46.774,53.226,0.0,62.0,C41,D00,D01,A02,0.283,0.6,0.117,0.311,0.377,0.213,313.0,48.485,43.939,7.576,66.0,57.627,40.678,1.695,59.0,B01,C50,C41,B20,0.227,0.667,0.045,0.245,0.528,0.189,244.0,1
ioooHoooi,50.0,50.0,0.0,6.0,1665.0,1660-1679,W76en,1,58.0,41.0,0.0,87.0,1821.0,97.2,406.0,1930.0,1808.0,1807.0,46.46,129.0,1926.0,1870.0,1863.0,51.613,46.774,1.613,62.0,46.032,50.794,3.175,63.0,C23,B20,C01,C46,0.393,0.508,0.098,0.115,0.459,0.344,660.0,58.491,37.736,3.774,53.0,51.389,48.611,0.0,72.0,C50,C44,C59,B06,0.235,0.721,0.029,0.055,0.764,0.164,322.0,0
Ramazan0800,48.0,49.0,3.0,100.0,1365.0,1360-1379,bergeramitchess,-1,43.0,56.0,1.0,100.0,1320.0,45.04,2603.0,1462.0,1452.0,1447.0,45.79,2421.0,1738.0,1728.0,1726.0,55.738,42.623,1.639,61.0,40.625,50.0,9.375,64.0,B01,C20,C44,B10,0.333,0.367,0.267,0.379,0.431,0.086,213.0,43.548,54.839,1.613,62.0,47.619,49.206,3.175,63.0,C42,A40,B22,B18,0.263,0.579,0.14,0.215,0.231,0.554,259.0,1
ferhat_atbas36,62.0,38.0,0.0,100.0,811.0,800-819,Aleks-007,0,,,,,1315.0,72.66,58.0,940.0,911.0,909.0,299.37,1.0,0.0,0.0,0.0,37.037,62.963,0.0,27.0,51.613,45.161,3.226,31.0,A00,C20,A41,B23,0.385,0.231,0.346,0.903,0.097,0.0,381.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,C41,,C41,,0.0,0.0,0.0,1.0,0.0,0.0,51.0,0
aeppler,39.0,53.0,8.0,100.0,1644.0,1640-1659,dusanpina,-1,47.0,46.0,7.0,100.0,1774.0,45.05,16357.0,2070.0,2004.0,1995.0,45.1,1314.0,1892.0,1885.0,1878.0,40.323,50.0,9.677,62.0,34.921,50.794,14.286,63.0,A40,C50,D43,A84,0.298,0.489,0.191,0.619,0.206,0.175,409.0,42.857,49.206,7.937,63.0,59.677,35.484,4.839,62.0,B01,C23,B00,D15,0.234,0.688,0.078,0.075,0.774,0.151,306.0,1
gfrancis_6,20.0,80.0,0.0,15.0,1291.0,1280-1299,Deku03,1,100.0,0.0,0.0,9.0,1293.0,86.93,49.0,1528.0,1460.0,1440.0,114.2,30.0,1463.0,1376.0,1355.0,37.5,62.5,0.0,24.0,32.0,64.0,4.0,25.0,C50,D00,C66,A04,0.118,0.647,0.235,0.226,0.484,0.161,344.0,60.0,40.0,0.0,15.0,53.333,46.667,0.0,15.0,C50,D00,A10,A17,0.294,0.471,0.235,0.385,0.462,0.154,293.0,0
Franz_Fleishhacker,56.0,36.0,8.0,100.0,2052.0,2040-2059,CanterosMario,1,60.0,36.0,4.0,100.0,1943.0,45.02,2197.0,2294.0,2288.0,2283.0,45.11,6396.0,2167.0,2148.0,2145.0,56.452,37.097,6.452,62.0,34.921,58.73,6.349,63.0,A45,B01,C03,B13,0.105,0.649,0.246,0.133,0.85,0.017,328.0,55.738,37.705,6.557,61.0,54.688,43.75,1.562,64.0,B90,A46,B94,E43,0.203,0.507,0.29,0.118,0.745,0.137,369.0,1
crazycrab,48.0,46.0,6.0,100.0,2001.0,2000-2019,ladja64,1,,,,,2213.0,45.17,3492.0,2147.0,2137.0,2124.0,194.19,147.0,2253.0,2238.0,2225.0,56.452,35.484,8.065,62.0,42.857,57.143,0.0,63.0,B01,D00,B41,C43,0.21,0.532,0.242,0.052,0.707,0.224,297.0,44.262,50.82,4.918,61.0,68.75,26.562,4.688,64.0,C00,C01,D01,D20,0.113,0.718,0.169,0.042,0.854,0.104,248.0,0
Patapumpfete,41.0,52.0,7.0,100.0,1838.0,1820-1839,ChessUSA007,-1,49.0,43.0,8.0,100.0,1868.0,45.2,18074.0,2084.0,2083.0,2076.0,45.32,4747.0,1983.0,1981.0,1977.0,42.857,52.381,4.762,63.0,43.548,50.0,6.452,62.0,B10,B13,A51,C40,0.222,0.519,0.204,0.281,0.516,0.141,219.0,41.27,55.556,3.175,63.0,40.323,54.839,4.839,62.0,B06,C20,B20,D02,0.235,0.392,0.333,0.493,0.0,0.507,289.0,1
elchapulinsin,67.0,27.0,6.0,100.0,2185.0,2180-2199,Chessterx07,-1,50.0,42.0,7.0,84.0,2419.0,52.09,1729.0,2657.0,2518.0,2421.0,45.66,6703.0,2628.0,2595.0,2591.0,53.846,33.846,12.308,65.0,55.0,40.0,5.0,60.0,D04,D02,A41,E12,0.309,0.294,0.368,0.261,0.261,0.457,321.0,55.556,41.27,3.175,63.0,56.452,37.097,6.452,62.0,A46,B00,A07,A58,0.214,0.571,0.214,0.163,0.551,0.286,291.0,1
