user_id,user_blitz_rating,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_rating_deviation,user_highest_blitz_opponent_rating,user_second_highest_blitz_opponent_rating,user_third_highest_blitz_opponent_rating,user_win_streak_current,user_win_streak_max,user_loss_streak_current,user_loss_streak_max,user_total_games_played,user_op,op_rating_deviation,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_total_games_played,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max,game_result
engsultan00,1768.0,50.0,49.0,1.0,100.0,52.083333333333336,47.91666666666667,0.0,48.0,45.03,2221.0,2207.0,2126.0,0.0,13.0,2.0,14.0,13599,Kimirov,45.01,40.0,56.0,3.0,100.0,526,2.0,8.0,0.0,7.0,0
Panfi,1351.0,46.0,49.0,5.0,100.0,40.38461538461539,55.76923076923077,3.8461538461538463,52.0,47.35,1557.0,1548.0,1546.0,3.0,12.0,0.0,11.0,8551,Yathuking8,192.05,0.0,100.0,0.0,3.0,4,0.0,1.0,3.0,3.0,1
rsk86,1460.0,50.0,43.0,7.0,100.0,37.5,58.333333333333336,4.166666666666666,48.0,45.16,1574.0,1566.0,1543.0,1.0,8.0,0.0,7.0,797,MichBSS,45.06,45.0,51.0,4.0,100.0,4784,2.0,12.0,0.0,9.0,1
mercanet,1743.0,47.0,50.0,3.0,100.0,44.0,52.0,4.0,50.0,45.0,1922.0,1917.0,1917.0,0.0,12.0,1.0,11.0,10282,r_torrez,45.04,49.0,47.0,4.0,100.0,6852,0.0,22.0,1.0,21.0,-1
cool-chess-21,1690.0,33.0,66.0,0.0,9.0,52.94117647058824,37.25490196078432,9.803921568627452,51.0,78.88,1993.0,1959.0,1940.0,4.0,12.0,0.0,10.0,4165,eWojciech,162.7,0.0,0.0,0.0,0.0,89,0.0,6.0,1.0,7.0,-1
bhavyamarella,1016.0,25.0,75.0,0.0,12.0,38.63636363636363,56.81818181818182,4.545454545454546,44.0,92.07,1644.0,1641.0,1625.0,0.0,13.0,1.0,13.0,566,Aras2065,45.04,48.0,44.0,8.0,100.0,462,0.0,5.0,3.0,8.0,-1
cironine999,1785.0,41.0,52.0,7.0,100.0,38.0,56.00000000000001,6.0,50.0,45.31,2220.0,2206.0,2188.0,2.0,11.0,0.0,19.0,6754,Cyrano_64,45.25,62.0,28.0,9.0,100.0,107,3.0,9.0,0.0,3.0,1
chessenthusiast2,1439.0,53.0,46.0,1.0,100.0,56.86274509803921,43.13725490196079,0.0,51.0,45.76,1837.0,1623.0,1616.0,0.0,9.0,1.0,8.0,4499,lovebisht,45.04,48.0,49.0,3.0,100.0,11017,1.0,11.0,0.0,11.0,1
derwolf21,1705.0,41.0,53.0,6.0,100.0,36.734693877551024,53.06122448979592,10.20408163265306,49.0,45.01,2043.0,2029.0,2025.0,0.0,20.0,5.0,11.0,15279,Swoj,45.01,41.0,54.0,5.0,100.0,2387,2.0,9.0,0.0,8.0,1
mmchess2023,1308.0,36.0,63.0,0.0,57.0,57.44680851063831,42.5531914893617,0.0,47.0,46.27,1427.0,1388.0,1388.0,0.0,7.0,1.0,8.0,261,A_mARathONer,132.15,0.0,0.0,0.0,0.0,16,2.0,2.0,0.0,2.0,1
Oguzalp13,1228.0,42.0,57.0,0.0,78.0,34.54545454545455,65.45454545454545,0.0,55.0,63.63,1783.0,1773.0,1729.0,0.0,6.0,1.0,11.0,212,euke,106.71,0.0,0.0,0.0,0.0,22,1.0,5.0,0.0,3.0,-1
Evalena2024,1739.0,46.0,50.0,4.0,100.0,44.0,52.0,4.0,50.0,45.02,2119.0,2001.0,1995.0,0.0,13.0,3.0,13.0w,7587,alepo-139,45.09,54.0,44.0,2.0,100.0,21013,0.0,14.0,1.0,12.0,-1
s7alamen,1801.0,46.0,49.0,5.0,100.0,40.0,54.0,6.0,50.0,45.02,2089.0,2086.0,2037.0,0.0,12.0,1.0,17.0,5840,TheSoloist,45.02,42.0,56.0,2.0,100.0,20825,0.0,12.0,2.0,12.0,-1
