user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin,op_id,game_result
Nonsilentgamer,100.0,0.0,0.0,3.0,633.0,620-639,Rtucci1995,-1
Mendee123,51.0,45.0,4.0,100.0,1622.0,1620-1639,dmitrijj-minochkin,1
illgil,59.0,35.0,6.0,100.0,1078.0,1060-1079,cboy777,1
Alex_314,50.0,48.0,2.0,100.0,2016.0,2000-2019,zlanton,1
biniamd,42.0,54.0,4.0,100.0,1876.0,1860-1879,Stoindlscheyba,-1
durniukas1967,45.0,48.0,6.0,99.0,1292.0,1280-1299,mull1234,-1
pjajcikm,51.0,47.0,2.0,100.0,2066.0,2060-2079,Sarada_Samaa,1
Peuplier,48.0,49.0,3.0,100.0,1441.0,1440-1459,jerem08,1
jaspreet08,52.0,38.0,10.0,100.0,1022.0,1020-1039,kolia2,-1
odenkouzuki,48.0,44.0,8.0,100.0,1143.0,1140-1159,buckyb01,-1
Ulf_de_wolf,36.0,45.0,18.0,33.0,1607.0,1600-1619,Morio,-1
MikeByte,48.0,50.0,2.0,100.0,1915.0,1900-1919,DMac87,1
krushidozho,50.0,50.0,0.0,24.0,625.0,620-639,asbelgm,1
ApostolicPentecostal,47.0,52.0,1.0,100.0,1296.0,1280-1299,ali_alizadeh1,1
almoulim,51.0,48.0,1.0,100.0,2071.0,2060-2079,RubenPuchler,1
karam980,36.0,54.0,10.0,100.0,943.0,940-959,Kaka9191,-1
ersh79,51.0,43.0,6.0,100.0,1936.0,1920-1939,Hamovi,1
oryzal,54.0,45.0,0.0,11.0,1500.0,1480-1499,AnargyaJ,-1
edwin2023,100.0,0.0,0.0,3.0,1426.0,1420-1439,The_Sniper07,-1
En4road,51.0,47.0,2.0,100.0,2083.0,2080-2099,Celantiy-74,-1
eri92,39.0,55.0,6.0,100.0,1520.0,1500-1519,twnB6yta,1
randomusername9,42.0,42.0,15.0,57.0,1429.0,1420-1439,Matze8617,1
Teni24,46.0,41.0,13.0,100.0,700.0,680-699,nannuchess,-1
Himgautam,37.0,60.0,3.0,100.0,1642.0,1640-1659,Mowil,1
erkan3838,43.0,53.0,4.0,100.0,872.0,860-879,DaveThomasThomas,1
WeisseFeder,47.0,50.0,3.0,100.0,968.0,960-979,IYAD-9,1
mythicapplsauce,52.0,48.0,0.0,100.0,1426.0,1420-1439,Gamzat1990,1
ZuluWanati,0.0,100.0,0.0,1.0,1350.0,1340-1359,Barboza007,-1
Avetiq,47.0,50.0,3.0,100.0,1375.0,1360-1379,BedBugg1312,-1
Zaratustra10,35.0,56.0,7.0,39.0,1278.0,1260-1279,philmitskill,1
vishyhemu143,46.0,52.0,2.0,100.0,1924.0,1920-1939,Sicco,-1
Jonathan23v,44.0,54.0,2.0,100.0,1087.0,1080-1099,sameh2pho,-1
south-west3791,53.0,45.0,2.0,100.0,1650.0,1640-1659,RuslanDam,1
MasterAndrey,57.0,36.0,6.0,100.0,1926.0,1920-1939,Daniel_DHF,-1
mohsam112,26.0,73.0,0.0,45.0,1753.0,1740-1759,Gordo82,1
alireza-ranjbar,43.0,51.0,6.0,100.0,1729.0,1720-1739,jvalmir,1
egenedy97,0.0,100.0,0.0,3.0,1422.0,1420-1439,,401
ChessPlayer2134,62.0,35.0,3.0,100.0,2172.0,2160-2179,,401
aw123aw,21.0,75.0,4.0,100.0,601.0,600-619,,401
MURODILLA2001,25.0,75.0,0.0,12.0,1333.0,1320-1339,,401
Vladmira,72.0,25.0,3.0,100.0,1376.0,1360-1379,,401
shriyakokkonda,0.0,66.0,33.0,3.0,1144.0,1140-1159,,401
