user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin,op_id,game_result
Panguinoso,85.0,14.0,0.0,21.0,1774.0,1760-1779,iafsalpk,1
smurfy,27.0,14.0,59.0,100.0,1376.0,1360-1379,Levacaster,0
DINAN5678,48.0,50.0,2.0,100.0,1508.0,1500-1519,KartelChess,1
ikromjon555,60.0,40.0,0.0,15.0,1500.0,1480-1499,ikromjon021,-1
ChiefGago,37.0,61.0,2.0,100.0,1016.0,1000-1019,MrChess365,-1
Surepuk,41.0,57.0,1.0,100.0,1706.0,1700-1719,papi4526,-1
Xi1315,47.0,48.0,5.0,100.0,1910.0,1900-1919,bertzui49,1
goodgame_wellplayed,48.0,47.0,5.0,100.0,2286.0,2280-2299,dtrain9000,-1
dangphong68,44.0,54.0,2.0,100.0,1486.0,1480-1499,hazemhamdy20,-1
johannbrehmer,45.0,51.0,4.0,100.0,1738.0,1720-1739,APonderingPenguin,-1
alex7251,41.0,49.0,10.0,100.0,2093.0,2080-2099,DonPlacido,-1
aminought,50.0,25.0,25.0,12.0,1995.0,1980-1999,KingBobry,1
Sibernoff,34.0,65.0,0.0,69.0,1978.0,1960-1979,metum,1
arthurchebrys,45.0,47.0,8.0,100.0,1792.0,1780-1799,FullMetal265,-1
w2maniek,47.0,52.0,1.0,100.0,1588.0,1580-1599,stanislav_pop,-1
GeoNinka,64.0,35.0,1.0,100.0,1593.0,1580-1599,,401
RobertFisher_007,33.0,66.0,0.0,18.0,2114.0,2100-2119,,401
JestGuess,56.0,38.0,5.0,100.0,1326.0,1320-1339,ariel-argentina,-1
surk,52.0,47.0,1.0,100.0,1336.0,1320-1339,daking1st,1
Krtekcze,36.0,60.0,4.0,100.0,2250.0,2240-2259,OlegTarasov,-1
Arthur_Dent81,53.0,44.0,3.0,100.0,1152.0,1140-1159,DactylZMinotaur,1
MafaMpofu300,50.0,47.0,3.0,100.0,1692.0,1680-1699,Older33chess,-1
Mat2212,50.0,50.0,0.0,12.0,2020.0,2000-2019,WalWal13,0
Ewker,47.0,49.0,4.0,100.0,686.0,680-699,Lambo1963,-1
jjarval,46.0,53.0,1.0,100.0,1193.0,1180-1199,Shulega,-1
RashedAF,54.0,42.0,4.0,100.0,1206.0,1200-1219,isrockandblues,1
zayed0,57.0,37.0,5.0,100.0,1730.0,1720-1739,Mo_H920,-1
Darth_Plague,50.0,40.0,10.0,100.0,2316.0,2300-2319,Dgomez17,1
Davidzon,56.0,44.0,0.0,100.0,2336.0,2320-2339,GoVegan70,-1
ankit0051,56.0,40.0,4.0,100.0,1140.0,1120-1139,Mohamedhelmy123,-1
Neel970,37.0,59.0,3.0,81.0,1472.0,1460-1479,edu00007,-1
HanselPete,5.0,94.0,0.0,51.0,1496.0,1480-1499,mamik,1
jzzzzzzzz,31.0,68.0,0.0,48.0,914.0,900-919,Priyam2013,-1
Gennek,49.0,45.0,6.0,100.0,1965.0,1960-1979,ziman85,1
EmptyAct,62.0,31.0,6.0,48.0,1140.0,1120-1139,nikew,-1
AlexGarfxx,41.0,52.0,7.0,100.0,1208.0,1200-1219,Maksiss,1
Uzman003,59.0,34.0,7.0,100.0,1913.0,1900-1919,CaroKannIchNicht,-1
