user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
miaras,-1,49.0,40.0,11.0,100.0
Landau51,1,52.0,43.0,5.0,100.0
morexcuses93,-1,100.0,0.0,0.0,3.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
RobertPash,1,28.0,71.0,0.0,21.0
sumuva2000,-1,45.0,49.0,6.0,100.0
eirfan87,1,46.0,53.0,1.0,100.0
guernsej,1,57.0,39.0,3.0,100.0
vahid_radaeii,0,0.0,0.0,0.0,0.0
Subash22krishna,1,50.0,47.0,3.0,100.0
A4n5,-1,43.0,54.0,3.0,100.0
nikolaielin,-1,54.0,39.0,7.0,100.0
CareyJA,1,0.0,0.0,0.0,0.0
ChantalDo1,-1,100.0,0.0,0.0,6.0
Derval,-1,44.0,52.0,4.0,100.0
miszczunio28,-1,0.0,0.0,0.0,0.0
mmari22,-1,40.0,56.0,4.0,100.0
nathyn,-1,49.0,50.0,1.0,100.0
Chennaiganesh,-1,49.0,46.0,5.0,100.0
guhi63,1,0.0,0.0,0.0,0.0
narwhal89,1,41.0,52.0,7.0,100.0
rojolangosta,1,45.0,48.0,7.0,100.0
ShapovalovSerg,-1,49.0,46.0,5.0,100.0
vamsilu,-1,47.0,50.0,3.0,100.0
Jammer69fanai,-1,53.0,42.0,5.0,100.0
JohnnyEnglishReborn,-1,0.0,0.0,0.0,0.0
Kolia2015,-1,0.0,0.0,0.0,0.0
okonedoc,-1,51.0,48.0,1.0,100.0
HoldMyRook,0,46.0,49.0,5.0,100.0
sanllanes,1,54.0,42.0,4.0,100.0
alejoboomerang,1,44.0,47.0,9.0,100.0
AfflatusJones,1,45.0,50.0,5.0,100.0
BentoBanker,1,44.0,54.0,2.0,100.0
bradut99,-1,63.0,32.0,5.0,100.0
Invaderon,-1,51.0,43.0,6.0,100.0
DmN5,0,47.0,49.0,4.0,100.0
mhtsm,-1,0.0,0.0,0.0,0.0
Roee_Aroesti,-1,77.0,21.0,2.0,100.0
aliok63,1,68.0,31.0,0.0,57.0
Gilrivera,1,46.0,46.0,8.0,100.0
frasasd,1,40.0,55.0,5.0,100.0
Mindhunter001,-1,47.0,48.0,5.0,100.0
Jojo993,-1,52.0,46.0,2.0,100.0
Dim_ZK,1,49.0,45.0,6.0,100.0
ferdinandbj,-1,61.0,39.0,0.0,100.0
CPazianotto,-1,40.0,52.0,8.0,100.0
arikui999,-1,49.0,44.0,7.0,100.0
Radiuss,-1,52.0,46.0,2.0,100.0
habbing_pawn,-1,25.0,75.0,0.0,12.0
sreekar12,1,0.0,0.0,0.0,0.0
tusash,-1,56.0,39.0,4.0,100.0
vitillescas,1,0.0,0.0,0.0,0.0
Cloe16,-1,0.0,0.0,0.0,0.0
Deadbear103,1,49.0,49.0,2.0,100.0
Arda1974,-1,44.0,44.0,11.0,27.0
Explo2mat,1,40.0,54.0,6.0,100.0
basetss,1,41.0,54.0,5.0,100.0
stranzl18,1,0.0,0.0,0.0,0.0
meadh,1,48.0,50.0,2.0,100.0
Sattam_Tacchi,1,0.0,0.0,0.0,0.0
PitM_gr,1,46.0,47.0,7.0,100.0
antXpu100,-1,46.0,52.0,2.0,100.0
AyaxTelamonio77,-1,38.0,61.0,0.0,63.0
EG303,-1,30.0,70.0,0.0,10.0
Luke-82,1,0.0,0.0,0.0,0.0
ALEYVA,1,36.0,61.0,3.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
PVHud,-1,33.0,66.0,0.0,18.0
i1312,1,51.0,45.0,4.0,100.0
dbizzleton,-1,0.0,0.0,0.0,0.0
xamonan,-1,44.0,54.0,2.0,100.0
anti6464,-1,56.0,43.0,0.0,100.0
Fraksov,-1,45.0,51.0,4.0,100.0
ahmedtorky,1,41.0,56.0,3.0,100.0
HajdukZiviVjecno,-1,60.0,32.0,8.0,100.0
Mhp_15,1,0.0,0.0,0.0,0.0
Perez5,1,50.0,48.0,2.0,100.0
fanto-mas_56,1,41.0,54.0,5.0,100.0
miakia,1,36.0,56.0,8.0,100.0
jokopurnomo123,-1,0.0,100.0,0.0,3.0
Rasul1362,0,0.0,0.0,0.0,0.0
khajebeygi,-1,47.0,45.0,8.0,100.0
eydivandimahmood,1,41.0,53.0,6.0,100.0
Scrubie,-1,46.0,47.0,7.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
mikluha,0,51.0,41.0,8.0,100.0
MacaquinhoMatador,1,46.0,49.0,5.0,100.0
I_II_III_IIII_V,1,42.0,50.0,8.0,100.0
Feidl,-1,0.0,0.0,0.0,0.0
SantiFariasGomez,0,68.0,30.0,2.0,100.0
OrazbaevTemirkhan,1,47.0,51.0,2.0,100.0
nicknamer,0,53.0,39.0,8.0,100.0
Omerozdemir335606,1,57.0,42.0,0.0,21.0
tuandung2012,1,25.0,75.0,0.0,12.0
smlzr,-1,0.0,0.0,0.0,0.0
sikiandries,1,38.0,55.0,7.0,100.0
schmallworld,1,47.0,46.0,7.0,100.0
FoxOrLion,-1,53.0,46.0,1.0,100.0
zzr54,1,0.0,0.0,0.0,0.0
dykestm,-1,49.0,49.0,2.0,100.0
Van_der_Poel,1,47.0,51.0,2.0,100.0
TPABKA420,-1,44.0,52.0,4.0,100.0
edisupriadi,1,63.0,37.0,0.0,100.0
Stefy_83,-1,41.0,56.0,3.0,100.0
devsuyesh,1,51.0,47.0,2.0,100.0
BogdanKha,1,0.0,0.0,0.0,0.0
MomenIIM9,1,100.0,0.0,0.0,3.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
Alphazerostockfish,-1,47.0,46.0,7.0,100.0
aalex2024,1,28.0,69.0,3.0,100.0
The-wolf86,-1,46.0,49.0,5.0,100.0
Fernando_Alaniz,-1,0.0,0.0,0.0,0.0
pawnseller,1,55.0,45.0,0.0,100.0
Shukhrat_Zholdoshev,-1,0.0,0.0,0.0,0.0
erarudeska,-1,49.0,46.0,5.0,100.0
Jackie9Boy,-1,44.0,52.0,4.0,100.0
marcymarc24,1,69.0,21.0,9.0,99.0
Ach21,-1,39.0,56.0,5.0,100.0
maia1,-1,75.0,25.0,0.0,36.0
Slava_Ukraine_d2-d4,-1,73.0,26.0,0.0,45.0
darthmuur,-1,46.0,52.0,2.0,100.0
sissahungrychess,-1,80.0,20.0,0.0,30.0
Glov52,0,0.0,0.0,0.0,0.0
Ayaanshsgambit,-1,50.0,46.0,3.0,90.0
adranovs,1,0.0,0.0,0.0,0.0
dovahkhiiin,1,43.0,53.0,4.0,100.0
