user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin
ethanguacamole,57.0,39.0,3.0,100.0,1015.0,1000-1019
tearbear,51.0,46.0,3.0,100.0,2133.0,2120-2139
przew,54.0,40.0,6.0,100.0,2192.0,2180-2199
Rumira,46.0,54.0,0.0,100.0,1225.0,1220-1239
danisdaman22,56.0,44.0,0.0,75.0,1380.0,1360-1379
Yarjna,41.0,52.0,7.0,100.0,1273.0,1260-1279
Chefkepler,42.0,52.0,6.0,100.0,1528.0,1520-1539
nickster831,40.0,51.0,9.0,100.0,1553.0,1540-1559
YwYAM,37.0,56.0,7.0,100.0,1363.0,1360-1379
wazabanja,39.0,57.0,3.0,84.0,1565.0,1560-1579
Black1956,50.0,45.0,5.0,100.0,1831.0,1820-1839
Artyomka_01,45.0,52.0,3.0,100.0,1679.0,1660-1679
abaol,45.0,55.0,0.0,100.0,1251.0,1240-1259
rtx-new,50.0,42.0,8.0,100.0,1993.0,1980-1999
r16-gardin,51.0,43.0,6.0,100.0,1659.0,1640-1659
flowtherook,42.0,54.0,4.0,100.0,1588.0,1580-1599
UmaraliAM,43.0,52.0,5.0,100.0,1396.0,1380-1399
Bean100,56.0,39.0,4.0,100.0,1258.0,1240-1259
Vladimir_Bychkov,42.0,48.0,10.0,100.0,2460.0,2440-2459
Klueade,37.0,62.0,0.0,24.0,1049.0,1040-1059
Bhavyapro_123,50.0,46.0,4.0,100.0,1245.0,1240-1259
ZlayBylka,20.0,77.0,3.0,100.0,1377.0,1360-1379
Sahil_Jaiswal,52.0,44.0,4.0,100.0,1754.0,1740-1759
Havishreddy916,71.0,14.0,14.0,21.0,1491.0,1480-1499
Saleh-13,51.0,49.0,0.0,100.0,1557.0,1540-1559
kivy_styles,46.0,47.0,7.0,100.0,1853.0,1840-1859
YonatanGreen,27.0,72.0,0.0,33.0,2084.0,2080-2099
Timber1983,46.0,50.0,4.0,100.0,1534.0,1520-1539
negrodaza,62.0,31.0,6.0,48.0,1313.0,1300-1319
Maidamicis,50.0,40.0,9.0,22.0,1879.0,1860-1879
riddhi210314,49.0,50.0,1.0,100.0,1085.0,1080-1099
SimeshChess,28.0,71.0,0.0,7.0,1291.0,1280-1299
timkiller0102,43.0,50.0,7.0,100.0,1843.0,1840-1859
enrocc,43.0,50.0,7.0,100.0,2125.0,2120-2139
mbay777,46.0,47.0,7.0,100.0,711.0,700-719
Angel_lys,46.0,50.0,4.0,100.0,925.0,920-939
Bekturova-Esmanur,11.0,88.0,0.0,51.0,1250.0,1240-1259
msc1234567,48.0,47.0,5.0,100.0,1843.0,1840-1859
Methu_kz,45.0,54.0,1.0,100.0,1514.0,1500-1519
Mirtazapine,49.0,49.0,2.0,100.0,2003.0,2000-2019
LaXuZz,0.0,100.0,0.0,6.0,1081.0,1080-1099
elatinol,48.0,49.0,3.0,100.0,1237.0,1220-1239
HAfzali,50.0,40.0,10.0,100.0,2351.0,2340-2359
Semir743,45.0,49.0,6.0,100.0,1214.0,1200-1219
Pillallo_13,48.0,44.0,6.0,87.0,1364.0,1360-1379
Mi_corazon,45.0,52.0,3.0,100.0,1887.0,1880-1899
slobo77,50.0,50.0,0.0,100.0,1754.0,1740-1759
Lisa4507,50.0,44.0,6.0,100.0,1875.0,1860-1879
Player_for_Chess,43.0,52.0,5.0,100.0,818.0,800-819
Rufatdin,51.0,47.0,2.0,100.0,1835.0,1820-1839
Beslan777,46.0,52.0,2.0,100.0,1262.0,1260-1279
jollyjumpr,43.0,51.0,6.0,100.0,1272.0,1260-1279
Rocky_Susan,43.0,49.0,8.0,100.0,1473.0,1460-1479
Tim151,51.0,40.0,9.0,100.0,1097.0,1080-1099
toonoobforu,52.0,48.0,0.0,100.0,1673.0,1660-1679
n_4_neeraj,52.0,43.0,5.0,100.0,1262.0,1260-1279
parketar,49.0,47.0,4.0,100.0,1962.0,1960-1979
aladinkanaya,49.0,50.0,1.0,100.0,1150.0,1140-1159
JeanClaudeDuss,47.0,52.0,1.0,100.0,1617.0,1600-1619
schaakam,55.0,33.0,12.0,100.0,2622.0,2620-2639
MarkChubaroff,100.0,0.0,0.0,3.0,1595.0,1580-1599
Mohammadabobaker,66.0,33.0,0.0,9.0,1258.0,1240-1259
forestjump20,47.0,48.0,5.0,100.0,1556.0,1540-1559
Stork78,44.0,53.0,3.0,100.0,1326.0,1320-1339
Leity,50.0,50.0,0.0,12.0,2155.0,2140-2159
artyomiy,59.0,39.0,2.0,100.0,1818.0,1800-1819
ibad12662,53.0,46.0,0.0,45.0,2025.0,2020-2039
Karelproesmans,57.0,42.0,0.0,21.0,2079.0,2060-2079
pkMumuli,60.0,40.0,0.0,15.0,1373.0,1360-1379
invalidus,51.0,44.0,5.0,100.0,2106.0,2100-2119
tehnar111,36.0,55.0,9.0,100.0,1625.0,1620-1639
Suylmzz,55.0,42.0,3.0,100.0,977.0,960-979
Sarpvinash,53.0,41.0,6.0,100.0,2297.0,2280-2299
martin1111111111,0.0,100.0,0.0,12.0,1870.0,1860-1879
dymaryc,41.0,50.0,9.0,100.0,1715.0,1700-1719
OkoloMaster,45.0,55.0,0.0,100.0,2168.0,2160-2179
bijanmaster,45.0,51.0,4.0,100.0,1579.0,1560-1579
Dana_art,43.0,54.0,3.0,100.0,1288.0,1280-1299
ososmhmd,25.0,75.0,0.0,12.0,1042.0,1040-1059
Santy921,46.0,49.0,5.0,100.0,1954.0,1940-1959
Aspiie,45.0,50.0,5.0,100.0,1599.0,1580-1599
tdgall,47.0,50.0,3.0,100.0,1208.0,1200-1219
Viggan04,40.0,33.0,26.0,45.0,1643.0,1640-1659
Faibisovitch,55.0,42.0,3.0,100.0,2063.0,2060-2079
ayman7144,100.0,0.0,0.0,3.0,1341.0,1340-1359
SSSAigul,46.0,46.0,8.0,100.0,816.0,800-819
Luis_Vzla,46.0,52.0,2.0,100.0,1510.0,1500-1519
JegorKolesov,48.0,49.0,3.0,100.0,1428.0,1420-1439
Justemo,51.0,46.0,2.0,41.0,1712.0,1700-1719
soerinho,45.0,50.0,5.0,100.0,1003.0,1000-1019
YeroChess,60.0,40.0,0.0,100.0,1922.0,1920-1939
Marsnu,48.0,44.0,8.0,100.0,1812.0,1800-1819
Nezaisiu,54.0,44.0,2.0,100.0,1848.0,1840-1859
sumragsri2025,28.0,66.0,4.0,63.0,2612.0,2600-2619
eduardocesar,83.0,0.0,16.0,18.0,1753.0,1740-1759
makaryi14,33.0,66.0,0.0,45.0,1192.0,1180-1199
kadirham,54.0,43.0,3.0,100.0,1258.0,1240-1259
KarpovEA,50.0,25.0,25.0,12.0,1658.0,1640-1659
Stonkfish07,36.0,62.0,2.0,100.0,1450.0,1440-1459
OMGBunnySlippers,48.0,48.0,4.0,100.0,1994.0,1980-1999
ha2412,45.0,54.0,1.0,100.0,1148.0,1140-1159
No_shelter_here,43.0,56.0,0.0,100.0,1602.0,1600-1619
Mohamd500,42.0,55.0,3.0,100.0,1620.0,1600-1619
Teke-Turkmen,48.0,45.0,7.0,100.0,1902.0,1900-1919
yangmukchai,48.0,46.0,6.0,100.0,1794.0,1780-1799
MONSANTOS,54.0,36.0,9.0,66.0,1955.0,1940-1959
seewhereiget,52.0,40.0,8.0,100.0,1904.0,1900-1919
Mambofox,48.0,48.0,4.0,100.0,1392.0,1380-1399
toffh,45.0,53.0,2.0,100.0,1476.0,1460-1479
the_stalker2,52.0,41.0,7.0,100.0,1394.0,1380-1399
Thornaberry,25.0,66.0,8.0,36.0,1016.0,1000-1019
The_Fake_incio,47.0,50.0,3.0,100.0,829.0,820-839
DeaD_MeaT_25,66.0,33.0,0.0,63.0,1363.0,1360-1379
Malikdwaik,50.0,50.0,0.0,12.0,1306.0,1300-1319
tahirahmedt,100.0,0.0,0.0,3.0,1454.0,1440-1459
wahyuekop,43.0,56.0,1.0,100.0,955.0,940-959
GroundedHawk,34.0,64.0,2.0,100.0,927.0,920-939
Kannjanix,40.0,56.0,4.0,100.0,926.0,920-939
BC1956,48.0,42.0,10.0,100.0,2184.0,2180-2199
cool-bits,49.0,49.0,2.0,100.0,1201.0,1200-1219
boisedrummer,46.0,49.0,5.0,100.0,1833.0,1820-1839
ResocramUBC,48.0,37.0,13.0,87.0,1966.0,1960-1979
Krishanth_Sriram,14.0,85.0,0.0,7.0,776.0,760-779
Smyslovsfan,42.0,48.0,10.0,100.0,2252.0,2240-2259
elvijs,77.0,22.0,0.0,27.0,2103.0,2100-2119
Rajahvs,44.0,53.0,3.0,100.0,1340.0,1320-1339
Renewer2,42.0,55.0,3.0,100.0,2080.0,2060-2079
Scipioridens,56.0,41.0,3.0,100.0,1519.0,1500-1519
RobertoPiro,49.0,47.0,4.0,100.0,2004.0,2000-2019
AxelChess24,48.0,52.0,0.0,100.0,1596.0,1580-1599
Adur00,49.0,44.0,7.0,100.0,1692.0,1680-1699
fnurtan,45.0,54.0,1.0,100.0,1425.0,1420-1439
sethst,43.0,54.0,3.0,100.0,1424.0,1420-1439
Abdoelbalm11,68.0,30.0,2.0,100.0,1200.0,1180-1199
Babin_125,52.0,41.0,7.0,100.0,1837.0,1820-1839
Kasapar,51.0,47.0,2.0,100.0,1729.0,1720-1739
saloumacharouka,60.0,40.0,0.0,15.0,1849.0,1840-1859
big_turkey,47.0,48.0,5.0,100.0,1069.0,1060-1079
Star-spangled-Banner,61.0,35.0,4.0,100.0,1442.0,1440-1459
moNono05,45.0,50.0,5.0,100.0,2210.0,2200-2219
shadi995,44.0,43.0,13.0,100.0,1663.0,1660-1679
Rody42yellowEx,56.0,37.0,6.0,48.0,1672.0,1660-1679
AdithyaApuroop,75.0,25.0,0.0,12.0,2174.0,2160-2179
str8rider,60.0,40.0,0.0,15.0,1938.0,1920-1939
pipatgab,48.0,48.0,4.0,100.0,1396.0,1380-1399
CaleroLoko,48.0,52.0,0.0,100.0,1590.0,1580-1599
FireBackflip,55.0,40.0,5.0,60.0,1321.0,1320-1339
Monare,44.0,52.0,4.0,100.0,1669.0,1660-1679
Adilson1976,43.0,53.0,4.0,100.0,1385.0,1380-1399
jedm,40.0,60.0,0.0,15.0,1355.0,1340-1359
waltonius,37.0,62.0,0.0,96.0,1138.0,1120-1139
IsItFabian,49.0,44.0,7.0,100.0,1356.0,1340-1359
astro_cactus,68.0,31.0,0.0,48.0,1227.0,1220-1239
Fleolin,42.0,56.0,2.0,100.0,835.0,820-839
MihailZalygin,34.0,65.0,0.0,96.0,1097.0,1080-1099
CKChapatuka,56.0,41.0,3.0,100.0,1785.0,1780-1799
PouncingOunce,0.0,100.0,0.0,1.0,1317.0,1300-1319
serg2022,51.0,43.0,6.0,100.0,1598.0,1580-1599
esmuellert,47.0,49.0,4.0,100.0,2112.0,2100-2119
torred6mate,43.0,52.0,5.0,100.0,1848.0,1840-1859
ak_thiru,47.0,52.0,0.0,23.0,1161.0,1160-1179
Sibisi1234,43.0,55.0,2.0,100.0,1595.0,1580-1599
Michallisiecki,36.0,63.0,0.0,33.0,967.0,960-979
Shrav1,56.0,42.0,2.0,100.0,1624.0,1620-1639
Rheinhessenblitz,51.0,46.0,3.0,100.0,2219.0,2200-2219
tadeomariano120163,35.0,60.0,5.0,100.0,1687.0,1680-1699
Qossini,33.0,33.0,33.0,9.0,1718.0,1700-1719
andershow210,47.0,53.0,0.0,100.0,1925.0,1920-1939
user100001,43.0,54.0,3.0,100.0,1283.0,1280-1299
poncho54,46.0,52.0,2.0,100.0,1527.0,1520-1539
JHamberg,57.0,32.0,10.0,100.0,2063.0,2060-2079
Maezz999,33.0,67.0,0.0,100.0,1640.0,1620-1639
Yaheaaljazaeree,66.0,33.0,0.0,9.0,1405.0,1400-1419
iKnetiHD,66.0,33.0,0.0,18.0,1411.0,1400-1419
Revanescu,75.0,25.0,0.0,4.0,1971.0,1960-1979
vvilgelm,0.0,100.0,0.0,9.0,561.0,560-579
D34D1N51D3,60.0,40.0,0.0,15.0,1214.0,1200-1219
OkanOzgnc,45.0,48.0,7.0,100.0,1113.0,1100-1119
Roob8,60.0,40.0,0.0,15.0,1567.0,1560-1579
rascarcapac87,56.0,42.0,2.0,100.0,2160.0,2140-2159
farhadmirzaiii66,45.0,53.0,2.0,100.0,1567.0,1560-1579
Architsureka,53.0,40.0,7.0,100.0,1961.0,1960-1979
MahmoodToolabi,57.0,42.0,0.0,21.0,1664.0,1660-1679
SlashChords,49.0,46.0,5.0,100.0,1807.0,1800-1819
Moon_Larkhall,58.0,32.0,9.0,93.0,1954.0,1940-1959
Eweada,20.0,80.0,0.0,15.0,1500.0,1480-1499
dragosdum,50.0,47.0,3.0,100.0,2181.0,2180-2199
xFeld,51.0,49.0,0.0,100.0,1248.0,1240-1259
letoat,57.0,36.0,6.0,100.0,903.0,900-919
Abhigyan_11,47.0,43.0,8.0,69.0,1111.0,1100-1119
Wahaj,55.0,45.0,0.0,60.0,1628.0,1620-1639
too-fast,48.0,45.0,7.0,100.0,1758.0,1740-1759
imretired,56.0,42.0,2.0,100.0,1770.0,1760-1779
hubertengelbert,45.0,50.0,5.0,100.0,1324.0,1320-1339
naufalaziz7,66.0,33.0,0.0,9.0,1462.0,1460-1479
Pejuang313,69.0,28.0,3.0,100.0,1628.0,1620-1639
hardcore_aebanise,57.0,41.0,1.0,100.0,1244.0,1240-1259
SXB10,51.0,46.0,3.0,100.0,1335.0,1320-1339
lauty_1,49.0,42.0,9.0,100.0,1717.0,1700-1719
LangCZ,43.0,51.0,6.0,100.0,1719.0,1700-1719
O1mA2r,0.0,100.0,0.0,9.0,919.0,900-919
Pokila37,57.0,39.0,3.0,100.0,1398.0,1380-1399
ernarrdus,18.0,81.0,0.0,33.0,1500.0,1480-1499
Alekca,52.0,46.0,2.0,100.0,1752.0,1740-1759
thevaldo,40.0,55.0,5.0,100.0,1902.0,1900-1919
Vitolabr,50.0,50.0,0.0,100.0,1714.0,1700-1719
