user_id,black_win_rate,black_lose_rate,black_draw_rate,black_game_count
engsultan00,52.083333333333336,47.91666666666667,0.0,48.0
Panfi,40.38461538461539,55.769230769230774,3.8461538461538463,52.0
rsk86,37.5,58.333333333333336,4.166666666666666,48.0
mercanet,44.0,52.0,4.0,50.0
cool-chess-21,52.94117647058824,37.25490196078432,9.803921568627452,51.0
bhavyamarella,38.63636363636363,56.81818181818182,4.545454545454546,44.0
amirdna2000,56.86274509803921,35.294117647058826,7.84313725490196,51.0
FrankJNG,38.775510204081634,59.18367346938776,2.0408163265306123,49.0
HosSseiN1,36.84210526315789,55.26315789473685,7.894736842105263,38.0
cironine999,38.0,56.00000000000001,6.0,50.0
chessenthusiast2,56.86274509803921,43.13725490196079,0.0,51.0
derwolf21,36.734693877551024,53.06122448979592,10.20408163265306,49.0
mmchess2023,57.446808510638306,42.5531914893617,0.0,47.0
Oguzalp13,34.54545454545455,65.45454545454545,0.0,55.0
Evalena2024,44.0,52.0,4.0,50.0
DanHarner,44.0,50.0,6.0,50.0
mm576,39.62264150943396,60.37735849056604,0.0,53.0
Krabulut,49.01960784313725,49.01960784313725,1.96078431372549,51.0
the_think_machine,100.0,0.0,0.0,1.0
lionsden19,41.66666666666667,50.0,8.333333333333332,12.0
s7alamen,40.0,54.0,6.0,50.0
Marifercristobal,41.17647058823529,54.90196078431373,3.92156862745098,51.0
maz350_k1,44.0,52.0,4.0,50.0
Beemsterboa,63.46153846153846,34.61538461538461,1.9230769230769231,52.0
big-bad,54.0,38.0,8.0,50.0
Cyanideandhappiness,32.142857142857146,67.85714285714286,0.0,28.0
lvbnhbq1982,50.0,42.30769230769231,7.6923076923076925,52.0
Bobbynae,38.46153846153847,53.84615384615385,7.6923076923076925,39.0
fortaken,39.58333333333333,52.083333333333336,8.333333333333332,48.0
jonateng,39.21568627450981,58.82352941176471,1.96078431372549,51.0
schachsinnig,46.15384615384615,51.92307692307693,1.9230769230769231,52.0
BMBenito_2016_Tugue,37.25490196078432,58.82352941176471,3.92156862745098,51.0
bobsonx10,56.86274509803921,43.13725490196079,0.0,51.0
vahid1402,43.13725490196079,52.94117647058824,3.92156862745098,51.0
harrisonpeen65,44.0,46.0,10.0,50.0
BenWeb1664,52.0,46.0,2.0,50.0
VaChechnev,49.01960784313725,41.17647058823529,9.803921568627452,51.0
SirNefarious630,45.23809523809524,50.0,4.761904761904762,42.0
GramBoLubie66,34.54545454545455,49.09090909090909,16.363636363636363,55.0
tshifeler,47.91666666666667,47.91666666666667,4.166666666666666,48.0
foreverStuck,46.15384615384615,53.84615384615385,0.0,52.0
soloview,35.41666666666667,62.5,2.083333333333333,48.0
Kawabanga222,45.09803921568628,52.94117647058824,1.96078431372549,51.0
NiemannFan,46.93877551020408,44.89795918367347,8.16326530612245,49.0
Rawoul,35.84905660377358,64.15094339622641,0.0,53.0
tolezet,48.97959183673469,44.89795918367347,6.122448979591836,49.0
mangosta_1962,40.0,60.0,0.0,50.0
wdfub1,36.53846153846153,59.61538461538461,3.8461538461538463,52.0
P3rrys0n,51.02040816326531,44.89795918367347,4.081632653061225,49.0
Alexkonstbg,50.98039215686274,47.05882352941176,1.96078431372549,51.0
Sp1aw,46.15384615384615,53.84615384615385,0.0,13.0
OLEGPLAYER152,41.66666666666667,56.25,2.083333333333333,48.0
Endgamelost,50.0,50.0,0.0,2.0
timlawson,49.01960784313725,43.13725490196079,7.84313725490196,51.0
AhmedHonda1986,44.0,50.0,6.0,50.0
gittilayke,56.86274509803921,41.17647058823529,1.96078431372549,51.0
ramac-bartol,56.86274509803921,37.25490196078432,5.88235294117647,51.0
bluecow1,37.25490196078432,58.82352941176471,3.92156862745098,51.0
AvBurakhan,57.692307692307686,40.38461538461539,1.9230769230769231,52.0
dukicmond,49.01960784313725,47.05882352941176,3.92156862745098,51.0
northern_monkey,47.05882352941176,47.05882352941176,5.88235294117647,51.0
mmevlutbyr,44.0,54.0,2.0,50.0
D4boss,44.230769230769226,53.84615384615385,1.9230769230769231,52.0
cursedfg,53.333333333333336,42.22222222222222,4.444444444444445,45.0
zdarzbrum,34.0,60.0,6.0,50.0
deestar,40.38461538461539,57.692307692307686,1.9230769230769231,52.0
bachmoch90,56.25,43.75,0.0,48.0
mehmeto,40.0,60.0,0.0,50.0
dvsuhov,0.0,0.0,0.0,0.0
RoseWhite,38.775510204081634,59.18367346938776,2.0408163265306123,49.0
potamianov,40.32258064516129,53.2258064516129,6.451612903225806,62.0
mrkingtony,41.17647058823529,58.82352941176471,0.0,51.0
bullseye9,40.81632653061224,46.93877551020408,12.244897959183673,49.0
kezhik_0,50.0,42.0,8.0,50.0
albassem4,51.02040816326531,48.97959183673469,0.0,49.0
Sky0010,44.89795918367347,53.06122448979592,2.0408163265306123,49.0
bobby-vishy,57.446808510638306,42.5531914893617,0.0,47.0
PlayaONE,42.0,56.00000000000001,2.0,50.0
leongambit,48.97959183673469,48.97959183673469,2.0408163265306123,49.0
loup76,44.0,52.0,4.0,50.0
jonny0507,49.056603773584904,43.39622641509434,7.547169811320755,53.0
Frantz27,50.0,40.74074074074074,9.25925925925926,54.0
Saganash13,55.10204081632652,42.857142857142854,2.0408163265306123,49.0
Oida1,47.91666666666667,45.83333333333333,6.25,48.0
Yazish,55.10204081632652,38.775510204081634,6.122448979591836,49.0
Naddyuza,40.38461538461539,55.769230769230774,3.8461538461538463,52.0
IplayforDRAW,51.85185185185185,46.2962962962963,1.8518518518518516,54.0
sandraekaputra,50.0,48.0,2.0,50.0
ImaRandomBot,26.41509433962264,64.15094339622641,9.433962264150944,53.0
PorroRey,54.90196078431373,45.09803921568628,0.0,51.0
killagame72,53.333333333333336,44.44444444444444,2.2222222222222223,45.0
GROss044,32.0,66.0,2.0,50.0
RGratsch,43.13725490196079,56.86274509803921,0.0,51.0
irswamy,40.81632653061224,59.18367346938776,0.0,49.0
bernao,52.94117647058824,45.09803921568628,1.96078431372549,51.0
Piter-RR,41.66666666666667,56.25,2.083333333333333,48.0
ssekoss,56.00000000000001,42.0,2.0,50.0
CARMONAA,37.735849056603776,58.490566037735846,3.7735849056603774,53.0
usta9010,48.97959183673469,42.857142857142854,8.16326530612245,49.0
Muhammadqodir2,0.0,0.0,0.0,0.0
davidisraelhay,32.6530612244898,65.3061224489796,2.0408163265306123,49.0
werdnaz,52.94117647058824,39.21568627450981,7.84313725490196,51.0
yar13,41.30434782608695,58.69565217391305,0.0,46.0
Mahanand,44.0,50.0,6.0,50.0
furi_za,63.888888888888886,30.555555555555557,5.555555555555555,36.0
Litelants,43.13725490196079,50.98039215686274,5.88235294117647,51.0
Menierva916,42.857142857142854,55.10204081632652,2.0408163265306123,49.0
mimar_harsen,42.5,52.5,5.0,40.0
Mohammad_m3d,50.0,48.0,2.0,50.0
seyed1349zia,57.99999999999999,36.0,6.0,50.0
Shikabella,42.0,54.0,4.0,50.0
bukidron,34.61538461538461,63.46153846153846,1.9230769230769231,52.0
Tymanov_V,39.62264150943396,54.71698113207547,5.660377358490567,53.0
warsawplayer,60.0,36.0,4.0,50.0
insane_ke,43.75,50.0,6.25,48.0
Strength5gorsk,51.02040816326531,46.93877551020408,2.0408163265306123,49.0
Walkere,42.857142857142854,46.93877551020408,10.20408163265306,49.0
Devdutt_three,26.53061224489796,63.26530612244898,10.20408163265306,49.0
CruaWarrior,69.23076923076923,26.923076923076923,3.8461538461538463,52.0
fezfez_05,42.857142857142854,48.97959183673469,8.16326530612245,49.0
antibiotik1985,51.92307692307693,46.15384615384615,1.9230769230769231,52.0
kulik7,53.48837209302325,39.53488372093023,6.976744186046512,43.0
YUBAMACO,50.0,41.66666666666667,8.333333333333332,12.0
MaxLag,38.775510204081634,59.18367346938776,2.0408163265306123,49.0
bruno1m2m3,49.01960784313725,49.01960784313725,1.96078431372549,51.0
shujau,42.30769230769231,53.84615384615385,3.8461538461538463,52.0
GlobalChessArena,43.13725490196079,52.94117647058824,3.92156862745098,51.0
BodyMindSoul,53.84615384615385,46.15384615384615,0.0,52.0
MR_HBashoq,27.27272727272727,63.63636363636363,9.090909090909092,11.0
teperto,48.07692307692308,48.07692307692308,3.8461538461538463,52.0
Andriy60,41.17647058823529,58.82352941176471,0.0,51.0
warelds2,45.28301886792453,52.83018867924528,1.8867924528301887,53.0
amirshahal,41.66666666666667,56.25,2.083333333333333,48.0
akrmakrm,44.0,54.0,2.0,50.0
jsedano,43.39622641509434,52.83018867924528,3.7735849056603774,53.0
maciberia,0.0,0.0,0.0,0.0
Uganey26rus,52.0,48.0,0.0,50.0
Mi0091,52.0,44.0,4.0,50.0
pejciczrn,59.61538461538461,40.38461538461539,0.0,52.0
pooyapli1,37.25490196078432,60.78431372549019,1.96078431372549,51.0
DGBerana,50.0,30.0,20.0,10.0
Gatto03,54.0,42.0,4.0,50.0
foolsandhorses,49.01960784313725,43.13725490196079,7.84313725490196,51.0
BillOudi,50.0,48.07692307692308,1.9230769230769231,52.0
tm2383,30.0,60.0,10.0,10.0
Vadim1107,0.0,100.0,0.0,2.0
BismarckWP,48.97959183673469,48.97959183673469,2.0408163265306123,49.0
Maks633010,50.98039215686274,43.13725490196079,5.88235294117647,51.0
David_P0,44.44444444444444,50.0,5.555555555555555,54.0
r_117,11.76470588235294,76.47058823529412,11.76470588235294,17.0
Checho19,47.91666666666667,50.0,2.083333333333333,48.0
Brass67,57.14285714285714,30.612244897959183,12.244897959183673,49.0
Vaibhav_Dang,31.37254901960784,64.70588235294117,3.92156862745098,51.0
Eden-Hasard,46.15384615384615,46.15384615384615,7.6923076923076925,52.0
bmbarto,51.06382978723404,46.808510638297875,2.127659574468085,47.0
MrChuckL,41.30434782608695,54.34782608695651,4.3478260869565215,46.0
burnedlight,44.89795918367347,53.06122448979592,2.0408163265306123,49.0
potrerillos94,61.702127659574465,31.91489361702128,6.382978723404255,47.0
AMRJ9,42.5531914893617,53.191489361702125,4.25531914893617,47.0
blueskychess22,62.0,30.0,8.0,50.0
hosseinhatami7595,40.0,55.00000000000001,5.0,40.0
misos_35,41.66666666666667,56.25,2.083333333333333,48.0
abasad1,42.0,56.00000000000001,2.0,50.0
buttbreff,48.93617021276596,46.808510638297875,4.25531914893617,47.0
OgSnkrbbb,52.83018867924528,45.28301886792453,1.8867924528301887,53.0
smailllll,50.98039215686274,43.13725490196079,5.88235294117647,51.0
fesed18,53.84615384615385,44.230769230769226,1.9230769230769231,52.0
respublicano,50.0,47.91666666666667,2.083333333333333,48.0
