user_id,win_rate,lose_rate,draw_rate,game_count
Panela_Neiva,52.0,41.0,7.0,100.0
spondylus,55.0,37.0,8.0,100.0
kedpl820,33.0,66.0,0.0,9.0
Kalen14,39.0,52.0,9.0,100.0
AKSHAT6445_KAUSHIK,0.0,100.0,0.0,6.0
Mandarin-2014,33.0,66.0,0.0,3.0
zmfw20230128,0.0,100.0,0.0,1.0
RubenBouwer_123,40.0,54.0,6.0,100.0
jo9216,47.0,47.0,6.0,100.0
sneero,50.0,47.0,3.0,100.0
reav20,51.0,43.0,6.0,100.0
deejayrino,44.0,55.0,0.0,27.0
s_d07,41.0,50.0,8.0,36.0
crackmeifyoucan,48.0,50.0,2.0,100.0
Jaz-O,41.0,56.0,3.0,100.0
universal_boss,33.0,66.0,0.0,9.0
sa1t0r,48.0,50.0,2.0,100.0
zeb77,49.0,47.0,4.0,100.0
AdhirajSingh8x8,41.0,57.0,1.0,100.0
maragao85,45.0,50.0,5.0,100.0
AhmedTRThD,100.0,0.0,0.0,9.0
WSoler,49.0,50.0,1.0,100.0
ditya,52.0,41.0,7.0,100.0
marcotraficante,51.0,49.0,0.0,100.0
kassys23,49.0,51.0,0.0,100.0
vGNS,42.0,56.0,2.0,100.0
KhaledAlaghawani,38.0,60.0,2.0,100.0
DrAltayebabd125,42.0,53.0,5.0,100.0
ridamo,45.0,51.0,4.0,100.0
manodepiedra10,50.0,44.0,6.0,100.0
lilyn_lore,34.0,64.0,2.0,100.0
Tristan011111,53.0,39.0,8.0,100.0
Michael_Pinar,51.0,44.0,5.0,100.0
T3560918955,66.0,32.0,2.0,100.0
Luffy_69,47.0,47.0,4.0,63.0
newmove2,49.0,50.0,1.0,100.0
iamlesenichad,52.0,44.0,4.0,100.0
pm_hansraj,84.0,7.0,7.0,39.0
heysiri123,45.0,53.0,2.0,100.0
mimimimimimimimimimi,51.0,42.0,7.0,100.0
savas011,63.0,18.0,18.0,33.0
hassan055,40.0,56.0,4.0,100.0
Syaifudin067,45.0,52.0,3.0,100.0
JuanTuny,33.0,66.0,0.0,9.0
RaJaBrAzI,70.0,26.0,4.0,100.0
Imbuia,50.0,45.0,5.0,100.0
l_Mouadh,38.0,55.0,5.0,54.0
Aizakku-uchiha,50.0,34.0,16.0,100.0
alekhine_cat_chess,49.0,48.0,3.0,100.0
FedorKarpenko,50.0,48.0,2.0,100.0
LeonardoCamacho2003,33.0,50.0,16.0,18.0
Chessplayer_77,44.0,49.0,7.0,100.0
ahafiy,44.0,56.0,0.0,75.0
Amitgedam,0.0,100.0,0.0,6.0
gonflynn,53.0,42.0,5.0,100.0
Boomshackalacka,80.0,20.0,0.0,100.0
matoXmorphY,45.0,54.0,0.0,72.0
bones0902,49.0,47.0,4.0,100.0
a1202120897,50.0,46.0,4.0,100.0
playlikecapa,46.0,52.0,2.0,100.0
niko1122,43.0,51.0,6.0,100.0
ElenaDrozdina,37.0,61.0,2.0,100.0
xkirsch,54.0,46.0,0.0,100.0
bekirinie,42.0,57.0,0.0,100.0
JoshRobo22,50.0,37.0,12.0,48.0
Lecitronvoyager,51.0,42.0,7.0,100.0
jakubczerwonski,42.0,56.0,2.0,100.0
EdoardoScarabelli,53.0,43.0,4.0,100.0
J_ov,0.0,100.0,0.0,3.0
wahyudiutomo,43.0,50.0,7.0,100.0
Adams000,38.0,56.0,5.0,100.0
