user_id,win_rate,lose_rate,draw_rate,game_count
alban28,51.0,42.0,7.0,100.0
abacaalan,13.0,86.0,0.0,22.0
ITS_JUST_A_PAWN,73.0,26.0,0.0,57.0
oy42507,0.0,100.0,0.0,3.0
al_new,57.0,35.0,7.0,42.0
Tolik08,59.0,41.0,0.0,100.0
utufa,50.0,50.0,0.0,30.0
socojay,38.0,56.0,5.0,100.0
Apostazikale,55.0,45.0,0.0,100.0
SylfriedT,42.0,56.0,1.0,100.0
tjmakmak,44.0,51.0,5.0,100.0
Widodo007,51.0,49.0,0.0,100.0
Pilot-Danya,40.0,60.0,0.0,15.0
eltactico62,51.0,40.0,9.0,100.0
breslauchess,50.0,44.0,6.0,100.0
Arbaaz_Makandar,40.0,53.0,7.0,100.0
Don_Arsen,48.0,47.0,5.0,100.0
Tanatako,49.0,50.0,1.0,100.0
santosamaral,60.0,32.0,8.0,100.0
Yasyas98,53.0,42.0,3.0,78.0
karnaticalDecay,0.0,100.0,0.0,3.0
timfsh61,42.0,50.0,8.0,100.0
valeiosky,46.0,52.0,2.0,100.0
Reshma_786,25.0,75.0,0.0,12.0
wiosennydelfin,54.0,42.0,4.0,100.0
b098765432,41.0,54.0,5.0,100.0
zepoll,41.0,57.0,1.0,100.0
adamiva5,50.0,46.0,4.0,100.0
mulyanafis,51.0,48.0,1.0,100.0
kazakjigit,41.0,56.0,3.0,100.0
Outie5000,42.0,57.0,0.0,78.0
feren42,48.0,46.0,6.0,100.0
imperialxadrez1,45.0,49.0,6.0,100.0
souloflion7,64.0,35.0,0.0,51.0
farhadchavoshy1980,47.0,52.0,1.0,100.0
KBIndian14,37.0,56.0,7.0,100.0
aronnax18,44.0,51.0,5.0,100.0
Anndking,25.0,75.0,0.0,8.0
poyraztahmaz18,25.0,75.0,0.0,4.0
yacin39,0.0,50.0,50.0,6.0
SaintlessSoul,53.0,45.0,2.0,100.0
lmc97,56.0,44.0,0.0,100.0
carlosmartin75,59.0,37.0,4.0,100.0
RafaelMartinez,42.0,46.0,12.0,100.0
Zapatapa,72.0,22.0,6.0,100.0
haci_mehmet,44.0,52.0,4.0,100.0
dob3120,0.0,100.0,0.0,3.0
pabloakroobata,30.0,61.0,9.0,100.0
ToyoGlumov,52.0,41.0,5.0,51.0
thegreatGustavo,48.0,52.0,0.0,75.0
hadyalsseg,55.0,44.0,0.0,27.0
DragonOfTheWes,51.0,44.0,5.0,100.0
cefraricrazy,46.0,49.0,5.0,100.0
PirateAvogadro,54.0,43.0,3.0,100.0
Szczerbaty,44.0,55.0,1.0,100.0
Mahmoudmousa777,46.0,51.0,3.0,100.0
AAAAA-OOOO,43.0,53.0,4.0,100.0
Jena-Boy,57.0,42.0,0.0,100.0
Billbeeduck,27.0,70.0,3.0,100.0
I_DOSVIDOS,49.0,49.0,2.0,100.0
isma4,48.0,50.0,2.0,100.0
stelaras007,47.0,50.0,3.0,100.0
sancaktar115,55.0,42.0,3.0,100.0
george17,54.0,41.0,5.0,100.0
Vivalydi,66.0,33.0,0.0,18.0
SachaBouet,70.0,27.0,3.0,100.0
Sociables,44.0,41.0,15.0,100.0
Quintero77,46.0,45.0,9.0,100.0
CarlaCamila,40.0,55.0,5.0,100.0
Zevensteen,43.0,56.0,1.0,100.0
NJAlves,56.0,42.0,2.0,100.0
andrzej602,48.0,49.0,3.0,100.0
Agmotex,100.0,0.0,0.0,3.0
A347,41.0,38.0,21.0,100.0
Zeus_Poseidon,51.0,47.0,2.0,100.0
Pitzz,56.0,41.0,3.0,100.0
WreathNoel,48.0,51.0,1.0,100.0
behroozrezaei,56.0,39.0,5.0,100.0
Adolescence_03,36.0,59.0,5.0,100.0
Nextkinghuntt,34.0,59.0,7.0,100.0
OratileKgotlane1,52.0,35.0,13.0,100.0
Telioridov,47.0,47.0,6.0,100.0
getoutofmyswamp,33.0,61.0,5.0,54.0
Robert1959s,40.0,60.0,0.0,45.0
bekuz27,52.0,42.0,6.0,100.0
Noaltomate,44.0,50.0,6.0,100.0
MichaelBear12,55.0,42.0,3.0,100.0
msliwka,42.0,55.0,3.0,100.0
OPathul,51.0,41.0,8.0,100.0
ADN87,54.0,39.0,7.0,100.0
daddy4455,56.0,28.0,14.0,100.0
antoineblack,52.0,45.0,3.0,100.0
CANKIYAK,100.0,0.0,0.0,21.0
Izitso21,55.0,44.0,1.0,100.0
Shiiinyyy,44.0,55.0,0.0,27.0
R18SSS,66.0,27.0,5.0,54.0
FC_Dnipro,48.0,47.0,5.0,100.0
whatareyoudoing7,35.0,60.0,5.0,60.0
East_ellite,50.0,50.0,0.0,6.0
kangwabwembyA1,41.0,52.0,7.0,100.0
DrMohamedNasr,34.0,59.0,7.0,100.0
crosscheq,44.0,50.0,6.0,100.0
AboamerM,51.0,44.0,5.0,100.0
TheNameWadu,50.0,44.0,6.0,100.0
Sunny6807,50.0,50.0,0.0,6.0
BlundersWithHaz,50.0,40.0,10.0,100.0
Trasto79,44.0,54.0,2.0,100.0
vovak58,50.0,48.0,2.0,100.0
MADARA343,53.0,45.0,2.0,100.0
android1234,52.0,41.0,7.0,100.0
Eno3,48.0,50.0,2.0,100.0
Aktush_46,47.0,45.0,8.0,100.0
Falkots88,52.0,41.0,7.0,100.0
EgyptianChessGenius,41.0,56.0,2.0,100.0
Micki99,100.0,0.0,0.0,3.0
moleman7,51.0,49.0,0.0,100.0
WAC-47,44.0,52.0,4.0,100.0
rinert,54.0,45.0,0.0,33.0
the-best-in-history,38.0,56.0,6.0,100.0
RonP78,53.0,45.0,2.0,100.0
hhhidalgo,41.0,57.0,1.0,100.0
pjf399,37.0,61.0,2.0,100.0
ahmedmemo165790,40.0,50.0,10.0,100.0
Mnogeek,33.0,66.0,0.0,27.0
AnormalHP,44.0,55.0,0.0,27.0
Fath66,55.0,44.0,0.0,27.0
JCassChess,49.0,50.0,1.0,100.0
Jordon37,50.0,47.0,3.0,100.0
pe_Recife,0.0,100.0,0.0,3.0
the_smasher,43.0,51.0,6.0,100.0
end_game11,38.0,57.0,4.0,100.0
Jaro50,45.0,51.0,4.0,100.0
Karakala666,55.0,42.0,3.0,100.0
Porfirion222,44.0,51.0,5.0,100.0
Alex-Tishin2021,47.0,46.0,7.0,100.0
Zatluanga,46.0,53.0,1.0,100.0
Ramzes17,59.0,35.0,6.0,100.0
ivo1977,48.0,48.0,4.0,100.0
Swish_and_flick,37.0,56.0,6.0,100.0
Gena_Bg5,56.0,39.0,5.0,100.0
Starfin7,50.0,43.0,6.0,48.0
Leandro36asa,50.0,50.0,0.0,12.0
csaba_nemeth,38.0,56.0,6.0,100.0
RONALDOMOISES,32.0,60.0,8.0,100.0
emrahhckk,54.0,44.0,2.0,100.0
SANIDHYA1301,41.0,48.0,10.0,87.0
sahsec,47.0,53.0,0.0,100.0
shalop4i,66.0,33.0,0.0,18.0
LakshmananV,0.0,100.0,0.0,18.0
CelalCatma1907,47.0,46.0,7.0,100.0
Nutzer5,57.0,28.0,14.0,21.0
jgoldsmith3,42.0,51.0,7.0,100.0
mr_obama,75.0,25.0,0.0,24.0
WULFGOR,45.0,49.0,6.0,100.0
IAmTheGuy,18.0,81.0,0.0,33.0
Rodrirod18,49.0,47.0,4.0,100.0
notorious1717,0.0,100.0,0.0,6.0
theycallmegoddes,36.0,45.0,18.0,33.0
Lopozeeee,55.0,40.0,5.0,100.0
Rafael7B,42.0,56.0,1.0,100.0
buidangkhoi0501,81.0,9.0,9.0,33.0
natopedroso,51.0,47.0,2.0,100.0
omidesma,41.0,56.0,2.0,100.0
worthy28,44.0,51.0,5.0,100.0
abodalazzam,44.0,44.0,11.0,54.0
Dmitry_Loshakov,51.0,42.0,7.0,100.0
Ziterman,48.0,47.0,5.0,100.0
Ahmad-Osman,10.0,88.0,2.0,100.0
MaikMuikBrueckner,45.0,47.0,8.0,100.0
