user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
alban28,51.0,42.0,7.0,100.0,2012.0
abacaalan,13.0,86.0,0.0,22.0,1145.0
ITS_JUST_A_PAWN,73.0,26.0,0.0,57.0,2005.0
oy42507,0.0,100.0,0.0,3.0,1266.0
al_new,57.0,35.0,7.0,42.0,1729.0
Tolik08,59.0,41.0,0.0,100.0,1896.0
utufa,50.0,50.0,0.0,30.0,1935.0
socojay,38.0,56.0,5.0,100.0,1301.0
Apostazikale,55.0,45.0,0.0,100.0,1012.0
SylfriedT,42.0,56.0,1.0,100.0,1451.0
tjmakmak,44.0,51.0,5.0,100.0,1886.0
Widodo007,51.0,49.0,0.0,100.0,1799.0
Pilot-Danya,40.0,60.0,0.0,15.0,1441.0
eltactico62,51.0,40.0,9.0,100.0,2472.0
breslauchess,50.0,44.0,6.0,100.0,1818.0
Arbaaz_Makandar,40.0,53.0,7.0,100.0,1035.0
Don_Arsen,48.0,47.0,5.0,100.0,1985.0
Tanatako,49.0,50.0,1.0,100.0,1740.0
santosamaral,60.0,32.0,8.0,100.0,1035.0
Yasyas98,53.0,42.0,3.0,78.0,1823.0
karnaticalDecay,0.0,100.0,0.0,3.0,2201.0
timfsh61,42.0,50.0,8.0,100.0,1690.0
valeiosky,46.0,52.0,2.0,100.0,1598.0
Reshma_786,25.0,75.0,0.0,12.0,538.0
wiosennydelfin,54.0,42.0,4.0,100.0,1159.0
b098765432,41.0,54.0,5.0,100.0,1589.0
zepoll,41.0,57.0,1.0,100.0,1119.0
adamiva5,50.0,46.0,4.0,100.0,2385.0
mulyanafis,51.0,48.0,1.0,100.0,1536.0
kazakjigit,41.0,56.0,3.0,100.0,1392.0
Outie5000,42.0,57.0,0.0,78.0,2083.0
feren42,48.0,46.0,6.0,100.0,1832.0
imperialxadrez1,45.0,49.0,6.0,100.0,1893.0
souloflion7,64.0,35.0,0.0,51.0,1917.0
farhadchavoshy1980,47.0,52.0,1.0,100.0,1391.0
KBIndian14,37.0,56.0,7.0,100.0,1607.0
aronnax18,44.0,51.0,5.0,100.0,1753.0
Anndking,25.0,75.0,0.0,8.0,1170.0
poyraztahmaz18,25.0,75.0,0.0,4.0,1036.0
yacin39,0.0,50.0,50.0,6.0,1240.0
SaintlessSoul,53.0,45.0,2.0,100.0,1091.0
lmc97,56.0,44.0,0.0,100.0,2009.0
carlosmartin75,59.0,37.0,4.0,100.0,1237.0
RafaelMartinez,42.0,46.0,12.0,100.0,2137.0
Zapatapa,72.0,22.0,6.0,100.0,2415.0
