user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
Bier-trinken,51.0,43.0,6.0,100.0,1446.0
EL_TEMPANO,48.0,50.0,2.0,100.0,2134.0
yntenot21,25.0,50.0,25.0,4.0,1340.0
V4lium,0.0,100.0,0.0,9.0,1898.0
dosmenosuno,51.0,44.0,5.0,100.0,1678.0
Lulor,54.0,42.0,4.0,100.0,2061.0
MatLan_Sopan,55.0,43.0,2.0,100.0,1418.0
Mehmet_7,47.0,47.0,6.0,100.0,1551.0
Stevenbaker91,45.0,52.0,3.0,100.0,1818.0
Mr-KARTAL,46.0,51.0,3.0,100.0,1672.0
Chen7151980,45.0,51.0,4.0,100.0,1546.0
drinkestain,33.0,50.0,16.0,18.0,2174.0
Irbis_zp,16.0,80.0,4.0,75.0,893.0
kingZkaspa,57.0,40.0,2.0,100.0,1934.0
zulkarnianil,55.0,43.0,2.0,100.0,1289.0
rosealec,53.0,45.0,2.0,100.0,2096.0
Nas115,49.0,47.0,4.0,100.0,1606.0
lostmyqueen,48.0,50.0,2.0,100.0,1729.0
IzbasarovTimur1707,54.0,42.0,4.0,100.0,1625.0
JOMERA,48.0,46.0,6.0,100.0,1663.0
EggBag,43.0,55.0,2.0,100.0,1694.0
F7-F8,15.0,76.0,7.0,39.0,1607.0
ar2rb,38.0,57.0,4.0,100.0,
kingwolf1234,72.0,27.0,0.0,54.0,2398.0
RuslanFromUfa,61.0,22.0,16.0,54.0,2100.0
waiwaiwaip,46.0,51.0,3.0,100.0,1184.0
LEKOFCHESS,0.0,100.0,0.0,15.0,1682.0
adv3,66.0,33.0,0.0,9.0,945.0
lengvar,45.0,48.0,7.0,100.0,2144.0
Sbrao89,37.0,55.0,8.0,100.0,1184.0
teoberliches83,54.0,44.0,2.0,100.0,1146.0
Chessiscool1972,33.0,66.0,0.0,9.0,2033.0
Dimonzza,56.0,44.0,0.0,100.0,1163.0
Mauro-39,43.0,51.0,6.0,100.0,1974.0
IceDweller,44.0,48.0,6.0,87.0,1346.0
helvetia,51.0,47.0,2.0,100.0,1380.0
bor933,47.0,47.0,4.0,69.0,1808.0
slavadeq,31.0,52.0,15.0,57.0,2205.0
axolm,49.0,48.0,3.0,100.0,1147.0
Paidjo69,42.0,53.0,5.0,100.0,2078.0
mogwai23,53.0,42.0,5.0,100.0,1081.0
chesstime,56.0,33.0,10.0,100.0,2308.0
neslisah118815,0.0,0.0,100.0,3.0,1288.0
Dirki04,56.0,44.0,0.0,100.0,1643.0
VK_ole,43.0,54.0,3.0,100.0,1467.0
Maciej_zz,10.0,88.0,2.0,100.0,710.0
Hemmuhil15,38.0,56.0,6.0,100.0,1818.0
pkruser1,56.0,36.0,6.0,90.0,1820.0
nikleshchess,56.0,36.0,7.0,100.0,2202.0
algrearat,68.0,32.0,0.0,75.0,1397.0
PinkieTwinkie,40.0,52.0,8.0,100.0,1826.0
Yeraboina,46.0,45.0,9.0,100.0,1557.0
roka-schirg,52.0,44.0,4.0,100.0,1863.0
no-name_2734,75.0,25.0,0.0,24.0,2030.0
kiepa,42.0,55.0,3.0,100.0,1377.0
Amirreza220,47.0,50.0,3.0,100.0,1711.0
mr_iuz,0.0,100.0,0.0,3.0,1681.0
Sanuchess1729,0.0,100.0,0.0,9.0,1702.0
WildKnight77,47.0,50.0,3.0,100.0,1774.0
qvc_malding,48.0,48.0,4.0,100.0,1808.0
IiroRantal,47.0,41.0,12.0,100.0,2286.0
Unknownplayer101010,56.0,40.0,4.0,75.0,2476.0
Focalius,43.0,54.0,3.0,100.0,1521.0
bala1955,41.0,58.0,0.0,36.0,1734.0
sgsgzh,54.0,42.0,4.0,100.0,2039.0
