user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
Panela_Neiva,52.0,41.0,7.0,100.0,1820.0
spondylus,55.0,37.0,8.0,100.0,2094.0
kedpl820,33.0,66.0,0.0,9.0,1054.0
Kalen14,39.0,52.0,9.0,100.0,1868.0
AKSHAT6445_KAUSHIK,0.0,100.0,0.0,6.0,1450.0
Mandarin-2014,33.0,66.0,0.0,3.0,1427.0
zmfw20230128,0.0,100.0,0.0,1.0,1282.0
RubenBouwer_123,40.0,54.0,6.0,100.0,1162.0
jo9216,47.0,47.0,6.0,100.0,1512.0
sneero,50.0,47.0,3.0,100.0,1862.0
reav20,51.0,43.0,6.0,100.0,1630.0
deejayrino,44.0,55.0,0.0,27.0,1701.0
s_d07,41.0,50.0,8.0,36.0,1505.0
crackmeifyoucan,48.0,50.0,2.0,100.0,1701.0
Jaz-O,41.0,56.0,3.0,100.0,1886.0
universal_boss,33.0,66.0,0.0,9.0,1574.0
sa1t0r,48.0,50.0,2.0,100.0,1518.0
zeb77,49.0,47.0,4.0,100.0,2069.0
AdhirajSingh8x8,41.0,57.0,1.0,100.0,1588.0
maragao85,45.0,50.0,5.0,100.0,1990.0
AhmedTRThD,100.0,0.0,0.0,9.0,1463.0
WSoler,49.0,50.0,1.0,100.0,2004.0
ditya,52.0,41.0,7.0,100.0,1793.0
marcotraficante,51.0,49.0,0.0,100.0,2089.0
kassys23,49.0,51.0,0.0,100.0,1703.0
vGNS,42.0,56.0,2.0,100.0,1632.0
KhaledAlaghawani,38.0,60.0,2.0,100.0,1989.0
DrAltayebabd125,42.0,53.0,5.0,100.0,1479.0
ridamo,45.0,51.0,4.0,100.0,1717.0
manodepiedra10,50.0,44.0,6.0,100.0,1963.0
lilyn_lore,34.0,64.0,2.0,100.0,1500.0
Tristan011111,53.0,39.0,8.0,100.0,1666.0
Michael_Pinar,51.0,44.0,5.0,100.0,2309.0
T3560918955,66.0,32.0,2.0,100.0,1350.0
Luffy_69,47.0,47.0,4.0,63.0,1236.0
newmove2,49.0,50.0,1.0,100.0,2345.0
iamlesenichad,52.0,44.0,4.0,100.0,1534.0
pm_hansraj,84.0,7.0,7.0,39.0,1775.0
heysiri123,45.0,53.0,2.0,100.0,1146.0
mimimimimimimimimimi,51.0,42.0,7.0,100.0,1344.0
savas011,63.0,18.0,18.0,33.0,1856.0
hassan055,40.0,56.0,4.0,100.0,1512.0
Syaifudin067,45.0,52.0,3.0,100.0,1678.0
JuanTuny,33.0,66.0,0.0,9.0,1643.0
RaJaBrAzI,70.0,26.0,4.0,100.0,1539.0
Imbuia,50.0,45.0,5.0,100.0,1875.0
l_Mouadh,38.0,55.0,5.0,54.0,1453.0
Aizakku-uchiha,50.0,34.0,16.0,100.0,1687.0
alekhine_cat_chess,49.0,48.0,3.0,100.0,1620.0
FedorKarpenko,50.0,48.0,2.0,100.0,1413.0
LeonardoCamacho2003,33.0,50.0,16.0,18.0,1405.0
Chessplayer_77,44.0,49.0,7.0,100.0,1773.0
ahafiy,44.0,56.0,0.0,75.0,1399.0
Amitgedam,0.0,100.0,0.0,6.0,1233.0
gonflynn,53.0,42.0,5.0,100.0,1874.0
Boomshackalacka,80.0,20.0,0.0,100.0,2266.0
matoXmorphY,45.0,54.0,0.0,72.0,1860.0
bones0902,49.0,47.0,4.0,100.0,2200.0
a1202120897,50.0,46.0,4.0,100.0,1476.0
playlikecapa,46.0,52.0,2.0,100.0,1765.0
niko1122,43.0,51.0,6.0,100.0,1965.0
ElenaDrozdina,37.0,61.0,2.0,100.0,1179.0
xkirsch,54.0,46.0,0.0,100.0,1911.0
bekirinie,42.0,57.0,0.0,100.0,1490.0
JoshRobo22,50.0,37.0,12.0,48.0,1254.0
Lecitronvoyager,51.0,42.0,7.0,100.0,1767.0
jakubczerwonski,42.0,56.0,2.0,100.0,1684.0
EdoardoScarabelli,53.0,43.0,4.0,100.0,1441.0
J_ov,0.0,100.0,0.0,3.0,1401.0
wahyudiutomo,43.0,50.0,7.0,100.0,1976.0
Adams000,38.0,56.0,5.0,100.0,1158.0
rabsalf,47.0,45.0,8.0,100.0,1967.0
A_Navous,52.0,44.0,4.0,100.0,1650.0
Yakov02,71.0,23.0,6.0,100.0,2245.0
Ivan_1_Gurov,44.0,48.0,8.0,100.0,2064.0
schumi89,45.0,49.0,6.0,100.0,1642.0
Bobbykumar17092003,40.0,56.0,4.0,100.0,1543.0
Barcelona1707,33.0,66.0,0.0,27.0,2365.0
Oleg_TT,43.0,50.0,7.0,100.0,1939.0
jesssbrah,45.0,49.0,6.0,100.0,1580.0
hyrden76,47.0,43.0,10.0,100.0,1835.0
yasirhamdani_2800,45.0,49.0,6.0,100.0,2313.0
won2loss,41.0,48.0,10.0,87.0,1649.0
Ahmad5768,51.0,44.0,5.0,100.0,1639.0
brot7,48.0,48.0,3.0,33.0,1976.0
le61yy,0.0,100.0,0.0,9.0,1131.0
ReyFolladorCuliador,44.0,55.0,0.0,34.0,1217.0
mentor78,39.0,55.0,6.0,100.0,1849.0
DocTaka,55.0,42.0,3.0,100.0,1332.0
AlexKharitonov62,49.0,45.0,6.0,100.0,2267.0
ilches,47.0,49.0,4.0,100.0,1550.0
Pepin21,52.0,46.0,2.0,100.0,1876.0
sadra_egh,57.0,39.0,3.0,100.0,1222.0
KapitanKukuruza,48.0,48.0,4.0,75.0,1567.0
devansh_gupta123,41.0,49.0,10.0,100.0,1271.0
Estig,54.0,41.0,5.0,100.0,1863.0
azlaba17,46.0,50.0,4.0,100.0,1746.0
Mayavi2020,39.0,54.0,7.0,100.0,2300.0
babafil,47.0,48.0,5.0,100.0,1415.0
Noningen_ari,52.0,43.0,5.0,100.0,1776.0
AdriaCl,0.0,100.0,0.0,6.0,1276.0
ritt12,54.0,44.0,2.0,100.0,1450.0
wadihusain,46.0,45.0,9.0,100.0,1876.0
CharlesBronsonsDog,45.0,53.0,2.0,100.0,2238.0
Badbatch_86,39.0,61.0,0.0,100.0,1500.0
Deepakoli_214,47.0,53.0,0.0,100.0,1278.0
Phoenix2508,47.0,39.0,14.0,100.0,1793.0
saedede,42.0,56.0,2.0,100.0,1714.0
AndreyLonG,59.0,31.0,10.0,100.0,1734.0
A959595,34.0,60.0,6.0,100.0,1892.0
Hidroksipropil,39.0,54.0,7.0,100.0,2363.0
masterim35,42.0,55.0,3.0,100.0,1716.0
Mih80,46.0,52.0,2.0,100.0,2032.0
Booker25800,38.0,51.0,11.0,100.0,1963.0
CheeseDc,44.0,48.0,8.0,100.0,1527.0
Aleks1703,0.0,0.0,100.0,3.0,1729.0
atrevetesinmiedo,37.0,52.0,11.0,100.0,1721.0
pan_daman,59.0,37.0,4.0,100.0,2444.0
KaladinStormlight,40.0,53.0,7.0,100.0,2054.0
BlackBeltHunter,100.0,0.0,0.0,2.0,1500.0
daoody5613,46.0,48.0,6.0,100.0,2008.0
Juwillose,59.0,36.0,4.0,47.0,1377.0
cxbaby95,47.0,50.0,3.0,100.0,2000.0
Master_RU,42.0,56.0,2.0,100.0,1759.0
puli3ib,49.0,47.0,4.0,100.0,2007.0
Deadover,61.0,36.0,3.0,100.0,2123.0
MarshMMA,47.0,46.0,7.0,100.0,1195.0
ezzsham,100.0,0.0,0.0,3.0,587.0
B_aeume,54.0,36.0,9.0,33.0,1710.0
Ignorante,49.0,46.0,5.0,100.0,1937.0
drblunderrr007,41.0,55.0,4.0,100.0,1817.0
