user_id,win_rate,lose_rate,draw_rate,game_count
vijayrr,37.0,62.0,0.0,24.0
SavageFenris,46.0,53.0,1.0,100.0
zzloi_sasha,52.0,45.0,3.0,100.0
batman432,33.0,66.0,0.0,27.0
sunnno,0.0,100.0,0.0,9.0
Eliz_892,0.0,0.0,0.0,0.0
Denis_Arts,43.0,54.0,3.0,100.0
koce2305,43.0,51.0,6.0,100.0
Shema_RCK,59.0,34.0,7.0,100.0
undercovernerd,56.0,34.0,9.0,100.0
Neal_Carey,45.0,54.0,0.0,33.0
upm,55.0,35.0,10.0,100.0
mrazebana,39.0,59.0,2.0,100.0
algenal,0.0,100.0,0.0,3.0
pojhgyfd,49.0,48.0,3.0,100.0
cro-stallione,45.0,55.0,0.0,100.0
Prene24,0.0,0.0,0.0,0.0
ApoorvChittora,45.0,47.0,8.0,100.0
skibidong,0.0,0.0,0.0,0.0
DangerKaspa,0.0,0.0,0.0,0.0
elguada10,44.0,52.0,4.0,100.0
uykucusupermannn,0.0,0.0,0.0,0.0
CHRISTMAS_KNIGHT,51.0,47.0,2.0,100.0
AdrianGhe1,47.0,50.0,3.0,100.0
MYMChessKevinC,16.0,80.0,4.0,75.0
ablul,51.0,49.0,0.0,100.0
palizvanalireza,36.0,62.0,1.0,79.0
Pinguin007,60.0,40.0,0.0,45.0
salva67,64.0,35.0,1.0,100.0
Aurelio-Cassillas,66.0,33.0,0.0,18.0
angelmarcos,16.0,83.0,0.0,36.0
watshas,53.0,42.0,5.0,100.0
Olifantjeisterug,0.0,0.0,0.0,0.0
crayala,57.0,42.0,0.0,21.0
ThatIsNotGood,66.0,33.0,0.0,9.0
FPSbrokenheart,44.0,50.0,6.0,100.0
ucheap,35.0,57.0,7.0,42.0
benjaavr,53.0,39.0,8.0,100.0
Gadanfar,0.0,0.0,0.0,0.0
Zakaria-i,39.0,59.0,2.0,100.0
vsevolod2003,42.0,51.0,7.0,100.0
Doggukan,52.0,43.0,5.0,100.0
imnotreine2,0.0,0.0,0.0,0.0
JUANCCS,42.0,50.0,7.0,84.0
simosom,38.0,55.0,7.0,100.0
Kukumaria70,0.0,0.0,0.0,0.0
BernieLopez,43.0,47.0,10.0,100.0
Jamal4006,0.0,100.0,0.0,6.0
Carmelo-seb,42.0,54.0,4.0,100.0
xadrezcomfogo,0.0,0.0,0.0,0.0
Cristo-Brando,46.0,52.0,2.0,100.0
Flux119,100.0,0.0,0.0,6.0
Mohammed_ai,40.0,60.0,0.0,15.0
HDav13,0.0,0.0,0.0,0.0
Larionov_Andrei102ru,47.0,39.0,13.0,69.0
GIANLUTUX,62.0,33.0,5.0,100.0
K_Paul,52.0,40.0,8.0,100.0
Cegas,51.0,43.0,6.0,100.0
Tenson,53.0,46.0,1.0,100.0
ninjaiscool,53.0,38.0,9.0,100.0
Ayazasgarov,50.0,50.0,0.0,6.0
ABishop1,0.0,0.0,0.0,0.0
CodeUltra11,55.0,41.0,4.0,100.0
aboubakr_17,48.0,50.0,2.0,100.0
elmar555,0.0,0.0,0.0,0.0
A-Zubarev,45.0,55.0,0.0,100.0
Manne2604,46.0,42.0,12.0,100.0
remitroamer,52.0,43.0,5.0,100.0
patatabullida,53.0,44.0,3.0,100.0
Almubarok,50.0,44.0,6.0,100.0
bn_3ugan,46.0,50.0,4.0,100.0
Blackermj,39.0,53.0,8.0,100.0
ArashRakhsha,47.0,53.0,0.0,100.0
elmejorlatin38,0.0,0.0,0.0,0.0
adkuAAKASH,0.0,0.0,0.0,0.0
Dayanababa,34.0,66.0,0.0,100.0
stefane01,0.0,100.0,0.0,3.0
montoto123,43.0,55.0,2.0,100.0
baidnandkumar,52.0,46.0,2.0,100.0
ivenogod,48.0,50.0,2.0,100.0
reza_najafzadeh,45.0,50.0,5.0,100.0
Logoskratos,48.0,46.0,6.0,100.0
Manikanda,48.0,45.0,7.0,100.0
ashraf7788819,42.0,42.0,14.0,42.0
Pino989,50.0,49.0,1.0,100.0
anvar1991,0.0,0.0,0.0,0.0
kauphylover,42.0,49.0,9.0,100.0
Tamaninja,42.0,57.0,0.0,42.0
Composite99,0.0,100.0,0.0,6.0
PRABIR03,55.0,45.0,0.0,60.0
Behnamebrahimzadeh,0.0,0.0,0.0,0.0
Muallimim,48.0,48.0,4.0,100.0
Quasar15,39.0,55.0,6.0,100.0
abua_741,32.0,65.0,3.0,100.0
hakona123,0.0,100.0,0.0,3.0
aboudaldous,47.0,53.0,0.0,100.0
teslaweapon,40.0,55.0,5.0,100.0
nokemov,45.0,51.0,4.0,100.0
Capablanca1967,50.0,48.0,2.0,100.0
