user_id,blitz_rating,highest_blitz_opponent_rating,second_highest_blitz_opponent_rating,third_highest_blitz_opponent_rating,win_streak_current,win_streak_max,loss_streak_current,loss_streak_max,total_games_played
engsultan00,1768.0,2221.0,2207.0,2126.0,0.0,13.0,2.0,14.0,13599
Panfi,1351.0,1557.0,1548.0,1546.0,3.0,12.0,0.0,11.0,8551
rsk86,1460.0,1574.0,1566.0,1543.0,1.0,8.0,0.0,7.0,797
mercanet,1743.0,1922.0,1917.0,1917.0,0.0,12.0,1.0,11.0,10282
cool-chess-21,1690.0,1993.0,1959.0,1940.0,4.0,12.0,0.0,10.0,4165
bhavyamarella,1016.0,1644.0,1641.0,1625.0,0.0,13.0,1.0,13.0,566
amirdna2000,1654.0,1711.0,1706.0,1695.0,4.0,8.0,0.0,6.0,859
FrankJNG,1768.0,2285.0,2039.0,2003.0,0.0,8.0,2.0,12.0,1428
HosSseiN1,1227.0,1498.0,1469.0,1414.0,0.0,6.0,1.0,5.0,79
cironine999,1785.0,2220.0,2206.0,2188.0,2.0,11.0,0.0,19.0,6754
chessenthusiast2,1439.0,1837.0,1623.0,1616.0,0.0,9.0,1.0,8.0,4499
derwolf21,1705.0,2043.0,2029.0,2025.0,0.0,20.0,5.0,11.0,15279
mmchess2023,1308.0,1427.0,1388.0,1388.0,0.0,7.0,1.0,8.0,261
Oguzalp13,1228.0,1783.0,1773.0,1729.0,0.0,6.0,1.0,11.0,212
Evalena2024,1739.0,2119.0,2001.0,1995.0,0.0,13.0,3.0,13.0w,7587
DanHarner,1712.0,1765.0,1762.0,1736.0,2.0,9.0,0.0,8.0,1555
mm576,1590.0,2317.0,2249.0,2207.0,0.0,11.0,1.0,17.0,10077
Krabulut,1100.0,1281.0,1255.0,1251.0,0.0,7.0,1.0,8.0,517
the_think_machine,1249.0,,,,0.0,1.0,1.0,1.0,2
lionsden19,1701.0,1864.0,1820.0,1807.0,0.0,8.0,1.0,3.0,22
s7alamen,1801.0,2089.0,2086.0,2037.0,0.0,12.0,1.0,17.0,5840
Marifercristobal,1189.0,1807.0,1539.0,1504.0,3.0,7.0,0.0,6.0,222
maz350_k1,1805.0,1986.0,1979.0,1971.0,0.0,15.0,4.0,18.0,52344
Beemsterboa,1838.0,2290.0,2179.0,2167.0,0.0,14.0,1.0,9.0,1884
big-bad,908.0,1546.0,1071.0,1031.0,1.0,9.0,0.0,23.0,1198
Cyanideandhappiness,1465.0,1573.0,1535.0,1529.0,0.0,3.0,2.0,6.0,50
lvbnhbq1982,1338.0,1944.0,1860.0,1851.0,0.0,12.0,0.0,11.0,3350
Bobbynae,1771.0,1929.0,1929.0,1927.0,0.0,9.0,11.0,11.0,75
fortaken,1496.0,2101.0,2029.0,2013.0,2.0,10.0,0.0,12.0,4262
jonateng,1432.0,1565.0,1539.0,1529.0,1.0,10.0,0.0,9.0,2050
schachsinnig,1635.0,1984.0,1837.0,1831.0,0.0,9.0,3.0,13.0,1473
BMBenito_2016_Tugue,1359.0,2210.0,2093.0,1908.0,0.0,8.0,1.0,13.0,790
bobsonx10,1493.0,1615.0,1592.0,1591.0,0.0,6.0,2.0,6.0,425
vahid1402,1228.0,1345.0,1339.0,1329.0,0.0,10.0,4.0,12.0,4968
harrisonpeen65,1687.0,1733.0,1708.0,1704.0,6.0,8.0,0.0,7.0,265
BenWeb1664,1238.0,1366.0,1366.0,1357.0,0.0,5.0,3.0,4.0,115
VaChechnev,1768.0,1907.0,1899.0,1896.0,0.0,10.0,1.0,8.0,3160
SirNefarious630,1816.0,1960.0,1939.0,1911.0,2.0,7.0,0.0,8.0,88
GramBoLubie66,1745.0,2026.0,2008.0,2001.0,1.0,8.0,0.0,8.0,1307
tshifeler,1466.0,1812.0,1624.0,1526.0,0.0,10.0,1.0,12.0,1890
foreverStuck,1773.0,1944.0,1925.0,1913.0,0.0,12.0,0.0,11.0,12536
soloview,1386.0,2121.0,2059.0,1928.0,3.0,14.0,0.0,13.0,25366
Kawabanga222,1734.0,2321.0,2078.0,1976.0,4.0,9.0,0.0,12.0,1496
NiemannFan,1381.0,1684.0,1677.0,1656.0,0.0,8.0,1.0,10.0,544
Rawoul,1399.0,1725.0,1722.0,1708.0,0.0,5.0,8.0,9.0,129
tolezet,1827.0,1889.0,1850.0,1826.0,1.0,6.0,0.0,5.0,257
mangosta_1962,1499.0,2331.0,2238.0,2198.0,0.0,10.0,3.0,25.0,9599
wdfub1,1232.0,1519.0,1516.0,1447.0,0.0,5.0,2.0,9.0,132
P3rrys0n,1438.0,1742.0,1727.0,1726.0,0.0,11.0,1.0,12.0,7720
Alexkonstbg,1886.0,2259.0,2126.0,2058.0,5.0,10.0,0.0,12.0,1470
Sp1aw,1170.0,1361.0,1175.0,1136.0,2.0,2.0,0.0,8.0,29
OLEGPLAYER152,1471.0,1595.0,1526.0,1510.0,1.0,13.0,0.0,5.0,372
Endgamelost,1588.0,,,,1.0,1.0,0.0,1.0,5
timlawson,1872.0,2053.0,2041.0,2037.0,0.0,8.0,1.0,8.0,2335
AhmedHonda1986,1860.0,2065.0,2041.0,2030.0,0.0,13.0,1.0,12.0,3679
gittilayke,1465.0,1595.0,1585.0,1579.0,0.0,9.0,2.0,13.0,2401
ramac-bartol,1839.0,2005.0,1986.0,1979.0,0.0,9.0,1.0,9.0,2401
bluecow1,1818.0,2082.0,2044.0,2025.0,0.0,11.0,1.0,9.0,7055
AvBurakhan,1526.0,1677.0,1675.0,1644.0,10.0,10.0,0.0,8.0,719
dukicmond,1730.0,2024.0,1988.0,1987.0,4.0,10.0,0.0,10.0,4598
northern_monkey,1761.0,1980.0,1935.0,1933.0,3.0,11.0,0.0,8.0,2163
mmevlutbyr,1462.0,1576.0,1563.0,1556.0,6.0,8.0,0.0,8.0,1576
D4boss,1581.0,1834.0,1820.0,1803.0,0.0,9.0,1.0,8.0,541
cursedfg,1378.0,1455.0,1446.0,1408.0,5.0,7.0,0.0,4.0,82
zdarzbrum,1521.0,1717.0,1709.0,1702.0,0.0,11.0,2.0,13.0,9842
deestar,1709.0,1855.0,1851.0,1844.0,0.0,14.0,1.0,11.0,2259
bachmoch90,1426.0,2121.0,2082.0,2021.0,1.0,11.0,0.0,15.0,10242
mehmeto,1466.0,1867.0,1846.0,1842.0,0.0,13.0,3.0,12.0,1745
dvsuhov,1500.0,,,,0.0,0.0,0.0,0.0,0
RoseWhite,1038.0,1232.0,1206.0,1200.0,0.0,10.0,0.0,9.0,1575
potamianov,1841.0,2049.0,1994.0,1989.0,0.0,4.0,1.0,6.0,140
mrkingtony,1419.0,1838.0,1774.0,1759.0,0.0,11.0,1.0,12.0,7009
bullseye9,1510.0,1999.0,1959.0,1807.0,0.0,9.0,1.0,11.0,2076
kezhik_0,1514.0,1609.0,1589.0,1574.0,0.0,9.0,3.0,9.0,852
albassem4,1412.0,1643.0,1626.0,1604.0,0.0,9.0,4.0,9.0,1785
Sky0010,1808.0,1941.0,1924.0,1911.0,3.0,3.0,0.0,4.0,119
bobby-vishy,1769.0,2318.0,2271.0,2239.0,1.0,10.0,0.0,12.0,8452
PlayaONE,1721.0,1923.0,1915.0,1915.0,0.0,10.0,2.0,14.0,2002
leongambit,1667.0,1948.0,1945.0,1937.0,3.0,9.0,0.0,10.0,1663
loup76,1342.0,1661.0,1654.0,1642.0,0.0,15.0,4.0,14.0,10985
jonny0507,1730.0,2065.0,2042.0,2028.0,0.0,15.0,1.0,13.0,16316
Frantz27,1682.0,1894.0,1769.0,1765.0,1.0,10.0,0.0,11.0,4333
Saganash13,1804.0,2100.0,2097.0,2074.0,2.0,7.0,0.0,7.0,521
Oida1,1142.0,2038.0,1947.0,1856.0,0.0,12.0,8.0,13.0,4089
Yazish,1537.0,1779.0,1553.0,1542.0,2.0,11.0,0.0,6.0,299
Naddyuza,1404.0,1572.0,1536.0,1532.0,0.0,12.0,3.0,14.0,9404
IplayforDRAW,1686.0,1838.0,1819.0,1817.0,0.0,7.0,1.0,9.0,1103
sandraekaputra,1719.0,2155.0,2133.0,2124.0,0.0,10.0,3.0,13.0,8949
ImaRandomBot,1350.0,1862.0,1819.0,1770.0,1.0,6.0,0.0,10.0,66
PorroRey,1511.0,1731.0,1651.0,1650.0,0.0,9.0,2.0,9.0,521
killagame72,1194.0,1321.0,1316.0,1305.0,1.0,9.0,0.0,7.0,199
GROss044,1165.0,1805.0,1736.0,1676.0,0.0,11.0,3.0,12.0,4642
RGratsch,1771.0,2184.0,2160.0,2155.0,1.0,12.0,0.0,14.0,5416
irswamy,1572.0,2250.0,2159.0,2156.0,1.0,7.0,0.0,12.0,3366
bernao,1856.0,2270.0,2254.0,2254.0,0.0,14.0,3.0,13.0,58000
Piter-RR,1418.0,1720.0,1555.0,1513.0,0.0,8.0,6.0,13.0,686
ssekoss,1445.0,1685.0,1665.0,1660.0,2.0,13.0,0.0,14.0,4598
CARMONAA,1271.0,1815.0,1665.0,1652.0,0.0,10.0,4.0,8.0,3139
usta9010,1542.0,1749.0,1689.0,1679.0,0.0,5.0,1.0,6.0,228
Muhammadqodir2,1500.0,,,,0.0,0.0,0.0,0.0,4
davidisraelhay,1512.0,1763.0,1736.0,1736.0,0.0,6.0,1.0,6.0,381
werdnaz,1701.0,1804.0,1757.0,1754.0,0.0,8.0,2.0,9.0,964
yar13,1369.0,1803.0,1630.0,1623.0,0.0,6.0,1.0,10.0,101
Mahanand,1868.0,2106.0,2052.0,2013.0,0.0,9.0,1.0,15.0,2250
furi_za,1231.0,1343.0,1279.0,1270.0,0.0,10.0,1.0,2.0,76
Litelants,1840.0,2022.0,2021.0,2016.0,0.0,10.0,3.0,12.0,7831
Menierva916,1922.0,2237.0,2197.0,2154.0,3.0,6.0,0.0,11.0,600
mimar_harsen,1284.0,1723.0,1642.0,1577.0,0.0,9.0,1.0,13.0,2162
Mohammad_m3d,1479.0,1677.0,1659.0,1659.0,3.0,12.0,0.0,11.0,3038
seyed1349zia,1434.0,2180.0,2151.0,2066.0,0.0,9.0,1.0,25.0,2265
Shikabella,1395.0,1661.0,1658.0,1642.0,0.0,12.0,1.0,11.0,8395
bukidron,1533.0,2143.0,2017.0,1961.0,0.0,7.0,1.0,11.0,698
Tymanov_V,1771.0,2142.0,2025.0,2023.0,0.0,15.0,1.0,15.0,6065
warsawplayer,1536.0,2014.0,1889.0,1872.0,7.0,11.0,0.0,13.0,3899
insane_ke,1559.0,1818.0,1773.0,1754.0,3.0,12.0,0.0,13.0,12300
Strength5gorsk,1382.0,1902.0,1791.0,1747.0,1.0,9.0,0.0,9.0,1107
Walkere,1631.0,1814.0,1806.0,1799.0,1.0,11.0,0.0,11.0,3708
Devdutt_three,1803.0,1900.0,1897.0,1882.0,2.0,10.0,0.0,9.0,2605
CruaWarrior,1470.0,1605.0,1578.0,1495.0,4.0,9.0,0.0,15.0,572
fezfez_05,1265.0,1451.0,1450.0,1437.0,0.0,6.0,3.0,6.0,116
antibiotik1985,1696.0,1833.0,1817.0,1805.0,0.0,12.0,1.0,12.0,3687
kulik7,2002.0,2218.0,2194.0,2139.0,0.0,7.0,2.0,4.0,80
YUBAMACO,1650.0,1801.0,1785.0,1756.0,0.0,3.0,1.0,3.0,25
MaxLag,1391.0,1880.0,1849.0,1806.0,0.0,7.0,2.0,17.0,574
bruno1m2m3,1664.0,2070.0,1988.0,1977.0,0.0,11.0,2.0,30.0,7032
shujau,1708.0,1759.0,1746.0,1731.0,0.0,8.0,2.0,7.0,585
GlobalChessArena,1456.0,1698.0,1695.0,1661.0,0.0,10.0,1.0,11.0,4317
BodyMindSoul,1735.0,1925.0,1897.0,1894.0,4.0,10.0,0.0,10.0,3263
MR_HBashoq,1649.0,1762.0,1718.0,1712.0,0.0,3.0,4.0,4.0,20
teperto,1791.0,2342.0,2200.0,2173.0,0.0,12.0,2.0,9.0,5351
Andriy60,1730.0,2130.0,2101.0,2061.0,1.0,9.0,0.0,10.0,1400
warelds2,1591.0,1924.0,1917.0,1889.0,1.0,10.0,0.0,10.0,1817
amirshahal,1587.0,1866.0,1799.0,1780.0,0.0,10.0,1.0,12.0,1362
akrmakrm,1759.0,1943.0,1905.0,1903.0,0.0,8.0,0.0,5.0,334
jsedano,1847.0,2070.0,2047.0,2044.0,0.0,6.0,1.0,6.0,56
maciberia,1500.0,,,,0.0,0.0,0.0,0.0,0
Uganey26rus,1438.0,2094.0,2072.0,1877.0,0.0,7.0,2.0,9.0,1244
Mi0091,1542.0,1666.0,1642.0,1640.0,0.0,10.0,3.0,10.0,1638
pejciczrn,1404.0,1863.0,1841.0,1824.0,0.0,13.0,2.0,28.0,19974
pooyapli1,1814.0,2373.0,2252.0,2167.0,1.0,15.0,0.0,11.0,16410
DGBerana,1377.0,1391.0,1367.0,1366.0,2.0,3.0,0.0,2.0,18
Gatto03,1243.0,1279.0,1278.0,1275.0,3.0,10.0,0.0,13.0,1118
foolsandhorses,1427.0,1704.0,1702.0,1697.0,1.0,13.0,0.0,14.0,28026
BillOudi,1390.0,1888.0,1734.0,1725.0,1.0,10.0,0.0,10.0,1584
tm2383,555.0,1178.0,1163.0,696.0,0.0,3.0,4.0,7.0,21
Vadim1107,731.0,,,,0.0,0.0,2.0,2.0,2
BismarckWP,1339.0,1477.0,1477.0,1471.0,4.0,12.0,0.0,12.0,2785
Maks633010,1445.0,1603.0,1592.0,1590.0,3.0,10.0,0.0,15.0,7109
David_P0,1450.0,1534.0,1517.0,1511.0,1.0,10.0,0.0,12.0,2242
r_117,1407.0,,,,1.0,2.0,0.0,12.0,15
Checho19,1659.0,2180.0,2174.0,2163.0,0.0,10.0,3.0,19.0,6051
Brass67,1481.0,1635.0,1628.0,1626.0,1.0,10.0,0.0,8.0,3696
Vaibhav_Dang,1326.0,1625.0,1616.0,1611.0,1.0,10.0,0.0,11.0,7262
Eden-Hasard,1602.0,1896.0,1759.0,1742.0,0.0,9.0,1.0,11.0,3390
bmbarto,1432.0,2078.0,1717.0,1713.0,0.0,8.0,4.0,8.0,1791
MrChuckL,1973.0,2016.0,2005.0,1993.0,1.0,9.0,0.0,6.0,445
burnedlight,1014.0,1217.0,1183.0,1181.0,1.0,13.0,0.0,8.0,249
potrerillos94,1892.0,2521.0,2416.0,2242.0,2.0,11.0,0.0,5.0,262
AMRJ9,1015.0,1323.0,1259.0,1164.0,0.0,8.0,8.0,8.0,389
blueskychess22,2105.0,,,,,,,,34
hosseinhatami7595,1381.0,1738.0,1664.0,1636.0,0.0,7.0,3.0,8.0,89
misos_35,1277.0,1337.0,1334.0,1310.0,2.0,9.0,0.0,8.0,651
abasad1,1455.0,1893.0,1841.0,1806.0,0.0,15.0,2.0,12.0,7526
buttbreff,1200.0,1524.0,1457.0,1312.0,0.0,7.0,1.0,6.0,423
OgSnkrbbb,1175.0,1327.0,1232.0,1230.0,0.0,9.0,2.0,12.0,4288
smailllll,1355.0,1835.0,1797.0,1782.0,3.0,7.0,0.0,9.0,283
fesed18,1680.0,2091.0,2090.0,2066.0,4.0,12.0,0.0,15.0,21949
respublicano,1719.0,2170.0,2128.0,2126.0,0.0,11.0,3.0,12.0,24087
phuocvip1412,1461.0,1691.0,1670.0,1669.0,0.0,11.0,2.0,7.0,382
phebololuna,1481.0,1653.0,1650.0,1640.0,0.0,7.0,3.0,6.0,466
estebanovitch,1569.0,1653.0,1647.0,1640.0,0.0,8.0,1.0,7.0,464
DJ4Y,1137.0,1246.0,1201.0,1189.0,1.0,10.0,0.0,10.0,401
mirza_amaan,1477.0,1707.0,1663.0,1661.0,1.0,13.0,0.0,10.0,6736
estrellita05,1665.0,,,,2.0,2.0,0.0,2.0,9
woody86,1736.0,2605.0,2250.0,2215.0,2.0,17.0,0.0,15.0,23157
klauspn,1852.0,2435.0,2339.0,2294.0,0.0,13.0,2.0,11.0,23899
MISTY_96,1723.0,2334.0,2311.0,2240.0,1.0,10.0,0.0,10.0,3352
suchetkodate,1398.0,1726.0,1688.0,1662.0,1.0,9.0,0.0,11.0,2379
DKS256,1150.0,1197.0,1185.0,1170.0,4.0,7.0,0.0,8.0,880
Anirudh99545,1337.0,1470.0,1462.0,1434.0,0.0,6.0,0.0,7.0,98
DmitriyKol,1631.0,1846.0,1843.0,1830.0,4.0,11.0,0.0,8.0,917
amirvalizade1963,1356.0,1630.0,1563.0,1549.0,0.0,13.0,4.0,11.0,6444
George_mav6704,1083.0,1154.0,1136.0,1024.0,1.0,1.0,0.0,3.0,12
Sangon,1375.0,1951.0,1811.0,1784.0,2.0,12.0,0.0,11.0,17101
dnlgrassi,1333.0,1612.0,1606.0,1537.0,0.0,8.0,1.0,12.0,2041
abdelmoezbasha,1505.0,1821.0,1804.0,1774.0,2.0,9.0,0.0,13.0,1514
santhoshn,1830.0,1954.0,1952.0,1928.0,0.0,6.0,3.0,11.0,259
hitam99,1323.0,1971.0,1919.0,1887.0,0.0,11.0,4.0,17.0,919
Solar-Wind86,1925.0,2369.0,2243.0,2213.0,2.0,13.0,0.0,8.0,3791
cherguimd,1672.0,1802.0,1737.0,1735.0,0.0,12.0,2.0,7.0,2574
RagnarokLothbrok,1500.0,,,,0.0,0.0,0.0,0.0,0
Johnston3,1754.0,1936.0,1935.0,1930.0,0.0,11.0,1.0,14.0,4749
Natwyk,1467.0,1956.0,1790.0,1788.0,1.0,11.0,0.0,9.0,656
GOATxOVERPOWERYT9577,1296.0,,,,1.0,1.0,0.0,1.0,1
chemsedinebouakazi,1503.0,1981.0,1566.0,1566.0,1.0,8.0,0.0,10.0,340
Vladimir123kr,1448.0,1839.0,1832.0,1797.0,0.0,7.0,1.0,12.0,1178
Freshzombee,1454.0,1568.0,1521.0,1519.0,3.0,10.0,0.0,7.0,412
Blazkowi23,1382.0,1652.0,1581.0,1578.0,3.0,12.0,0.0,12.0,3801
Zerspragler91,1768.0,2274.0,2272.0,2251.0,0.0,7.0,1.0,9.0,1860
DCristiD,1442.0,1554.0,1523.0,1521.0,0.0,10.0,3.0,9.0,2919
risali_123,1475.0,2255.0,2055.0,1940.0,0.0,11.0,1.0,6.0,456
javadmj21,1856.0,2168.0,2105.0,1890.0,3.0,10.0,0.0,9.0,1791
rdursun,2159.0,2511.0,2472.0,2453.0,3.0,10.0,0.0,22.0,20408
Dilip_noob,1521.0,1859.0,1822.0,1793.0,0.0,11.0,3.0,11.0,626
CosimoZeno,1322.0,2033.0,2005.0,1894.0,0.0,14.0,2.0,12.0,20218
chessbyine,1385.0,1588.0,1560.0,1553.0,0.0,11.0,2.0,11.0,1152
fugga,1499.0,1635.0,1613.0,1587.0,0.0,9.0,1.0,7.0,1033
urizarulises1,1523.0,,,,0.0,1.0,2.0,2.0,3
MihoSevastopol,1861.0,2203.0,2163.0,2162.0,1.0,12.0,0.0,12.0,14081
rumpeldipumpi,1501.0,1737.0,1695.0,1646.0,1.0,8.0,0.0,13.0,768
ahaiazor4,1734.0,,,,0.0,0.0,0.0,0.0,1
ASsmaditya,1172.0,1261.0,1229.0,1009.0,0.0,2.0,2.0,2.0,9
Andry174,1291.0,1668.0,1501.0,1474.0,1.0,9.0,0.0,10.0,1835
avetgrigor,1832.0,2403.0,2254.0,2240.0,4.0,12.0,0.0,15.0,11436
AngeZ021,1458.0,1571.0,1486.0,1482.0,1.0,7.0,0.0,12.0,533
Boccherss,1500.0,,,,0.0,0.0,0.0,0.0,0
perry444,1739.0,2066.0,2056.0,2040.0,6.0,10.0,0.0,13.0,10237
hanzohattoriii,1106.0,1750.0,1642.0,1587.0,2.0,6.0,0.0,9.0,552
euroval,1919.0,2102.0,2092.0,2087.0,1.0,11.0,0.0,11.0,3666
hm468070,1483.0,2315.0,2062.0,2028.0,2.0,9.0,0.0,12.0,7230
yabbaman7493,1027.0,,,,0.0,0.0,2.0,2.0,2
csprejer,1542.0,1998.0,1989.0,1989.0,0.0,13.0,1.0,11.0,4025
Chess-In-Motion,1397.0,2124.0,1998.0,1889.0,0.0,10.0,2.0,13.0,13767
pilavustuet,1055.0,1197.0,1180.0,1170.0,1.0,8.0,0.0,9.0,646
r-v5g,956.0,1121.0,1115.0,1106.0,0.0,8.0,1.0,8.0,504
makyxaaa,1475.0,2329.0,2315.0,2188.0,2.0,9.0,0.0,20.0,5730
Vadilka,1680.0,1927.0,1904.0,1893.0,0.0,12.0,1.0,13.0,3742
