user_id,user_black_draw_rate,user_black_game_count,user_black_lose_rate,user_black_win_rate,user_blitz_rating,user_draw_rate,user_game_count,user_highest_blitz_opponent_rating,user_lose_rate,user_loss_streak_current,user_loss_streak_max,user_rating_deviation,user_second_highest_blitz_opponent_rating,user_third_highest_blitz_opponent_rating,user_total_games_played,user_white_draw_rate,user_white_game_count,user_white_lose_rate,user_white_win_rate,user_win_rate,user_win_streak_current,user_win_streak_max,user_op,op_black_draw_rate,op_black_game_count,op_black_lose_rate,op_black_win_rate,op_blitz_rating,op_draw_rate,op_game_count,op_highest_blitz_opponent_rating,op_lose_rate,op_loss_streak_current,op_loss_streak_max,op_rating_deviation,op_second_highest_blitz_opponent_rating,op_third_highest_blitz_opponent_rating,op_total_games_played,op_white_draw_rate,op_white_game_count,op_white_lose_rate,op_white_win_rate,op_win_rate,op_win_streak_current,op_win_streak_max,game_result
engsultan00,0.0,48.0,47.91666666666667,52.083333333333336,1768.0,1.0,100.0,2221.0,49.0,2.0,14.0,45.03,2207.0,2126.0,13599,8.0,50.0,46.0,46.0,50.0,0.0,13.0,Kimirov,5.88235294117647,51.0,60.78431372549019,33.33333333333333,1768.0,3.0,100.0,2014.0,56.0,0.0,7.0,45.01,1955.0,1952.0,526,0.0,49.0,53.06122448979592,46.93877551020408,40.0,2.0,8.0,0
Panfi,3.8461538461538463,52.0,55.76923076923077,40.38461538461539,1351.0,5.0,100.0,1557.0,49.0,0.0,11.0,47.35,1548.0,1546.0,8551,2.083333333333333,48.0,45.83333333333333,52.083333333333336,46.0,3.0,12.0,Yathuking8,0.0,3.0,100.0,0.0,1146.0,0.0,3.0,,100.0,3.0,3.0,192.05,,,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
rsk86,4.166666666666666,48.0,58.333333333333336,37.5,1460.0,7.0,100.0,1574.0,43.0,0.0,7.0,45.16,1566.0,1543.0,797,5.555555555555555,54.0,38.88888888888889,55.55555555555556,50.0,1.0,8.0,MichBSS,5.88235294117647,51.0,50.98039215686274,43.13725490196079,1539.0,4.0,100.0,1862.0,51.0,0.0,9.0,45.06,1862.0,1752.0,4784,2.0408163265306123,49.0,53.06122448979592,44.89795918367347,45.0,2.0,12.0,1
mercanet,4.0,50.0,52.0,44.0,1743.0,3.0,100.0,1922.0,50.0,1.0,11.0,45.0,1917.0,1917.0,10282,0.0,50.0,46.0,54.0,47.0,0.0,12.0,r_torrez,3.8461538461538463,52.0,50.0,46.15384615384615,1742.0,4.0,100.0,1945.0,47.0,1.0,21.0,45.04,1925.0,1901.0,6852,4.166666666666666,48.0,39.58333333333333,56.25,49.0,0.0,22.0,-1
cool-chess-21,9.803921568627452,51.0,37.25490196078432,52.94117647058824,1690.0,0.0,9.0,1993.0,66.0,0.0,10.0,78.88,1959.0,1940.0,4165,0.0,49.0,59.18367346938776,40.81632653061224,33.0,4.0,12.0,eWojciech,4.545454545454546,44.0,45.45454545454545,50.0,1184.0,0.0,0.0,1378.0,0.0,1.0,7.0,162.7,1339.0,1305.0,89,4.444444444444445,45.0,53.333333333333336,42.22222222222222,0.0,0.0,6.0,-1
bhavyamarella,4.545454545454546,44.0,56.81818181818182,38.63636363636363,1016.0,0.0,12.0,1644.0,75.0,1.0,13.0,92.07,1641.0,1625.0,566,1.7857142857142856,56.0,53.57142857142857,44.642857142857146,25.0,0.0,13.0,Aras2065,7.6923076923076925,52.0,46.15384615384615,46.15384615384615,1031.0,8.0,100.0,1259.0,44.0,3.0,8.0,45.04,1245.0,1180.0,462,8.16326530612245,49.0,44.89795918367347,46.93877551020408,48.0,0.0,5.0,-1
cironine999,6.0,50.0,56.00000000000001,38.0,1785.0,7.0,100.0,2220.0,52.0,0.0,19.0,45.31,2206.0,2188.0,6754,6.25,48.0,50.0,43.75,41.0,2.0,11.0,Cyrano_64,5.88235294117647,51.0,27.450980392156865,66.66666666666666,1937.0,9.0,100.0,1972.0,28.0,0.0,3.0,45.25,1957.0,1949.0,107,4.081632653061225,49.0,20.40816326530612,75.51020408163265,62.0,3.0,9.0,1
chessenthusiast2,0.0,51.0,43.13725490196079,56.86274509803921,1439.0,1.0,100.0,1837.0,46.0,1.0,8.0,45.76,1623.0,1616.0,4499,2.083333333333333,48.0,50.0,47.91666666666667,53.0,0.0,9.0,lovebisht,4.0,50.0,52.0,44.0,1554.0,3.0,100.0,1723.0,49.0,0.0,11.0,45.04,1697.0,1693.0,11017,2.0,50.0,46.0,52.0,48.0,1.0,11.0,1
derwolf21,10.20408163265306,49.0,53.06122448979592,36.734693877551024,1705.0,6.0,100.0,2043.0,53.0,5.0,11.0,45.01,2029.0,2025.0,15279,6.0,50.0,46.0,48.0,41.0,0.0,20.0,Swoj,7.84313725490196,51.0,64.70588235294117,27.450980392156865,1754.0,5.0,100.0,2063.0,54.0,0.0,8.0,45.01,2058.0,2027.0,2387,4.081632653061225,49.0,42.85714285714285,53.06122448979592,41.0,2.0,9.0,1
mmchess2023,0.0,47.0,42.5531914893617,57.44680851063831,1308.0,0.0,57.0,1427.0,63.0,1.0,8.0,46.27,1388.0,1388.0,261,0.0,53.0,43.39622641509434,56.60377358490566,36.0,0.0,7.0,A_mARathONer,0.0,8.0,37.5,62.5,1829.0,0.0,0.0,1871.0,0.0,0.0,2.0,132.15,1803.0,1787.0,16,25.0,8.0,37.5,37.5,0.0,2.0,2.0,1
Oguzalp13,0.0,55.0,65.45454545454545,34.54545454545455,1228.0,0.0,78.0,1783.0,57.0,1.0,11.0,63.63,1773.0,1729.0,212,0.0,45.0,64.44444444444444,35.55555555555556,42.0,0.0,6.0,euke,0.0,12.0,58.333333333333336,41.66666666666667,1529.0,0.0,0.0,1548.0,0.0,0.0,3.0,106.71,1508.0,1465.0,22,0.0,10.0,20.0,80.0,0.0,1.0,5.0,-1
Evalena2024,4.0,50.0,52.0,44.0,1739.0,4.0,100.0,2119.0,50.0,3.0,13.0,45.02,2001.0,1995.0,7587,4.081632653061225,49.0,51.02040816326531,44.89795918367347,46.0,0.0,13.0,alepo-139,0.0,51.0,47.05882352941176,52.94117647058824,1752.0,2.0,100.0,2003.0,44.0,1.0,12.0,45.09,1981.0,1981.0,21013,2.0408163265306123,49.0,44.89795918367347,53.06122448979592,54.0,0.0,14.0,-1
s7alamen,6.0,50.0,54.0,40.0,1801.0,5.0,100.0,2089.0,49.0,1.0,17.0,45.02,2086.0,2037.0,5840,4.0,50.0,46.0,50.0,46.0,0.0,12.0,TheSoloist,2.0408163265306123,49.0,61.224489795918366,36.734693877551024,1769.0,2.0,100.0,2182.0,56.0,2.0,12.0,45.02,2168.0,2091.0,20825,1.96078431372549,51.0,50.98039215686274,47.05882352941176,42.0,0.0,12.0,-1
Marifercristobal,3.92156862745098,51.0,54.90196078431373,41.17647058823529,1189.0,4.0,100.0,1807.0,53.0,0.0,6.0,171.99,1539.0,1504.0,222,8.16326530612245,49.0,53.06122448979592,38.775510204081634,43.0,3.0,7.0,starship3,7.317073170731707,41.0,58.53658536585365,34.14634146341464,1044.0,5.0,73.0,1351.0,60.0,3.0,6.0,114.17,1329.0,1245.0,70,3.125,32.0,62.5,34.375,34.0,0.0,3.0,1
maz350_k1,4.0,50.0,52.0,44.0,1805.0,2.0,100.0,1986.0,46.0,4.0,18.0,45.02,1979.0,1971.0,52344,5.88235294117647,51.0,47.05882352941176,47.05882352941176,52.0,0.0,15.0,Idebuda,4.0,50.0,46.0,50.0,1654.0,3.0,100.0,1953.0,47.0,1.0,11.0,45.01,1885.0,1868.0,7044,2.0,50.0,48.0,50.0,50.0,0.0,13.0,-1
Beemsterboa,1.9230769230769231,52.0,34.61538461538461,63.46153846153846,1838.0,2.0,100.0,2290.0,43.0,1.0,9.0,45.01,2179.0,2167.0,1884,2.0,50.0,50.0,48.0,55.0,0.0,14.0,Nikolai1109,6.0,50.0,46.0,48.0,1795.0,3.0,100.0,1939.0,47.0,2.0,13.0,45.08,1933.0,1927.0,15435,0.0,50.0,48.0,52.0,50.0,0.0,16.0,-1
big-bad,8.0,50.0,38.0,54.0,908.0,0.0,15.0,1546.0,40.0,0.0,23.0,52.8,1071.0,1031.0,1198,5.88235294117647,51.0,49.01960784313725,45.09803921568628,60.0,1.0,9.0,guwse,5.172413793103448,58.0,55.172413793103445,39.6551724137931,1252.0,0.0,0.0,1477.0,0.0,3.0,9.0,163.03,1474.0,1473.0,2052,4.761904761904762,42.0,47.61904761904761,47.61904761904761,0.0,0.0,10.0,1
Cyanideandhappiness,0.0,28.0,67.85714285714286,32.142857142857146,1465.0,0.0,9.0,1573.0,66.0,2.0,6.0,73.85,1535.0,1529.0,50,0.0,29.0,51.72413793103448,48.27586206896552,33.0,0.0,3.0,ThimanTThulnith,0.0,0.0,0.0,0.0,1311.0,0.0,1.0,,100.0,1.0,1.0,292.26,,,1,0.0,1.0,100.0,0.0,0.0,0.0,0.0,1
lvbnhbq1982,7.6923076923076925,52.0,42.30769230769231,50.0,1338.0,5.0,100.0,1944.0,47.0,0.0,11.0,45.03,1860.0,1851.0,3350,2.0,50.0,48.0,50.0,48.0,0.0,12.0,earendilist,1.96078431372549,51.0,39.21568627450981,58.82352941176471,1369.0,2.0,100.0,1759.0,41.0,3.0,11.0,45.62,1713.0,1620.0,1595,2.0408163265306123,49.0,42.85714285714285,55.10204081632652,56.0,0.0,10.0,1
fortaken,8.333333333333332,48.0,52.083333333333336,39.58333333333333,1496.0,3.0,84.0,2101.0,64.0,0.0,12.0,45.22,2029.0,2013.0,4262,1.8867924528301887,53.0,52.83018867924528,45.28301886792453,32.0,2.0,10.0,chu3r,4.3478260869565215,46.0,50.0,45.65217391304348,1140.0,0.0,0.0,1976.0,0.0,0.0,23.0,146.43,1764.0,1626.0,992,1.851851851851852,54.0,50.0,48.14814814814815,0.0,1.0,8.0,-1
jonateng,1.96078431372549,51.0,58.82352941176471,39.21568627450981,1432.0,3.0,100.0,1565.0,44.0,0.0,9.0,45.61,1539.0,1529.0,2050,4.0,50.0,28.000000000000004,68.0,53.0,1.0,10.0,rog9lik,8.0,50.0,50.0,42.0,1489.0,3.0,100.0,1782.0,54.0,1.0,13.0,45.13,1739.0,1731.0,11892,0.0,50.0,46.0,54.0,43.0,0.0,12.0,1
schachsinnig,1.9230769230769231,52.0,51.92307692307693,46.15384615384615,1635.0,11.0,27.0,1984.0,66.0,3.0,13.0,48.16,1837.0,1831.0,1473,4.3478260869565215,46.0,56.52173913043478,39.130434782608695,22.0,0.0,9.0,lVl1das,4.166666666666666,48.0,43.75,52.083333333333336,1657.0,2.0,100.0,1782.0,45.0,0.0,9.0,45.3,1779.0,1774.0,4641,0.0,52.0,46.15384615384615,53.84615384615385,53.0,2.0,13.0,-1
BMBenito_2016_Tugue,3.92156862745098,51.0,58.82352941176471,37.25490196078432,1359.0,4.0,100.0,2210.0,43.0,1.0,13.0,45.74,2093.0,1908.0,790,2.0408163265306123,49.0,48.97959183673469,48.97959183673469,53.0,0.0,8.0,javy2r,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,,0.0,0.0,0.0,500.0,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
bobsonx10,0.0,51.0,43.13725490196079,56.86274509803921,1493.0,0.0,100.0,1615.0,48.0,2.0,6.0,45.03,1592.0,1591.0,425,0.0,48.0,54.16666666666666,45.83333333333333,52.0,0.0,6.0,F06abeja,2.0,50.0,50.0,48.0,1458.0,2.0,100.0,1779.0,46.0,0.0,10.0,45.1,1763.0,1762.0,3711,2.0,50.0,42.0,56.00000000000001,52.0,1.0,12.0,1
VaChechnev,9.803921568627452,51.0,41.17647058823529,49.01960784313725,1768.0,7.0,100.0,1907.0,44.0,1.0,8.0,45.07,1899.0,1896.0,3160,5.88235294117647,51.0,43.13725490196079,50.98039215686274,49.0,0.0,10.0,CHIKUPATRA647,7.547169811320755,53.0,50.943396226415096,41.50943396226416,1796.0,0.0,90.0,2087.0,36.0,2.0,10.0,45.12,1946.0,1916.0,3791,0.0,47.0,44.680851063829785,55.319148936170215,63.0,0.0,9.0,1
SirNefarious630,4.761904761904762,42.0,50.0,45.23809523809524,1816.0,3.0,100.0,1960.0,52.0,0.0,8.0,45.84,1939.0,1911.0,88,0.0,50.0,44.0,56.00000000000001,45.0,2.0,7.0,SHARA1313,5.769230769230769,52.0,53.84615384615385,40.38461538461539,1805.0,8.0,100.0,2166.0,53.0,2.0,10.0,45.06,2150.0,2142.0,3071,8.333333333333332,48.0,54.16666666666666,37.5,39.0,0.0,9.0,1
GramBoLubie66,16.363636363636363,55.0,49.09090909090909,34.54545454545455,1745.0,10.0,100.0,2026.0,53.0,0.0,8.0,45.2,2008.0,2001.0,1307,4.444444444444445,45.0,53.333333333333336,42.22222222222222,37.0,1.0,8.0,Frankie_Tucson,100.0,1.0,0.0,0.0,1682.0,0.0,0.0,,0.0,0.0,0.0,231.24,,,2,0.0,1.0,0.0,100.0,0.0,1.0,1.0,-1
tshifeler,4.166666666666666,48.0,47.91666666666667,47.91666666666667,1466.0,5.0,100.0,1812.0,56.0,1.0,12.0,45.09,1624.0,1526.0,1890,6.0,50.0,52.0,42.0,38.0,0.0,10.0,hacta,6.0,50.0,52.0,42.0,1404.0,6.0,100.0,1550.0,43.0,0.0,8.0,45.02,1549.0,1546.0,2701,6.0,50.0,34.0,60.0,51.0,1.0,12.0,0
foreverStuck,0.0,52.0,53.84615384615385,46.15384615384615,1773.0,16.0,18.0,1944.0,33.0,0.0,11.0,46.53,1925.0,1913.0,12536,6.25,48.0,45.83333333333333,47.91666666666667,50.0,0.0,12.0,dragon_muto,2.0408163265306123,49.0,38.775510204081634,59.18367346938776,1189.0,0.0,12.0,1329.0,25.0,1.0,11.0,49.25,1322.0,1314.0,1962,0.0,51.0,39.21568627450981,60.78431372549019,75.0,0.0,9.0,-1
soloview,2.083333333333333,48.0,62.5,35.41666666666667,1386.0,2.0,100.0,2121.0,57.0,0.0,13.0,45.11,2059.0,1928.0,25366,1.9230769230769231,52.0,53.84615384615385,44.230769230769226,40.0,3.0,14.0,Senatros,2.0,50.0,56.00000000000001,42.0,1397.0,6.0,100.0,1703.0,56.0,0.0,9.0,45.16,1597.0,1581.0,7502,4.0,50.0,52.0,44.0,38.0,1.0,11.0,0
Kawabanga222,1.96078431372549,51.0,52.94117647058824,45.09803921568628,1734.0,3.0,100.0,2321.0,49.0,0.0,12.0,45.11,2078.0,1976.0,1496,4.0,50.0,40.0,56.00000000000001,48.0,4.0,9.0,IOANN1978,5.769230769230769,52.0,48.07692307692308,46.15384615384615,1791.0,6.0,100.0,2127.0,43.0,1.0,11.0,45.1,2110.0,2100.0,17415,6.25,48.0,37.5,56.25,51.0,0.0,11.0,1
NiemannFan,8.16326530612245,49.0,44.89795918367347,46.93877551020408,1381.0,9.0,100.0,1684.0,41.0,1.0,10.0,45.11,1677.0,1656.0,544,7.84313725490196,51.0,41.17647058823529,50.98039215686274,50.0,0.0,8.0,limitsofman,4.0,50.0,52.0,44.0,1357.0,5.0,100.0,1594.0,43.0,1.0,10.0,45.07,1590.0,1569.0,9207,6.0,50.0,34.0,60.0,52.0,0.0,11.0,1
P3rrys0n,4.081632653061225,49.0,44.89795918367347,51.02040816326531,1438.0,2.0,100.0,1742.0,48.0,1.0,12.0,45.06,1727.0,1726.0,7720,0.0,50.0,48.0,52.0,50.0,0.0,11.0,nointoine,0.0,48.0,54.16666666666666,45.83333333333333,1469.0,3.0,96.0,1660.0,46.0,0.0,5.0,62.67,1612.0,1607.0,216,5.769230769230769,52.0,48.07692307692308,46.15384615384615,50.0,1.0,6.0,-1
Alexkonstbg,1.96078431372549,51.0,47.05882352941176,50.98039215686274,1886.0,3.0,100.0,2259.0,45.0,0.0,12.0,45.01,2126.0,2058.0,1470,4.081632653061225,49.0,40.81632653061224,55.10204081632652,52.0,5.0,10.0,drmskr,1.96078431372549,51.0,50.98039215686274,47.05882352941176,1886.0,2.0,100.0,2096.0,49.0,0.0,13.0,45.06,2006.0,2003.0,7151,2.0408163265306123,49.0,42.85714285714285,55.10204081632652,49.0,4.0,13.0,1
Sp1aw,0.0,13.0,53.84615384615385,46.15384615384615,1170.0,3.0,29.0,1361.0,62.0,0.0,8.0,280.55,1175.0,1136.0,29,6.25,16.0,68.75,25.0,34.0,2.0,2.0,CiasnaMarietta69,4.081632653061225,49.0,65.3061224489796,30.612244897959183,1636.0,0.0,0.0,1992.0,0.0,2.0,12.0,55.87,1952.0,1906.0,2295,3.92156862745098,51.0,41.17647058823529,54.90196078431373,0.0,0.0,8.0,1
