user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,combined_draw4,user_time_performance,op_time_performance,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
kamal_balaiannnnn,0.439,0.158,367.0,56.63,TIMFAKS,0.414,0.172,272.0,45.28,-1.0,1404.0,1209.0,192.0,2271.045348,2096.753871,2483.855,2417.569011,3.60475,0.0632,0.044376,1950.0,2592.0,-42.0,0.073313,0.069138,1.0
jenzetti,0.475,0.197,388.0,45.0,Amisree,0.516,0.242,381.0,78.88,-1.0,1448.3333333333333,1509.6666666666667,-57.0,2946.407366,1776.86642,3053.9402959999998,1941.9363839999999,1.991,0.06895,0.08590999999999999,2352.0,2352.0,5.0,0.0,0.14964,1.0
hermar,0.525,0.203,379.0,49.82,Rufusikik9999,0.435,0.21,410.0,46.78,-1.0,1619.3333333333333,1706.6666666666667,-105.0,2131.15,2021.5948799999999,2235.607452,2456.2830599999998,5.92625,0.029435,0.0819,1692.0,2907.0,6.0,0.25777500000000003,0.17704499999999998,1.0
HakobN,0.636,0.167,277.0,46.15,NikolaDubovik,0.31,0.293,253.0,47.09,1.0,2702.3333333333335,2703.6666666666665,-72.0,2876.0062500000004,1730.73491,2332.7396400000002,1384.2726559999999,9.21475,0.018537,0.012013,1961.0,2193.0,291.0,0.282384,0.22133999999999998,1.0
Castillo123458789102,0.375,0.208,329.0,52.74,Bauti_Bomben,0.302,0.333,358.0,45.23,-1.0,1594.0,1213.6666666666667,596.0,1517.85,1711.5321599999997,2567.3207039999998,2566.240092,8.01825,0.04908799999999999,0.046952999999999995,1344.0,2925.0,-6.0,0.15675,0.165194,1.0
anacondaismypet,0.627,0.194,448.0,46.97,LomakinaGV,0.618,0.279,413.0,45.06,1.0,2306.0,2349.0,-44.0,2317.885848,1970.2637440000003,2585.005669,1873.06077,5.62,0.06596,0.03822300000000001,1872.0,2576.0,110.0,0.33858000000000005,0.39984600000000003,1.0
Julio2019,0.211,0.605,290.0,45.05,Remigio2023,0.328,0.391,282.0,45.03,-1.0,2445.0,2343.3333333333335,162.0,1413.703125,1105.2425700000001,3751.96679,3229.216146,4.4247499999999995,0.197835,0.032062,1300.0,3212.0,-296.0,0.11773800000000001,0.146616,1.0
kapri8,0.529,0.132,449.0,45.3,ufyljybot,0.518,0.196,495.0,45.08,0.0,1941.6666666666667,1326.3333333333333,619.0,2521.0880030000003,2534.426986,1970.360964,1828.1269249999998,5.66575,0.061512000000000004,0.003724,2623.0,1776.0,-153.0,0.21001300000000003,0.441336,1.0
Deku5855,0.367,0.367,367.0,98.6,Se1co,0.5,0.14,490.0,59.36,-1.0,856.0,878.0,-39.0,3177.221936,2177.4,2419.359375,1561.2841529999998,3.63025,0.005138,0.02478,2200.0,2394.0,24.0,0.149002,0.105,1.0
aissik,0.491,0.175,290.0,45.02,vladimir_novosibirsk,0.448,0.179,395.0,45.11,1.0,1640.3333333333333,1682.3333333333333,-72.0,1873.521936,2041.3125,2494.9304939999997,2831.155972,4.033,0.032375,0.0,1938.0,2592.0,-49.0,0.254829,0.25311999999999996,1.0
