user_white_performance,op_black_performance,op_white_performance,user_black_performance,op_win_rate,op_lose_rate,user_lose_rate,user_win_rate,user_resign_winrate,user_average_game_len,user_resign_lossrate,user_blitz_rating,op_average_game_len,user_mate_winrate,user_black_draw_rate,op_time_performance,op_resign_winrate,user_mate_lossrate,op_average_best_win,user_white_draw_rate,op_blitz_rating,op_white_game_count,user_average_best_win,user_black_game_count,user_game_count,op_game_count,op_black_game_count,user_white_game_count,op_rating_deviation,op_resign_lossrate,op_eco_in_user_winrate,user_rating_deviation,high_draw_rate,op_mate_lossrate,op_black_draw_rate,user_time_performance,op_mate_winrate,user_eco_in_op_winrate,op_white_draw_rate,user_blitz_total_games,op_blitz_total_games,game_result
-2223.353348,-2369.950011,-2438.694,-2053.420871,54.0,39.0,48.0,50.0,0.439,367.0,0.167,1077.0,272.0,0.386,1.667,0.044376,0.414,0.545,1404.0,1.538,1119.0,62.0,1209.0,60.0,100.0,100.0,63.0,65.0,45.28,0.167,0,56.63,1,0.433,4.762,0.0632,0.379,0,6.452,422.0,1984.0,-1.0
-2894.845366,-1899.079384,-2997.488296,-1730.96442,48.0,49.0,49.0,48.0,0.475,388.0,0.29,1359.0,381.0,0.328,0.0,0.08590999999999999,0.516,0.355,1448.3333333333333,3.125,1354.0,62.0,1509.6666666666667,61.0,100.0,100.0,63.0,64.0,78.88,0.0,0,45.0,1,0.633,0.0,0.06895,0.161,0,4.839,2010.0,208.0,-1.0
-2081.15,-2405.46306,-2187.169452,-1976.97988,57.0,36.0,51.0,47.0,0.525,379.0,0.407,1609.0,410.0,0.271,9.231,0.0819,0.435,0.203,1619.3333333333333,1.667,1603.0,64.0,1706.6666666666667,65.0,100.0,100.0,61.0,60.0,46.78,0.491,0,49.82,1,0.327,6.557,0.029435,0.355,0,6.25,1582.0,1023.0,-1.0
-2816.6312500000004,-1342.084656,-2281.91964,-1684.8329099999999,51.0,37.0,43.0,53.0,0.636,277.0,0.714,2379.0,253.0,0.197,8.197,0.012013,0.31,0.245,2702.3333333333335,7.812,2088.0,61.0,2703.6666666666665,61.0,100.0,100.0,64.0,64.0,47.09,0.444,1,46.15,1,0.444,9.375,0.018537,0.345,0,11.475,7861.0,16413.0,1.0
-1487.493,-2522.6920920000002,-2510.1777039999997,-1666.6041599999999,45.0,48.0,65.0,28.0,0.375,329.0,0.547,1057.0,358.0,0.375,10.145,0.046952999999999995,0.302,0.281,1594.0,10.714,1063.0,63.0,1213.6666666666667,69.0,100.0,100.0,62.0,56.0,45.23,0.418,0,52.74,1,0.345,6.452,0.04908799999999999,0.349,0,4.762,671.0,2899.0,-1.0
-2264.6598480000002,-1824.67377,-2524.688669,-1916.2957440000002,56.0,39.0,46.0,48.0,0.627,448.0,0.647,2235.0,413.0,0.179,3.175,0.03822300000000001,0.618,0.216,2306.0,8.065,2125.0,63.0,2349.0,63.0,100.0,100.0,62.0,62.0,45.06,0.54,0,46.97,1,0.12,8.065,0.06596,0.088,0,3.175,799.0,9781.0,1.0
-1383.544125,-3180.778146,-3697.86879,-1074.5975700000001,44.0,52.0,73.0,25.0,0.211,290.0,0.447,1609.0,282.0,0.053,0.0,0.032062,0.328,0.329,2445.0,3.175,1905.0,61.0,2343.3333333333335,62.0,100.0,100.0,64.0,63.0,45.03,0.558,0,45.05,1,0.077,4.688,0.197835,0.266,0,9.836,7457.0,10470.0,-1.0
-2463.711003,-1779.641925,-1929.6829639999999,-2482.864986,48.0,43.0,37.0,61.0,0.529,449.0,0.852,1213.0,495.0,0.309,0.0,0.003724,0.518,0.111,1941.6666666666667,4.918,1366.0,59.0,1326.3333333333333,64.0,100.0,100.0,66.0,61.0,45.08,0.397,0,45.3,1,0.103,7.576,0.061512000000000004,0.214,0,10.169,1153.0,17543.0,0.0
-3124.840936,-1528.497153,-2372.484375,-2133.852,42.0,55.0,57.0,40.0,0.367,367.0,0.21,703.0,490.0,0.233,4.839,0.02478,0.5,0.403,856.0,0.0,679.0,64.0,878.0,62.0,100.0,100.0,61.0,63.0,59.36,0.406,0,98.6,1,0.58,6.557,0.005138,0.32,0,3.125,281.0,215.0,-1.0
-1825.902936,-2775.4179719999997,-2443.368494,-1997.7645,48.0,51.0,54.0,38.0,0.491,290.0,0.565,1371.0,395.0,0.263,8.065,0.0,0.448,0.419,1640.3333333333333,1.587,1420.0,64.0,1682.3333333333333,62.0,100.0,100.0,61.0,63.0,45.11,0.519,0,45.02,1,0.296,4.918,0.032375,0.328,0,1.562,6388.0,35793.0,1.0
-2365.170192,-2371.140486,-2367.372462,-2133.852,42.0,56.0,50.0,39.0,0.446,248.0,0.0,1872.0,216.0,0.304,4.839,0.047752,0.441,0.703,2201.6666666666665,3.175,1860.0,62.0,1964.0,62.0,100.0,100.0,63.0,63.0,45.12,0.828,0,45.25,1,0.125,0.0,0.010904,0.288,0,3.226,903.0,4918.0,-1.0
-2605.107693,-1771.91154,-2609.846514,-1926.7614239999998,44.0,51.0,55.0,44.0,0.356,390.0,0.258,1237.0,413.0,0.407,1.587,0.07786499999999999,0.482,0.161,1481.0,4.839,1220.0,63.0,1458.0,63.0,100.0,100.0,62.0,62.0,45.02,0.164,0,45.15,1,0.541,6.452,0.059885,0.286,0,6.349,4486.0,7199.0,-1.0
-1805.7174240000002,-2563.541926,-2565.6639840000003,-1274.6165,44.0,45.0,50.0,40.0,0.44,433.0,0.75,2108.0,386.0,0.2,11.111,0.021995999999999998,0.672,0.109,2427.0,6.452,2291.0,64.0,2394.3333333333335,63.0,100.0,100.0,61.0,62.0,46.91,0.224,0,49.58,1,0.551,4.918,0.07168000000000001,0.172,1,14.062,9782.0,1138.0,-1.0
-2163.1,-2244.26202,-2172.2000000000003,-2239.28775,43.0,51.0,57.0,38.0,0.422,226.0,0.607,1419.0,216.0,0.281,3.175,0.022042,0.587,0.214,1607.3333333333333,4.839,1452.0,64.0,1663.0,63.0,100.0,100.0,61.0,62.0,45.14,0.745,0,45.25,1,0.182,4.918,0.020513,0.159,0,6.25,10064.0,12807.0,-1.0
-1765.1941160000001,-3068.7749999999996,-3436.088568,-1409.812633,49.0,51.0,61.0,38.0,0.396,459.0,0.693,1229.0,490.0,0.458,1.613,0.030884999999999996,0.551,0.08,1336.6666666666667,1.587,1298.0,61.0,1295.3333333333333,62.0,100.0,100.0,64.0,63.0,116.75,0.472,0,134.74,0,0.132,1.562,0.016632,0.275,0,3.279,2134.0,1010.0,-1.0
-2432.311125,-2193.75,-2945.530348,-1599.3600000000001,44.0,55.0,49.0,45.0,0.529,381.0,0.382,1170.0,236.0,0.176,6.154,0.037697999999999995,0.35,0.412,2202.0,3.333,1393.0,61.0,1419.0,65.0,100.0,100.0,64.0,60.0,45.14,0.683,0,83.44,1,0.19,0.0,0.029845,0.433,0,3.279,2781.0,4205.0,-1.0
-1799.71875,-2450.0,-1826.5235559999999,-2118.0842399999997,48.0,32.0,46.0,49.0,0.583,316.0,0.55,1398.0,355.0,0.15,4.918,0.007000000000000001,0.649,0.25,1598.6666666666667,3.125,1389.0,59.0,1612.6666666666667,61.0,100.0,100.0,66.0,64.0,47.67,0.212,0,45.28,1,0.481,10.606,0.0625,0.211,0,15.254,574.0,482.0,-1.0
-2236.9105,-1944.40302,-1839.0285029999998,-1614.158112,51.0,36.0,38.0,48.0,0.547,260.0,0.796,2366.0,287.0,0.141,14.286,0.026316,0.645,0.102,2606.6666666666665,4.839,2416.0,61.0,2687.3333333333335,63.0,100.0,100.0,64.0,62.0,45.06,0.146,0,45.32,1,0.583,7.812,0.07425,0.081,0,16.393,13293.0,5088.0,-1.0
-2424.6868640000002,-1957.359195,-3212.950003,-1446.0865400000002,49.0,46.0,48.0,48.0,0.611,586.0,0.493,1449.0,572.0,0.222,3.226,0.09222899999999999,0.541,0.06,1944.0,3.175,1475.0,62.0,1576.0,62.0,100.0,100.0,63.0,63.0,45.14,0.158,0,45.02,1,0.579,6.349,0.036407999999999996,0.246,0,4.839,990.0,5124.0,-1.0
-2424.6868640000002,-1957.359195,-3212.950003,-1446.0865400000002,49.0,46.0,48.0,48.0,0.611,586.0,0.493,1449.0,572.0,0.222,3.226,0.09222899999999999,0.541,0.06,1944.0,3.175,1475.0,62.0,1576.0,62.0,100.0,100.0,63.0,63.0,45.14,0.158,0,45.02,1,0.579,6.349,0.036407999999999996,0.246,0,4.839,990.0,5124.0,1.0
-2606.25,-2073.18125,-1795.870404,-2746.0849919999996,41.0,56.0,45.0,53.0,0.5,515.0,0.613,1482.0,548.0,0.233,3.175,0.018080000000000002,0.6,0.161,1681.0,1.613,1390.0,61.0,1726.6666666666667,63.0,100.0,100.0,64.0,62.0,46.94,0.803,0,50.86,1,0.042,3.125,0.028364999999999998,0.28,0,3.279,2394.0,4536.0,-1.0
-2179.712106,-2033.690152,-3931.9579800000006,-916.3194480000001,56.0,40.0,49.0,37.0,0.435,269.0,0.623,2385.0,277.0,0.043,9.677,0.02378,0.597,0.232,2748.3333333333335,6.349,2520.0,63.0,2567.3333333333335,62.0,100.0,100.0,62.0,63.0,45.09,0.308,0,45.02,1,0.058,8.065,0.3175,0.194,0,1.587,4171.0,11276.0,1.0
-2293.376256,-2201.873976,-1854.079534,-2598.449822,46.0,47.0,42.0,57.0,0.54,256.0,0.583,1330.0,372.0,0.286,0.0,0.003069,0.389,0.233,1587.0,3.125,1385.0,63.0,1653.3333333333333,61.0,100.0,100.0,62.0,64.0,45.29,0.484,0,45.01,0,0.161,4.839,0.034606,0.426,0,9.524,9647.0,267.0,-1.0
-2768.1263259999996,-1867.450055,-2446.278129,-1574.2195700000002,42.0,50.0,46.0,46.0,0.544,416.0,0.881,2092.0,487.0,0.14,9.677,0.007038,0.5,0.085,2391.3333333333335,4.762,2044.0,60.0,2341.6666666666665,62.0,100.0,100.0,65.0,63.0,45.08,0.6,0,45.12,1,0.117,1.538,0.079523,0.224,0,10.0,9537.0,12841.0,1.0
-2959.490742,-1770.9665160000002,-2373.254586,-2216.9703919999997,50.0,43.0,52.0,45.0,0.53,234.0,0.754,1910.0,243.0,0.333,1.538,0.08376700000000001,0.362,0.035,2007.0,1.667,1875.0,63.0,2042.0,65.0,100.0,100.0,62.0,60.0,45.3,0.339,0,45.42,1,0.581,3.226,0.011016000000000001,0.224,0,4.762,322.0,5480.0,1.0
-2655.107367,-2100.246148,-2333.331,-2110.875,50.0,46.0,50.0,46.0,0.516,523.0,0.517,1259.0,587.0,0.306,3.125,0.008466,0.576,0.35,1374.0,1.639,1183.0,63.0,1439.0,64.0,100.0,100.0,62.0,61.0,45.77,0.0,0,45.03,1,0.82,1.613,0.02898,0.288,0,6.349,2645.0,2653.0,-1.0
-1890.303977,-2566.669,-2168.429112,-2249.444172,47.0,47.0,54.0,43.0,0.607,241.0,0.73,2121.0,326.0,0.25,4.762,0.017499999999999998,0.683,0.095,2345.3333333333335,4.839,2060.0,62.0,2412.0,63.0,100.0,100.0,63.0,62.0,45.03,0.373,0,45.08,1,0.017,4.762,0.07625,0.2,0,4.839,8700.0,8902.0,1.0
-2609.62142,-1852.674534,-1760.9620000000002,-2542.1145,36.0,60.0,40.0,49.0,0.55,222.0,0.31,1658.0,251.0,0.167,6.452,0.01564,0.4,0.655,1907.6666666666667,4.762,1640.0,64.0,1844.0,62.0,100.0,75.0,61.0,63.0,48.71,0.333,0,46.7,1,0.522,4.918,0.041034999999999995,0.12,0,4.688,2876.0,279.0,1.0
-2312.0125,-2186.135,-2469.61,-2308.196,47.0,52.0,49.0,45.0,0.217,250.0,0.1,973.0,201.0,0.483,1.639,0.12424999999999999,0.403,0.483,1187.3333333333333,6.25,1011.0,60.0,1167.3333333333333,61.0,100.0,100.0,65.0,64.0,45.21,0.629,0,45.01,1,0.113,1.538,0.022601000000000003,0.194,0,0.0,4338.0,3737.0,-1.0
-2141.4796650000003,-1918.058226,-2728.353912,-2059.823217,51.0,46.0,41.0,55.0,0.408,294.0,0.745,1093.0,295.0,0.366,0.0,0.00649,0.507,0.118,1507.6666666666667,4.762,1088.0,66.0,1241.6666666666667,62.0,100.0,100.0,59.0,63.0,45.2,0.75,0,45.04,1,0.25,5.085,0.0,0.342,0,1.515,282.0,1353.0,1.0
-1809.521238,-2606.8050000000003,-2960.949618,-1880.189073,49.0,50.0,52.0,41.0,0.488,420.0,0.25,872.0,262.0,0.256,1.695,0.078657,0.317,0.265,998.3333333333334,5.357,800.0,65.0,1034.0,59.0,100.0,100.0,60.0,56.0,47.23,0.095,0,50.59,1,0.095,3.333,0.20736000000000002,0.433,0,0.0,124.0,184.0,1.0
-2598.655693,-2046.75,-2774.5168080000003,-1861.879508,44.0,50.0,49.0,49.0,0.525,256.0,0.633,1694.0,353.0,0.295,3.175,0.054351,0.531,0.183,1855.3333333333333,3.226,1698.0,63.0,1836.3333333333333,63.0,100.0,100.0,62.0,62.0,45.76,0.724,0,45.35,1,0.259,1.613,0.0030600000000000002,0.172,0,3.175,7653.0,3307.0,-1.0
-2691.95,-1987.173845,-2501.797792,-2275.6401640000004,45.0,54.0,49.0,43.0,0.359,247.0,0.051,1335.0,275.0,0.297,1.587,0.133496,0.426,0.525,1524.3333333333333,1.613,1249.0,63.0,1894.6666666666667,63.0,100.0,100.0,62.0,62.0,45.05,0.097,0,45.01,1,0.419,3.226,0.143748,0.18,0,0.0,17238.0,44801.0,-1.0
-2691.95,-1987.173845,-2501.797792,-2275.6401640000004,45.0,54.0,49.0,43.0,0.359,247.0,0.051,1335.0,275.0,0.297,1.587,0.133496,0.426,0.525,1524.3333333333333,1.613,1249.0,63.0,1894.6666666666667,63.0,100.0,100.0,62.0,62.0,45.05,0.097,0,45.01,1,0.419,3.226,0.143748,0.18,0,0.0,17238.0,44801.0,1.0
-1238.712,-2777.726295,-2517.1554149999997,-1333.344,67.0,25.0,42.0,48.0,0.537,391.0,0.6,2378.0,292.0,0.239,6.349,0.10744000000000001,0.474,0.06,2463.3333333333335,6.452,2405.0,28.0,2539.3333333333335,63.0,100.0,100.0,28.0,62.0,51.67,0.357,0,45.04,1,0.429,7.143,0.041516,0.211,0,7.143,2662.0,56.0,1.0
-3482.10041,-1184.555241,-2122.4561550000003,-1771.91154,38.0,53.0,44.0,51.0,0.597,268.0,0.463,2323.0,266.0,0.081,9.677,0.015531000000000001,0.667,0.444,2538.0,4.762,2332.0,62.0,2650.0,62.0,100.0,100.0,63.0,63.0,47.33,0.606,0,45.22,1,0.227,6.349,0.049096,0.167,0,11.29,7116.0,349.0,-1.0
-2503.288512,-1860.0912680000001,-2444.207136,-2285.6441879999998,44.0,50.0,46.0,54.0,0.619,363.0,0.65,1675.0,388.0,0.27,0.0,0.041724,0.561,0.15,1880.6666666666667,3.125,1678.0,63.0,1835.3333333333333,61.0,100.0,100.0,62.0,64.0,45.1,0.574,0,125.69,0,0.262,8.065,0.012956,0.193,0,3.175,1168.0,7040.0,1.0
-1723.503832,-3049.024392,-2095.660404,-2290.63236,49.0,48.0,57.0,42.0,0.642,189.0,0.818,1611.0,275.0,0.189,7.018,0.00678,0.468,0.136,2310.6666666666665,2.941,1631.0,62.0,1741.0,57.0,100.0,100.0,63.0,68.0,45.11,0.333,0,47.42,0,0.25,1.587,0.0604,0.306,0,3.226,1015.0,18743.0,-1.0
-2695.395879,-1920.7470700000001,-2293.75,-2450.0,46.0,51.0,56.0,39.0,0.625,320.0,0.797,1631.0,291.0,0.156,3.125,0.022644000000000004,0.579,0.136,1819.0,0.0,1629.0,62.0,1974.3333333333333,64.0,100.0,100.0,63.0,61.0,45.48,0.75,0,45.02,1,0.219,6.349,0.005828,0.053,0,0.0,12270.0,579.0,-1.0
-1947.687625,-2287.9874999999997,-2650.802,-1999.2,53.0,37.0,40.0,53.0,0.323,229.0,0.356,1181.0,219.0,0.29,0.0,0.023086,0.552,0.508,1430.0,6.78,1338.0,61.0,1320.6666666666667,66.0,100.0,100.0,64.0,59.0,46.33,0.569,0,45.11,1,0.333,6.25,0.03479,0.254,0,4.918,17934.0,528.0,-1.0
-2651.71932,-1737.4703840000002,-2862.2312500000003,-1872.878772,43.0,53.0,45.0,53.0,0.594,335.0,0.559,1575.0,408.0,0.281,1.587,0.005763,0.581,0.254,1670.0,1.613,1520.0,64.0,1787.6666666666667,63.0,100.0,100.0,61.0,62.0,45.7,0.375,0,49.16,1,0.125,9.836,0.0625,0.306,0,1.562,2757.0,380.0,1.0
-2831.13838,-1690.855452,-2146.54692,-2485.06662,75.0,25.0,50.0,47.0,0.422,232.0,0.466,1672.0,234.0,0.312,0.0,0.097569,0.5,0.224,2100.3333333333335,4.762,1677.0,62.0,1876.3333333333333,62.0,100.0,12.0,63.0,63.0,58.11,0.776,0,45.02,0,0.075,3.175,0.039634,0.148,0,3.226,2305.0,2901.0,-1.0
-1789.1393130000001,-2775.21899,-2277.578747,-2377.303124,55.0,41.0,53.0,43.0,0.321,221.0,0.446,1540.0,213.0,0.232,1.538,0.061200000000000004,0.339,0.323,1897.6666666666667,5.0,1739.0,59.0,1873.3333333333333,65.0,100.0,100.0,66.0,60.0,52.91,0.271,0,101.26,1,0.288,3.03,0.10799999999999998,0.258,0,3.39,5422.0,4981.0,-1.0
-2251.52612,-2338.106492,-2264.6598480000002,-2214.866538,48.0,50.0,45.0,46.0,0.446,198.0,0.661,1376.0,277.0,0.393,8.065,0.008784,0.5,0.274,1719.0,3.175,1259.0,62.0,1525.6666666666667,62.0,100.0,100.0,63.0,63.0,48.49,0.547,0,46.82,1,0.219,1.587,0.020162999999999997,0.3,0,0.0,3294.0,235.0,1.0
-2530.5310799999997,-1915.9899359999997,-1930.63275,-2450.0,47.0,49.0,46.0,46.0,0.476,257.0,0.519,2116.0,290.0,0.206,6.25,0.05513,0.439,0.259,2538.0,6.557,2101.0,62.0,2237.6666666666665,64.0,100.0,100.0,63.0,61.0,45.0,0.444,0,45.74,1,0.19,3.175,0.09855,0.246,0,4.839,209.0,62201.0,-1.0
-1513.848,-2469.70625,-3300.0,-1200.0,66.0,28.0,41.0,54.0,0.563,399.0,0.353,2198.0,245.0,0.211,5.0,0.07935,0.7,0.118,2378.3333333333335,0.0,2348.0,12.0,2463.0,60.0,100.0,63.0,16.0,65.0,70.62,0.429,0,46.47,1,0.571,6.25,0.0,0.15,0,0.0,5485.0,28.0,-1.0
-3255.1000000000004,-1351.8704959999998,-3094.8682200000003,-1364.0663160000001,46.0,51.0,52.0,45.0,0.593,289.0,0.6,1399.0,314.0,0.169,4.918,0.0023120000000000003,0.627,0.233,1622.0,4.688,1382.0,66.0,1637.3333333333333,61.0,100.0,100.0,59.0,64.0,45.28,0.483,0,45.82,1,0.467,3.39,0.0,0.22,0,6.061,5116.0,4510.0,1.0
-2411.337356,-2097.520656,-2361.888,-2264.989344,49.0,48.0,51.0,45.0,0.426,190.0,0.627,1217.0,270.0,0.311,4.688,0.0,0.344,0.373,1525.3333333333333,3.279,1152.0,64.0,1515.3333333333333,64.0,100.0,100.0,61.0,61.0,45.02,0.129,0,45.01,1,0.403,3.279,0.11512800000000001,0.262,0,0.0,13334.0,842.0,-1.0
-2494.575512,-2127.17274,-1590.90948,-2774.40525,43.0,54.0,42.0,52.0,0.632,604.0,0.412,1841.0,647.0,0.132,8.065,0.114856,0.414,0.137,2017.6666666666667,1.587,1755.0,64.0,1935.6666666666667,62.0,100.0,100.0,61.0,63.0,45.94,0.129,0,49.24,1,0.435,3.279,0.089063,0.259,0,4.688,2294.0,3290.0,1.0
-1793.0599780000002,-2280.3327520000003,-3142.513484,-1256.98743,50.0,45.0,56.0,36.0,0.689,367.0,0.662,2264.0,366.0,0.111,10.0,0.036256,0.683,0.132,2510.6666666666665,9.231,2309.0,62.0,2524.6666666666665,60.0,100.0,100.0,63.0,65.0,47.16,0.815,0,51.97,1,0.056,7.937,0.019757999999999998,0.095,0,4.839,394.0,1707.0,0.0
-1925.096875,-2824.591125,-2191.35446,-2235.923104,48.0,50.0,53.0,46.0,0.333,389.0,0.366,731.0,415.0,0.49,4.918,0.07173600000000001,0.25,0.225,1017.3333333333334,0.0,784.0,63.0,1325.3333333333333,61.0,100.0,100.0,62.0,64.0,45.19,0.431,0,47.52,1,0.277,3.226,0.040004,0.518,0,3.175,337.0,379.0,-1.0
