user_id,blitz_rating
engsultan00,1768.0
Panfi,1351.0
rsk86,1460.0
mercanet,1743.0
cool-chess-21,1690.0
bhavyamarella,1016.0
amirdna2000,1654.0
FrankJNG,1768.0
HosSseiN1,1227.0
cironine999,1785.0
chessenthusiast2,1439.0
derwolf21,1705.0
mmchess2023,1308.0
Oguzalp13,1228.0
Evalena2024,1739.0
DanHarner,1712.0
mm576,1590.0
Krabulut,1100.0
the_think_machine,1249.0
lionsden19,1701.0
s7alamen,1801.0
Marifercristobal,1189.0
maz350_k1,1805.0
Beemsterboa,1838.0
big-bad,908.0
Cyanideandhappiness,1465.0
lvbnhbq1982,1338.0
Bobbynae,1771.0
fortaken,1496.0
jonateng,1432.0
schachsinnig,1635.0
BMBenito_2016_Tugue,1359.0
bobsonx10,1493.0
vahid1402,1228.0
harrisonpeen65,1687.0
BenWeb1664,1238.0
VaChechnev,1768.0
SirNefarious630,1816.0
GramBoLubie66,1745.0
tshifeler,1466.0
foreverStuck,1773.0
soloview,1386.0
Kawabanga222,1734.0
NiemannFan,1381.0
Rawoul,1399.0
tolezet,1827.0
mangosta_1962,1499.0
wdfub1,1232.0
P3rrys0n,1438.0
Alexkonstbg,1886.0
Sp1aw,1170.0
OLEGPLAYER152,1471.0
Endgamelost,1588.0
timlawson,1872.0
AhmedHonda1986,1860.0
gittilayke,1465.0
ramac-bartol,1839.0
bluecow1,1818.0
AvBurakhan,1526.0
dukicmond,1730.0
northern_monkey,1761.0
mmevlutbyr,1462.0
D4boss,1581.0
cursedfg,1378.0
zdarzbrum,1521.0
deestar,1709.0
bachmoch90,1426.0
mehmeto,1466.0
dvsuhov,1500.0
RoseWhite,1038.0
potamianov,1841.0
mrkingtony,1419.0
bullseye9,1510.0
kezhik_0,1514.0
albassem4,1412.0
Sky0010,1808.0
bobby-vishy,1769.0
PlayaONE,1721.0
leongambit,1667.0
loup76,1342.0
jonny0507,1730.0
Frantz27,1682.0
Saganash13,1804.0
Oida1,1142.0
Yazish,1537.0
Naddyuza,1404.0
