user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count
amirdna2000,1654.0,0.0,0.0,0.0,0.0
FrankJNG,1768.0,0.0,0.0,0.0,0.0
HosSseiN1,1227.0,0.0,0.0,0.0,0.0
DanHarner,1712.0,0.0,0.0,0.0,0.0
mm576,1590.0,0.0,0.0,0.0,0.0
Krabulut,1100.0,0.0,0.0,0.0,0.0
the_think_machine,1249.0,0.0,0.0,0.0,0.0
lionsden19,1701.0,0.0,0.0,0.0,0.0
Bobbynae,1771.0,0.0,0.0,0.0,0.0
vahid1402,1228.0,0.0,0.0,0.0,0.0
harrisonpeen65,1687.0,0.0,0.0,0.0,0.0
BenWeb1664,1238.0,0.0,0.0,0.0,0.0
Rawoul,1399.0,0.0,0.0,0.0,0.0
tolezet,1827.0,0.0,0.0,0.0,0.0
mangosta_1962,1499.0,0.0,0.0,0.0,0.0
wdfub1,1232.0,0.0,0.0,0.0,0.0
Endgamelost,1588.0,0.0,0.0,0.0,0.0
D4boss,1581.0,0.0,0.0,0.0,0.0
cursedfg,1378.0,0.0,0.0,0.0,0.0
RoseWhite,1038.0,0.0,0.0,0.0,0.0
potamianov,1841.0,0.0,0.0,0.0,0.0
jonny0507,1730.0,0.0,0.0,0.0,0.0
Frantz27,1682.0,0.0,0.0,0.0,0.0
Oida1,1142.0,0.0,0.0,0.0,0.0
PorroRey,1511.0,0.0,0.0,0.0,0.0
irswamy,1572.0,0.0,0.0,0.0,0.0
Piter-RR,1418.0,0.0,0.0,0.0,0.0
usta9010,1542.0,0.0,0.0,0.0,0.0
Muhammadqodir2,1500.0,0.0,0.0,0.0,0.0
yar13,1369.0,0.0,0.0,0.0,0.0
Menierva916,1922.0,0.0,0.0,0.0,0.0
mimar_harsen,1284.0,0.0,0.0,0.0,0.0
insane_ke,1559.0,0.0,0.0,0.0,0.0
Strength5gorsk,1382.0,0.0,0.0,0.0,0.0
Devdutt_three,1803.0,0.0,0.0,0.0,0.0
CruaWarrior,1470.0,0.0,0.0,0.0,0.0
MaxLag,1391.0,0.0,0.0,0.0,0.0
shujau,1708.0,0.0,0.0,0.0,0.0
GlobalChessArena,1456.0,0.0,0.0,0.0,0.0
warelds2,1591.0,0.0,0.0,0.0,0.0
maciberia,1500.0,0.0,0.0,0.0,0.0
DGBerana,1377.0,0.0,0.0,0.0,0.0
tm2383,555.0,0.0,0.0,0.0,0.0
BismarckWP,1339.0,0.0,0.0,0.0,0.0
Checho19,1659.0,0.0,0.0,0.0,0.0
Vaibhav_Dang,1326.0,0.0,0.0,0.0,0.0
Eden-Hasard,1602.0,0.0,0.0,0.0,0.0
MrChuckL,1973.0,0.0,0.0,0.0,0.0
burnedlight,1014.0,0.0,0.0,0.0,0.0
buttbreff,1200.0,0.0,0.0,0.0,0.0
OgSnkrbbb,1175.0,0.0,0.0,0.0,0.0
fesed18,1680.0,0.0,0.0,0.0,0.0
phebololuna,1481.0,0.0,0.0,0.0,0.0
mirza_amaan,1477.0,0.0,0.0,0.0,0.0
MISTY_96,1723.0,0.0,0.0,0.0,0.0
DKS256,1150.0,0.0,0.0,0.0,0.0
