user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count
durckm,1500.0,0.0,0.0,0.0,0.0
ZhohoFF,2661.0,36.0,51.0,13.0,100.0
Denona23,1939.0,39.0,54.0,7.0,100.0
Nikolay2811,1142.0,56.0,39.0,4.0,69.0
Ferpiana2,2013.0,48.0,47.0,5.0,100.0
MiyamotoMusashi-CAJA,2256.0,56.0,40.0,4.0,100.0
Ernest0-0,564.0,18.0,77.0,3.0,81.0
ledinavelosipede,2707.0,0.0,0.0,0.0,0.0
merciless_ant,2259.0,0.0,0.0,0.0,0.0
Arkhipenko_Daniil,2396.0,34.0,56.0,9.0,100.0
KOTbKA,2535.0,42.0,50.0,8.0,100.0
MrSOK,2653.0,28.0,63.0,9.0,100.0
Night-King11,1855.0,0.0,0.0,0.0,0.0
stormbinger7007,1159.0,46.0,54.0,0.0,100.0
maxxie225,947.0,49.0,46.0,5.0,100.0
Attila76,2587.0,51.0,45.0,4.0,100.0
Zinner_Override,2625.0,48.0,44.0,8.0,100.0
aaryan_varshney,2594.0,46.0,23.0,31.0,100.0
AnnelizzeRademacher,1179.0,50.0,48.0,2.0,100.0
seitroppoforte,1424.0,42.0,53.0,5.0,100.0
DECIMU,2584.0,0.0,0.0,0.0,0.0
papaocah,1350.0,41.0,54.0,5.0,100.0
damau6,1415.0,37.0,53.0,10.0,100.0
M07m4d,1251.0,0.0,0.0,0.0,0.0
staufenberger,1006.0,0.0,60.0,40.0,15.0
midhat59,2174.0,47.0,44.0,9.0,100.0
hotelero,2283.0,51.0,47.0,2.0,100.0
Tamrik2,2305.0,48.0,42.0,10.0,100.0
okCool123,1917.0,81.0,12.0,7.0,100.0
adharma,1446.0,50.0,48.0,2.0,100.0
AitbekM,1050.0,43.0,55.0,2.0,100.0
Sawka322,2180.0,43.0,56.0,1.0,100.0
ProsperSM,1668.0,50.0,50.0,0.0,42.0
civeron,1498.0,43.0,52.0,5.0,100.0
ovi737,1165.0,46.0,50.0,4.0,100.0
Cranmobbed,2462.0,52.0,44.0,4.0,100.0
SugarMagnolia,2470.0,56.0,31.0,13.0,100.0
shabaudda,2033.0,50.0,46.0,3.0,90.0
serjiokos,1500.0,0.0,0.0,0.0,0.0
FakeMaster141929,2003.0,0.0,0.0,0.0,0.0
k-mikey,2321.0,35.0,64.0,0.0,42.0
texi2,2069.0,47.0,47.0,6.0,100.0
gao239,1528.0,0.0,0.0,0.0,0.0
fathy2004,1324.0,11.0,88.0,0.0,27.0
Puss_X7,2184.0,38.0,55.0,7.0,100.0
yxatuko,2393.0,41.0,51.0,8.0,100.0
hibiscus1360,1536.0,0.0,100.0,0.0,3.0
ManoelSinval,862.0,0.0,0.0,0.0,0.0
Gville,1188.0,53.0,44.0,3.0,100.0
assassineclipse,1413.0,42.0,50.0,7.0,42.0
dudafanboy,2257.0,44.0,53.0,3.0,100.0
JoshHolz,1842.0,64.0,32.0,4.0,100.0
lestri,2618.0,64.0,30.0,6.0,100.0
S1ptex,955.0,10.0,90.0,0.0,30.0
spencerguwop,1130.0,56.0,43.0,0.0,69.0
ZtracenyPripad,1665.0,53.0,43.0,4.0,100.0
Lep_Cantillas,1367.0,57.0,40.0,2.0,100.0
xn1lem3x2024,2307.0,34.0,52.0,14.0,100.0
ALEXT111,1364.0,50.0,44.0,6.0,100.0
yolier,855.0,42.0,54.0,4.0,100.0
kafulakanchi,1274.0,44.0,51.0,5.0,100.0
Sergey_TR2022,2471.0,55.0,37.0,8.0,100.0
Krixsus10,1360.0,0.0,0.0,0.0,0.0
PrisonBreak_Michael,2382.0,59.0,32.0,9.0,100.0
jieltmcommeta,2569.0,42.0,48.0,10.0,100.0
Chu-do,2552.0,38.0,46.0,16.0,100.0
RustyBuoy,1399.0,46.0,51.0,3.0,100.0
davmaham,2075.0,44.0,46.0,10.0,100.0
dtjr63,1099.0,44.0,56.0,0.0,100.0
Sparta75,2579.0,66.0,19.0,15.0,100.0
Gregchessness,1147.0,30.0,69.0,0.0,26.0
omar_abuyounis1994,995.0,0.0,0.0,0.0,0.0
noahschn,1270.0,50.0,44.0,6.0,100.0
Gregory_Tonian,1381.0,49.0,49.0,2.0,100.0
j12segal,1920.0,51.0,39.0,10.0,100.0
Engo_Genco,993.0,48.0,52.0,0.0,100.0
fenixM,1986.0,51.0,44.0,5.0,100.0
Mulan_GT,1255.0,44.0,51.0,5.0,100.0
howmuchisthefish2025,2356.0,55.0,36.0,9.0,100.0
TheChessPrince,2434.0,49.0,44.0,7.0,100.0
viraatchess2009,1453.0,44.0,44.0,11.0,27.0
Mind_Gamer66,1382.0,0.0,0.0,0.0,0.0
Corre_por_tu_vida,2671.0,34.0,59.0,7.0,100.0
legbreakgoogly,2238.0,49.0,44.0,7.0,100.0
Tchoupiiii,2374.0,44.0,53.0,3.0,100.0
agus_sbg99,1973.0,45.0,49.0,6.0,100.0
alyurm,1539.0,40.0,56.0,3.0,100.0
dayageek,1500.0,0.0,0.0,0.0,0.0
vestalia5,764.0,37.0,56.0,6.0,100.0
drop_stone,2799.0,0.0,0.0,0.0,0.0
HIMARS_M142,2393.0,56.0,40.0,3.0,100.0
FredrikStrand,1674.0,51.0,47.0,2.0,100.0
ImpressiveTheory,2207.0,50.0,42.0,8.0,100.0
Ikki68,2050.0,44.0,43.0,13.0,100.0
ECHINOCEREUS,1815.0,0.0,0.0,0.0,0.0
Mikhail_Peres,1817.0,74.0,24.0,2.0,100.0
kingkongkang5,954.0,0.0,100.0,0.0,6.0
enitpenima,2168.0,49.0,44.0,7.0,100.0
khinmaungkyaw,1029.0,0.0,0.0,0.0,0.0
alienvspredator,1190.0,30.0,67.0,3.0,100.0
boyjay,1018.0,52.0,41.0,7.0,100.0
baturiko,1362.0,50.0,50.0,0.0,24.0
Gigito26,524.0,44.0,54.0,2.0,100.0
Mightyms,2461.0,53.0,39.0,8.0,100.0
mina7177,998.0,25.0,75.0,0.0,12.0
Pirschei,1464.0,42.0,48.0,10.0,100.0
Loklokley,1637.0,14.0,80.0,6.0,100.0
OrujoFlojete,2476.0,50.0,42.0,8.0,100.0
UncleGary63,1095.0,43.0,54.0,3.0,100.0
XocasLT,2494.0,0.0,0.0,0.0,0.0
DavidRosenkoetter,931.0,0.0,0.0,0.0,0.0
kiraa28,1264.0,45.0,55.0,0.0,100.0
filfern,1664.0,55.0,43.0,2.0,100.0
rmeysaa,556.0,37.0,59.0,4.0,100.0
KlubMate,1650.0,48.0,52.0,0.0,100.0
Andrew_AK,1400.0,49.0,47.0,4.0,100.0
tromi,1260.0,48.0,49.0,3.0,100.0
Javicho619,1804.0,45.0,45.0,10.0,100.0
MartinLorenzini,,0.0,0.0,0.0,0.0
carmona1956,1814.0,46.0,50.0,4.0,100.0
Derbeian,2363.0,53.0,41.0,6.0,100.0
ValeraTula,1795.0,0.0,0.0,0.0,0.0
Shamplex,876.0,0.0,0.0,0.0,0.0
gemmita22,642.0,15.0,80.0,3.0,26.0
andryzhun,1375.0,53.0,46.0,1.0,100.0
TusharBachchan,905.0,50.0,50.0,0.0,18.0
sgen,1717.0,50.0,50.0,0.0,12.0
Zaven_ChessMood,2728.0,0.0,0.0,0.0,0.0
abasrazani,1440.0,43.0,53.0,4.0,100.0
OlegSokolov67,1395.0,55.0,43.0,2.0,100.0
Dfsfsadsadsdas,995.0,20.0,60.0,20.0,15.0
Dugin_Sergey,2388.0,53.0,43.0,4.0,100.0
ivanraguz97,1928.0,43.0,53.0,4.0,100.0
IEGAD,1591.0,0.0,0.0,0.0,0.0
Tarek-Shaban,1456.0,40.0,56.0,3.0,100.0
Rezak666,1802.0,47.0,38.0,15.0,100.0
MySnakeDoc,2178.0,85.0,14.0,1.0,100.0
deniskhevrolin,1374.0,56.0,43.0,0.0,100.0
Drachenvariante,2130.0,0.0,0.0,0.0,0.0
abdotammam,1358.0,43.0,56.0,1.0,100.0
Pavlzerg,1279.0,46.0,53.0,1.0,100.0
deepak20002,2292.0,0.0,0.0,0.0,0.0
babirom77,1016.0,42.0,57.0,0.0,100.0
armangarip,1443.0,0.0,0.0,0.0,0.0
akiba66,2022.0,46.0,49.0,5.0,100.0
edoardo920,1918.0,56.0,37.0,7.0,100.0
Papolabestia123,2635.0,53.0,36.0,11.0,100.0
Iwantogotoswizerland,2486.0,30.0,69.0,0.0,39.0
RikhilEmmanuel2019,1879.0,41.0,56.0,2.0,100.0
WorldChessMaster24,2588.0,62.0,28.0,9.0,100.0
j2dindia,2350.0,0.0,100.0,0.0,3.0
sindy_24,2037.0,59.0,38.0,3.0,100.0
Milky-WayTM,2351.0,0.0,0.0,0.0,0.0
MCSE69,2503.0,51.0,41.0,8.0,100.0
Kikkertje9,2108.0,0.0,0.0,0.0,0.0
bohemond_1,1926.0,0.0,0.0,0.0,0.0
das99,1442.0,50.0,48.0,2.0,100.0
Inspiregod,1274.0,46.0,54.0,0.0,100.0
Pakkasukko,1877.0,45.0,50.0,5.0,100.0
Arkadiy200000,2709.0,64.0,32.0,4.0,100.0
rahimbi,1546.0,0.0,0.0,0.0,0.0
ODRA-3RBI,836.0,41.0,56.0,2.0,41.0
Hamid_e,1097.0,43.0,55.0,2.0,100.0
Zhongguo_Haijun,2230.0,65.0,34.0,0.0,87.0
stregobauer,1475.0,49.0,46.0,5.0,100.0
LucaChess97,1358.0,46.0,52.0,2.0,100.0
Aswin_Jagz,1402.0,0.0,0.0,0.0,0.0
yasinates3424,1245.0,59.0,34.0,6.0,96.0
nainameloc,967.0,48.0,50.0,2.0,100.0
HailToTheThief1,1984.0,0.0,100.0,0.0,3.0
Bigsneezy,1433.0,0.0,0.0,0.0,0.0
