user_id,win_rate,lose_rate,draw_rate,game_count
ormenider,43.0,48.0,9.0,100.0
shrtcve,48.0,49.0,3.0,100.0
Popmanes,55.0,39.0,6.0,100.0
Crazypandacheck,56.0,40.0,4.0,100.0
tuhin2004,46.0,49.0,5.0,100.0
mahmoud_question2,37.0,57.0,5.0,100.0
ApocalypsoKnight,73.0,21.0,5.0,57.0
Mshiyo388,56.0,40.0,3.0,100.0
ruthless_Axael,44.0,38.0,18.0,100.0
Renegade_247,41.0,53.0,6.0,100.0
Richardsc89,44.0,51.0,5.0,100.0
fjodor81,0.0,0.0,0.0,0.0
scfliu,42.0,57.0,0.0,21.0
gcc-0071,52.0,45.0,3.0,100.0
Sirflaava,100.0,0.0,0.0,12.0
PrabhanjanT,50.0,50.0,0.0,18.0
malllanna,0.0,100.0,0.0,3.0
bobik0988,43.0,55.0,2.0,100.0
Sawunggaling79,0.0,0.0,0.0,0.0
LeMucki,43.0,50.0,6.0,90.0
thassara,71.0,28.0,0.0,21.0
Menza1,0.0,0.0,0.0,0.0
tabtabto,45.0,49.0,6.0,100.0
Landazar28,0.0,0.0,0.0,0.0
Mohammedbakry,43.0,54.0,3.0,100.0
MrRobot88,48.0,46.0,6.0,100.0
SkjaldenSkjold,31.0,54.0,15.0,100.0
Bart_2002,45.0,51.0,4.0,100.0
UncleShark,0.0,0.0,0.0,0.0
parthmer1189,40.0,60.0,0.0,15.0
stelmeitovich,70.0,29.0,0.0,51.0
vedantkarandikar,0.0,100.0,0.0,6.0
tulito,49.0,50.0,1.0,100.0
Pasmasters,72.0,23.0,5.0,100.0
Mohammed_abbaasse,0.0,100.0,0.0,3.0
dancingmouse,52.0,38.0,10.0,100.0
Mikhail_Tal_Analyser,100.0,0.0,0.0,1.0
pepo92,0.0,100.0,0.0,6.0
georges88,0.0,0.0,0.0,0.0
ariankiamahdi,38.0,59.0,3.0,100.0
garfildmacka,0.0,0.0,0.0,0.0
ASKCHESS,60.0,34.0,6.0,100.0
krunalrao1502,50.0,43.0,7.0,100.0
Krantz3,56.0,40.0,3.0,100.0
blckRbbit,43.0,51.0,6.0,100.0
Mohamadamik,0.0,0.0,0.0,0.0
arsen1996,51.0,49.0,0.0,100.0
kick911,0.0,0.0,0.0,0.0
Nevixz,55.0,42.0,3.0,100.0
Trahatangens,0.0,0.0,0.0,0.0
haiderk,100.0,0.0,0.0,3.0
VinzTomasJuhark,0.0,0.0,0.0,0.0
yazan_alshikh,39.0,59.0,2.0,100.0
Sina1995,33.0,66.0,0.0,9.0
wouterw,46.0,48.0,6.0,100.0
torque18,47.0,47.0,5.0,51.0
pAlkesz,50.0,42.0,7.0,42.0
kwaywint,0.0,0.0,0.0,0.0
Shotgam66,39.0,57.0,3.0,100.0
MMXXXIX,30.0,61.0,7.0,39.0
muha1000,0.0,0.0,0.0,0.0
Kosasihaza,0.0,0.0,0.0,0.0
adka,47.0,44.0,9.0,100.0
Evren_04s,66.0,33.0,0.0,18.0
Valera3103,67.0,28.0,5.0,100.0
minorbison,42.0,57.0,0.0,21.0
zafrir,43.0,52.0,5.0,100.0
Gowen618,45.0,52.0,3.0,100.0
Rapportt,57.0,42.0,0.0,100.0
Homobz,0.0,0.0,0.0,0.0
Buunz,54.0,41.0,3.0,93.0
Aktogali,53.0,38.0,9.0,100.0
SoulShakinTex,0.0,0.0,0.0,0.0
Fedailer04,42.0,49.0,9.0,100.0
Thunder121020,46.0,48.0,6.0,100.0
rolo1-0-1,0.0,0.0,0.0,0.0
Alexandro_ua,52.0,47.0,1.0,100.0
javipe2022,63.0,33.0,4.0,100.0
marcoaldi,51.0,41.0,8.0,100.0
Ornito,40.0,56.0,3.0,100.0
garfiox,0.0,0.0,0.0,0.0
irfan1234567,45.0,53.0,2.0,100.0
ibraaj81,0.0,0.0,0.0,0.0
MAESTRO_109,42.0,55.0,3.0,100.0
pasdargent,0.0,0.0,0.0,0.0
mikysan,48.0,52.0,0.0,100.0
Vahan067,42.0,54.0,4.0,100.0
Ivanbyk,44.0,55.0,1.0,100.0
operationCastle,42.0,48.0,10.0,100.0
Inravebg,42.0,57.0,0.0,84.0
DORUK009,42.0,53.0,5.0,100.0
carlsenwizzard,42.0,52.0,4.0,21.0
Estemachine,54.0,44.0,2.0,100.0
ochemaster,16.0,84.0,0.0,100.0
CaRdAk,51.0,43.0,6.0,100.0
chrysipe,16.0,83.0,0.0,18.0
KnightofMountains,38.0,62.0,0.0,100.0
My_Eros,55.0,44.0,0.0,27.0
SMART09,47.0,52.0,1.0,100.0
JamesGaier,49.0,48.0,3.0,100.0
Milos_11,49.0,45.0,6.0,100.0
PP2571,41.0,56.0,2.0,100.0
rabathayelfath,69.0,27.0,4.0,100.0
