user_id,user_blitz_rating,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_rating_deviation,user_op,game_result,op_rating_deviation,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
engsultan00,1768.0,50.0,49.0,1.0,100.0,52.083333333333336,47.91666666666667,0.0,48.0,45.03,Kimirov,0,45.01,40.0,56.0,3.0,100.0
Panfi,1351.0,46.0,49.0,5.0,100.0,40.38461538461539,55.76923076923077,3.8461538461538463,52.0,47.35,Yathuking8,1,192.05,0.0,100.0,0.0,3.0
rsk86,1460.0,50.0,43.0,7.0,100.0,37.5,58.333333333333336,4.166666666666666,48.0,45.16,MichBSS,1,45.06,45.0,51.0,4.0,100.0
mercanet,1743.0,47.0,50.0,3.0,100.0,44.0,52.0,4.0,50.0,45.0,r_torrez,-1,45.04,49.0,47.0,4.0,100.0
cool-chess-21,1690.0,33.0,66.0,0.0,9.0,52.94117647058824,37.25490196078432,9.803921568627452,51.0,78.88,eWojciech,-1,162.7,0.0,0.0,0.0,0.0
bhavyamarella,1016.0,25.0,75.0,0.0,12.0,38.63636363636363,56.81818181818182,4.545454545454546,44.0,92.07,Aras2065,-1,45.04,48.0,44.0,8.0,100.0
cironine999,1785.0,41.0,52.0,7.0,100.0,38.0,56.00000000000001,6.0,50.0,45.31,Cyrano_64,1,45.25,62.0,28.0,9.0,100.0
chessenthusiast2,1439.0,53.0,46.0,1.0,100.0,56.86274509803921,43.13725490196079,0.0,51.0,45.76,lovebisht,1,45.04,48.0,49.0,3.0,100.0
derwolf21,1705.0,41.0,53.0,6.0,100.0,36.734693877551024,53.06122448979592,10.20408163265306,49.0,45.01,Swoj,1,45.01,41.0,54.0,5.0,100.0
mmchess2023,1308.0,36.0,63.0,0.0,57.0,57.44680851063831,42.5531914893617,0.0,47.0,46.27,A_mARathONer,1,132.15,0.0,0.0,0.0,0.0
