user_op,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max
Kimirov,2.0,8.0,0.0,7.0
Yathuking8,0.0,1.0,3.0,3.0
MichBSS,2.0,12.0,0.0,9.0
r_torrez,0.0,22.0,1.0,21.0
eWojciech,0.0,6.0,1.0,7.0
Aras2065,0.0,5.0,3.0,8.0
Cyrano_64,3.0,9.0,0.0,3.0
lovebisht,1.0,11.0,0.0,11.0
Swoj,2.0,9.0,0.0,8.0
A_mARathONer,2.0,2.0,0.0,2.0
euke,1.0,5.0,0.0,3.0
alepo-139,0.0,14.0,1.0,12.0
TheSoloist,0.0,12.0,2.0,12.0
starship3,0.0,3.0,3.0,6.0
Idebuda,0.0,13.0,1.0,11.0
Nikolai1109,0.0,16.0,2.0,13.0
guwse,0.0,10.0,3.0,9.0
ThimanTThulnith,0.0,0.0,1.0,1.0
earendilist,0.0,10.0,3.0,11.0
chu3r,1.0,8.0,0.0,23.0
rog9lik,0.0,12.0,1.0,13.0
lVl1das,2.0,13.0,0.0,9.0
javy2r,0.0,0.0,0.0,0.0
F06abeja,1.0,12.0,0.0,10.0
CHIKUPATRA647,0.0,9.0,2.0,10.0
SHARA1313,0.0,9.0,2.0,10.0
Frankie_Tucson,1.0,1.0,0.0,0.0
hacta,1.0,12.0,0.0,8.0
dragon_muto,0.0,9.0,1.0,11.0
Senatros,1.0,11.0,0.0,9.0
IOANN1978,0.0,11.0,1.0,11.0
limitsofman,0.0,11.0,1.0,10.0
nointoine,1.0,6.0,0.0,5.0
drmskr,4.0,13.0,0.0,13.0
CiasnaMarietta69,0.0,8.0,2.0,12.0
boehmerich,0.0,10.0,1.0,8.0
Kuangaliev,0.0,16.0,2.0,9.0
jorgeabel123,0.0,10.0,2.0,13.0
Caesarthedictator,1.0,6.0,0.0,6.0
Voxel9999,0.0,11.0,3.0,15.0
Akhilyadav98,0.0,8.0,3.0,18.0
manash12,0.0,2.0,2.0,8.0
Chinosantomera2,0.0,13.0,1.0,9.0
HernanC,2.0,13.0,0.0,11.0
Malzawar,1.0,9.0,0.0,11.0
Pajabobr,0.0,10.0,2.0,12.0
Nimishthegreat,0.0,10.0,2.0,19.0
Ruslan23-09-2011,0.0,11.0,1.0,13.0
MichalKp,3.0,5.0,0.0,7.0
Iplaychessrarelyyou,0.0,0.0,1.0,1.0
dragonson7777,0.0,12.0,2.0,23.0
picassent18,0.0,11.0,1.0,15.0
TheDarkKnight-927,2.0,13.0,0.0,11.0
Intermega,0.0,13.0,1.0,8.0
