user_id,win_streak_current,win_streak_max,loss_streak_current,loss_streak_max
engsultan00,0.0,13.0,2.0,14.0
Panfi,3.0,12.0,0.0,11.0
rsk86,1.0,8.0,0.0,7.0
mercanet,0.0,12.0,1.0,11.0
cool-chess-21,4.0,12.0,0.0,10.0
bhavyamarella,0.0,13.0,1.0,13.0
amirdna2000,4.0,8.0,0.0,6.0
FrankJNG,0.0,8.0,2.0,12.0
HosSseiN1,0.0,6.0,1.0,5.0
cironine999,2.0,11.0,0.0,19.0
chessenthusiast2,0.0,9.0,1.0,8.0
derwolf21,0.0,20.0,5.0,11.0
mmchess2023,0.0,7.0,1.0,8.0
Oguzalp13,0.0,6.0,1.0,11.0
Evalena2024,0.0,13.0,3.0,13.0
DanHarner,2.0,9.0,0.0,8.0
mm576,0.0,11.0,1.0,17.0
Krabulut,0.0,7.0,1.0,8.0
the_think_machine,0.0,1.0,1.0,1.0
lionsden19,0.0,8.0,1.0,3.0
s7alamen,0.0,12.0,1.0,17.0
Marifercristobal,3.0,7.0,0.0,6.0
maz350_k1,0.0,15.0,4.0,18.0
Beemsterboa,0.0,14.0,1.0,9.0
big-bad,1.0,9.0,0.0,23.0
Cyanideandhappiness,0.0,3.0,2.0,6.0
lvbnhbq1982,0.0,12.0,0.0,11.0
Bobbynae,0.0,9.0,11.0,11.0
fortaken,2.0,10.0,0.0,12.0
jonateng,1.0,10.0,0.0,9.0
schachsinnig,0.0,9.0,3.0,13.0
BMBenito_2016_Tugue,0.0,8.0,1.0,13.0
bobsonx10,0.0,6.0,2.0,6.0
vahid1402,0.0,10.0,4.0,12.0
harrisonpeen65,6.0,8.0,0.0,7.0
BenWeb1664,0.0,5.0,3.0,4.0
VaChechnev,0.0,10.0,1.0,8.0
SirNefarious630,2.0,7.0,0.0,8.0
GramBoLubie66,1.0,8.0,0.0,8.0
tshifeler,0.0,10.0,1.0,12.0
foreverStuck,0.0,12.0,0.0,11.0
soloview,3.0,14.0,0.0,13.0
Kawabanga222,4.0,9.0,0.0,12.0
NiemannFan,0.0,8.0,1.0,10.0
Rawoul,0.0,5.0,8.0,9.0
tolezet,1.0,6.0,0.0,5.0
mangosta_1962,0.0,10.0,3.0,25.0
wdfub1,0.0,5.0,2.0,9.0
P3rrys0n,0.0,11.0,1.0,12.0
Alexkonstbg,5.0,10.0,0.0,12.0
Sp1aw,2.0,2.0,0.0,8.0
OLEGPLAYER152,1.0,13.0,0.0,5.0
Endgamelost,1.0,1.0,0.0,1.0
timlawson,0.0,8.0,1.0,8.0
AhmedHonda1986,0.0,13.0,1.0,12.0
gittilayke,0.0,9.0,2.0,13.0
ramac-bartol,0.0,9.0,1.0,9.0
bluecow1,0.0,11.0,1.0,9.0
AvBurakhan,10.0,10.0,0.0,8.0
dukicmond,4.0,10.0,0.0,10.0
northern_monkey,3.0,11.0,0.0,8.0
mmevlutbyr,6.0,8.0,0.0,8.0
D4boss,0.0,9.0,1.0,8.0
cursedfg,5.0,7.0,0.0,4.0
zdarzbrum,0.0,11.0,2.0,13.0
deestar,0.0,14.0,1.0,11.0
bachmoch90,1.0,11.0,0.0,15.0
mehmeto,0.0,13.0,3.0,12.0
dvsuhov,0.0,0.0,0.0,0.0
RoseWhite,0.0,10.0,0.0,9.0
potamianov,0.0,4.0,1.0,6.0
mrkingtony,0.0,11.0,1.0,12.0
bullseye9,0.0,9.0,1.0,11.0
kezhik_0,0.0,9.0,3.0,9.0
albassem4,0.0,9.0,4.0,9.0
Sky0010,3.0,3.0,0.0,4.0
bobby-vishy,1.0,10.0,0.0,12.0
PlayaONE,0.0,10.0,2.0,14.0
leongambit,3.0,9.0,0.0,10.0
loup76,0.0,15.0,4.0,14.0
jonny0507,0.0,15.0,1.0,13.0
Frantz27,1.0,10.0,0.0,11.0
Saganash13,2.0,7.0,0.0,7.0
Oida1,0.0,12.0,8.0,13.0
Yazish,2.0,11.0,0.0,6.0
Naddyuza,0.0,12.0,3.0,14.0
IplayforDRAW,0.0,7.0,1.0,9.0
sandraekaputra,0.0,10.0,3.0,13.0
ImaRandomBot,1.0,6.0,0.0,10.0
PorroRey,0.0,9.0,2.0,9.0
killagame72,1.0,9.0,0.0,7.0
GROss044,0.0,11.0,3.0,12.0
RGratsch,1.0,12.0,0.0,14.0
irswamy,1.0,7.0,0.0,12.0
bernao,0.0,14.0,3.0,13.0
Piter-RR,0.0,8.0,6.0,13.0
ssekoss,2.0,13.0,0.0,14.0
CARMONAA,0.0,10.0,4.0,8.0
usta9010,0.0,5.0,1.0,6.0
Muhammadqodir2,0.0,0.0,0.0,0.0
davidisraelhay,0.0,6.0,1.0,6.0
werdnaz,0.0,8.0,2.0,9.0
yar13,0.0,6.0,1.0,10.0
Mahanand,0.0,9.0,1.0,15.0
furi_za,0.0,10.0,1.0,2.0
Litelants,0.0,10.0,3.0,12.0
Menierva916,3.0,6.0,0.0,11.0
mimar_harsen,0.0,9.0,1.0,13.0
Mohammad_m3d,3.0,12.0,0.0,11.0
seyed1349zia,0.0,9.0,1.0,25.0
Shikabella,0.0,12.0,1.0,11.0
bukidron,0.0,7.0,1.0,11.0
Tymanov_V,0.0,15.0,1.0,15.0
warsawplayer,7.0,11.0,0.0,13.0
insane_ke,3.0,12.0,0.0,13.0
Strength5gorsk,1.0,9.0,0.0,9.0
Walkere,1.0,11.0,0.0,11.0
Devdutt_three,2.0,10.0,0.0,9.0
CruaWarrior,4.0,9.0,0.0,15.0
fezfez_05,0.0,6.0,3.0,6.0
antibiotik1985,0.0,12.0,1.0,12.0
kulik7,0.0,7.0,2.0,4.0
YUBAMACO,0.0,3.0,1.0,3.0
MaxLag,0.0,7.0,2.0,17.0
bruno1m2m3,0.0,11.0,2.0,30.0
shujau,0.0,8.0,2.0,7.0
GlobalChessArena,0.0,10.0,1.0,11.0
BodyMindSoul,4.0,10.0,0.0,10.0
MR_HBashoq,0.0,3.0,4.0,4.0
teperto,0.0,12.0,2.0,9.0
Andriy60,1.0,9.0,0.0,10.0
warelds2,1.0,10.0,0.0,10.0
amirshahal,0.0,10.0,1.0,12.0
akrmakrm,0.0,8.0,0.0,5.0
jsedano,0.0,6.0,1.0,6.0
maciberia,0.0,0.0,0.0,0.0
Uganey26rus,0.0,7.0,2.0,9.0
Mi0091,0.0,10.0,3.0,10.0
pejciczrn,0.0,13.0,2.0,28.0
pooyapli1,1.0,15.0,0.0,11.0
DGBerana,2.0,3.0,0.0,2.0
Gatto03,3.0,10.0,0.0,13.0
foolsandhorses,1.0,13.0,0.0,14.0
BillOudi,1.0,10.0,0.0,10.0
tm2383,0.0,3.0,4.0,7.0
Vadim1107,0.0,0.0,2.0,2.0
BismarckWP,4.0,12.0,0.0,12.0
Maks633010,3.0,10.0,0.0,15.0
David_P0,1.0,10.0,0.0,12.0
r_117,1.0,2.0,0.0,12.0
Checho19,0.0,10.0,3.0,19.0
Brass67,1.0,10.0,0.0,8.0
Vaibhav_Dang,1.0,10.0,0.0,11.0
Eden-Hasard,0.0,9.0,1.0,11.0
bmbarto,0.0,8.0,4.0,8.0
MrChuckL,1.0,9.0,0.0,6.0
burnedlight,1.0,13.0,0.0,8.0
potrerillos94,2.0,11.0,0.0,5.0
AMRJ9,0.0,8.0,8.0,8.0
blueskychess22,,,,
hosseinhatami7595,0.0,7.0,3.0,8.0
misos_35,2.0,9.0,0.0,8.0
abasad1,0.0,15.0,2.0,12.0
buttbreff,0.0,7.0,1.0,6.0
OgSnkrbbb,0.0,9.0,2.0,12.0
smailllll,3.0,7.0,0.0,9.0
fesed18,4.0,12.0,0.0,15.0
respublicano,0.0,11.0,3.0,12.0
phuocvip1412,0.0,11.0,2.0,7.0
phebololuna,0.0,7.0,3.0,6.0
estebanovitch,0.0,8.0,1.0,7.0
DJ4Y,1.0,10.0,0.0,10.0
mirza_amaan,1.0,13.0,0.0,10.0
estrellita05,2.0,2.0,0.0,2.0
woody86,2.0,17.0,0.0,15.0
klauspn,0.0,13.0,2.0,11.0
MISTY_96,1.0,10.0,0.0,10.0
suchetkodate,1.0,9.0,0.0,11.0
DKS256,4.0,7.0,0.0,8.0
Anirudh99545,0.0,6.0,0.0,7.0
DmitriyKol,4.0,11.0,0.0,8.0
amirvalizade1963,0.0,13.0,4.0,11.0
George_mav6704,1.0,1.0,0.0,3.0
Sangon,2.0,12.0,0.0,11.0
dnlgrassi,0.0,8.0,1.0,12.0
abdelmoezbasha,2.0,9.0,0.0,13.0
santhoshn,0.0,6.0,3.0,11.0
hitam99,0.0,11.0,4.0,17.0
Solar-Wind86,2.0,13.0,0.0,8.0
cherguimd,0.0,12.0,2.0,7.0
RagnarokLothbrok,0.0,0.0,0.0,0.0
Johnston3,0.0,11.0,1.0,14.0
Natwyk,1.0,11.0,0.0,9.0
GOATxOVERPOWERYT9577,1.0,1.0,0.0,1.0
