user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count,rating_deviation
engsultan00,1768.0,50.0,49.0,1.0,100.0,45.03
Panfi,1351.0,46.0,49.0,5.0,100.0,47.35
rsk86,1460.0,50.0,43.0,7.0,100.0,45.16
mercanet,1743.0,47.0,50.0,3.0,100.0,45.0
cool-chess-21,1690.0,33.0,66.0,0.0,9.0,78.88
bhavyamarella,1016.0,25.0,75.0,0.0,12.0,92.07
cironine999,1785.0,41.0,52.0,7.0,100.0,45.31
chessenthusiast2,1439.0,53.0,46.0,1.0,100.0,45.76
derwolf21,1705.0,41.0,53.0,6.0,100.0,45.01
mmchess2023,1308.0,36.0,63.0,0.0,57.0,46.27
Oguzalp13,1228.0,42.0,57.0,0.0,78.0,63.63
Evalena2024,1739.0,46.0,50.0,4.0,100.0,45.02
s7alamen,1801.0,46.0,49.0,5.0,100.0,45.02
Marifercristobal,1189.0,43.0,53.0,4.0,100.0,171.99
maz350_k1,1805.0,52.0,46.0,2.0,100.0,45.02
Beemsterboa,1838.0,55.0,43.0,2.0,100.0,45.01
big-bad,908.0,60.0,40.0,0.0,15.0,52.8
Cyanideandhappiness,1465.0,33.0,66.0,0.0,9.0,73.85
lvbnhbq1982,1338.0,48.0,47.0,5.0,100.0,45.03
fortaken,1496.0,32.0,64.0,3.0,84.0,45.22
jonateng,1432.0,53.0,44.0,3.0,100.0,45.61
schachsinnig,1635.0,22.0,66.0,11.0,27.0,48.16
BMBenito_2016_Tugue,1359.0,53.0,43.0,4.0,100.0,45.74
bobsonx10,1493.0,52.0,48.0,0.0,100.0,45.03
VaChechnev,1768.0,49.0,44.0,7.0,100.0,45.07
SirNefarious630,1816.0,45.0,52.0,3.0,100.0,45.84
GramBoLubie66,1745.0,37.0,53.0,10.0,100.0,45.2
tshifeler,1466.0,38.0,56.0,5.0,100.0,45.09
foreverStuck,1773.0,50.0,33.0,16.0,18.0,46.53
soloview,1386.0,40.0,57.0,2.0,100.0,45.11
Kawabanga222,1734.0,48.0,49.0,3.0,100.0,45.11
NiemannFan,1381.0,50.0,41.0,9.0,100.0,45.11
P3rrys0n,1438.0,50.0,48.0,2.0,100.0,45.06
Alexkonstbg,1886.0,52.0,45.0,3.0,100.0,45.01
Sp1aw,1170.0,34.0,62.0,3.0,29.0,280.55
OLEGPLAYER152,1471.0,52.0,46.0,2.0,100.0,45.31
timlawson,1872.0,50.0,43.0,7.0,100.0,45.1
AhmedHonda1986,1860.0,44.0,52.0,4.0,100.0,45.02
gittilayke,1465.0,56.0,42.0,1.0,100.0,45.0
ramac-bartol,1839.0,51.0,44.0,5.0,100.0,45.53
bluecow1,1818.0,51.0,47.0,2.0,100.0,45.15
AvBurakhan,1526.0,100.0,0.0,0.0,3.0,65.33
dukicmond,1730.0,47.0,48.0,5.0,100.0,45.02
northern_monkey,1761.0,51.0,45.0,4.0,100.0,45.01
mmevlutbyr,1462.0,52.0,45.0,3.0,100.0,45.0
zdarzbrum,1521.0,43.0,53.0,4.0,100.0,45.18
deestar,1709.0,39.0,55.0,6.0,100.0,45.47
bachmoch90,1426.0,50.0,48.0,2.0,100.0,45.15
mehmeto,1466.0,44.0,56.0,0.0,100.0,45.03
dvsuhov,1500.0,83.0,17.0,0.0,100.0,500.0
mrkingtony,1419.0,42.0,54.0,4.0,100.0,45.21
bullseye9,1510.0,44.0,49.0,7.0,100.0,45.36
kezhik_0,1514.0,51.0,42.0,7.0,100.0,45.07
albassem4,1412.0,47.0,52.0,1.0,100.0,45.1
Sky0010,1808.0,48.0,50.0,1.0,99.0,45.19
bobby-vishy,1769.0,56.0,37.0,6.0,100.0,45.05
PlayaONE,1721.0,41.0,56.0,3.0,100.0,45.35
leongambit,1667.0,51.0,48.0,1.0,100.0,45.03
loup76,1342.0,49.0,47.0,4.0,100.0,45.08
Saganash13,1804.0,52.0,45.0,3.0,100.0,45.02
Yazish,1537.0,70.0,30.0,0.0,100.0,48.14
Naddyuza,1404.0,48.0,49.0,3.0,100.0,45.06
IplayforDRAW,1686.0,57.0,37.0,5.0,100.0,0.0
sandraekaputra,1719.0,51.0,46.0,3.0,100.0,0.0
ImaRandomBot,1350.0,39.0,57.0,3.0,100.0,89.42
killagame72,1194.0,50.0,47.0,3.0,100.0,45.12
GROss044,1165.0,39.0,61.0,0.0,100.0,52.86
RGratsch,1771.0,51.0,49.0,0.0,100.0,45.07
bernao,1856.0,52.0,46.0,2.0,100.0,45.02
ssekoss,1445.0,54.0,44.0,2.0,100.0,45.0
CARMONAA,1271.0,41.0,53.0,6.0,100.0,45.62
davidisraelhay,1512.0,47.0,49.0,4.0,100.0,45.04
werdnaz,1701.0,50.0,50.0,0.0,54.0,46.81
Mahanand,1868.0,50.0,46.0,4.0,100.0,45.0
furi_za,1231.0,78.0,21.0,0.0,69.0,47.28
Litelants,1840.0,46.0,49.0,5.0,100.0,45.52
Mohammad_m3d,1479.0,50.0,47.0,3.0,100.0,45.23
seyed1349zia,1434.0,54.0,41.0,5.0,100.0,45.32
Shikabella,1395.0,46.0,48.0,6.0,100.0,45.1
bukidron,1533.0,60.0,40.0,0.0,15.0,45.91
Tymanov_V,1771.0,45.0,45.0,9.0,66.0,45.56
warsawplayer,1536.0,66.0,31.0,3.0,100.0,45.06
Walkere,1631.0,46.0,45.0,9.0,100.0,45.01
fezfez_05,1265.0,53.0,42.0,3.0,84.0,49.15
antibiotik1985,1696.0,60.0,36.0,4.0,100.0,45.7
