user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin,op_id,game_result,is_blitz
Diomaiute,37.0,50.0,12.0,24.0,851.0,840-859,KonstantinPerfilev,1,0
Abhi403,44.0,52.0,4.0,100.0,1410.0,1400-1419,Ram_9696,1,0
Chess_Tarjei,35.0,53.0,12.0,100.0,1293.0,1280-1299,guliverza,1,1
SOWBARNIKASRI,0.0,100.0,0.0,3.0,1134.0,1120-1139,skypes,-1,0
leroybrown789,40.0,60.0,0.0,30.0,1998.0,1980-1999,AbDuscaN159,-1,0
MahmoudTorab,38.0,61.0,0.0,54.0,1461.0,1460-1479,chessgal2023,0,0
LittleEalf,38.0,59.0,3.0,100.0,1487.0,1480-1499,samh2022,-1,1
Monsieur_Stockfish,39.0,55.0,6.0,100.0,1914.0,1900-1919,Kona1106,1,1
Kurama0909,33.0,66.0,0.0,9.0,2012.0,2000-2019,AntvladChess,1,0
memo10,25.0,70.0,4.0,72.0,1207.0,1200-1219,Ghosh97,1,0
radiakMoto,49.0,47.0,4.0,100.0,1827.0,1820-1839,dougy00,1,1
birdy5205,56.0,40.0,4.0,100.0,2204.0,2200-2219,BlueMeth420,-1,1
pushpakumar86,50.0,46.0,4.0,100.0,1815.0,1800-1819,mostafaelmensh1996,1,1
White_Bars_228,64.0,35.0,0.0,51.0,2156.0,2140-2159,lastyaguaro,-1,1
DougCheckmate,26.0,74.0,0.0,100.0,630.0,620-639,nlgiynn,1,1
arobert1997,39.0,56.0,5.0,100.0,1417.0,1400-1419,Onehundredandeighty,-1,1
kodomagi,39.0,60.0,1.0,100.0,1384.0,1380-1399,Nikolai1952,-1,1
marksimilian,63.0,33.0,4.0,100.0,1404.0,1400-1419,Chozobozo,1,0
JOELJOZF,52.0,45.0,3.0,100.0,1392.0,1380-1399,,401,0
Appenzell_2020,45.0,49.0,6.0,100.0,1509.0,1500-1519,,401,0
TakeMeintoDarkForest,66.0,33.0,0.0,9.0,1385.0,1380-1399,StephenJamesCashen,-1,0
FasterThanMaster,50.0,50.0,0.0,24.0,2076.0,2060-2079,EnriqueGranados,1,0
augustinaaa,16.0,76.0,8.0,75.0,558.0,540-559,lianeambinintsoa,-1,0
AbdAllahBa,46.0,49.0,5.0,100.0,2054.0,2040-2059,yoydi,-1,1
Queens_dont_cry,0.0,100.0,0.0,3.0,1861.0,1860-1879,sol77,1,0
