user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
Rtucci1995,-1,0.0,0.0,0.0,0.0,44.444,47.222,8.333,36.0,45.714,54.286,0.0,35.0,C40,C42,A06,D26,0.344,0.406,0.219,0.389,0.333,0.222,262.0
dmitrijj-minochkin,1,56.0,42.0,1.0,100.0,59.677,38.71,1.613,62.0,53.968,44.444,1.587,63.0,D00,B00,E71,E61,0.197,0.648,0.155,0.038,0.962,0.0,483.0
cboy777,1,44.0,50.0,4.0,67.0,48.649,51.351,0.0,37.0,44.444,47.222,8.333,36.0,A40,B30,B33,D94,0.353,0.265,0.324,0.194,0.111,0.694,450.0
zlanton,1,44.0,51.0,5.0,100.0,40.625,53.125,6.25,64.0,54.098,40.984,4.918,61.0,C41,C00,D02,A15,0.186,0.525,0.271,0.322,0.542,0.119,379.0
Stoindlscheyba,-1,44.0,52.0,4.0,100.0,51.613,43.548,4.839,62.0,42.857,49.206,7.937,63.0,B00,A10,A35,A34,0.068,0.593,0.271,0.466,0.466,0.069,393.0
mull1234,-1,44.0,50.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sarada_Samaa,1,49.0,49.0,2.0,100.0,59.677,38.71,1.613,62.0,46.032,52.381,1.587,63.0,D02,A04,D78,A51,0.318,0.409,0.273,0.07,0.579,0.316,275.0
jerem08,1,45.0,51.0,4.0,100.0,60.317,36.508,3.175,63.0,35.484,58.065,6.452,62.0,D00,D02,B15,A03,0.15,0.65,0.167,0.61,0.39,0.0,542.0
kolia2,-1,49.0,50.0,1.0,100.0,53.968,44.444,1.587,63.0,48.387,51.613,0.0,62.0,A40,D00,C25,D11,0.438,0.281,0.234,0.183,0.3,0.5,254.0
buckyb01,-1,48.0,49.0,3.0,100.0,42.188,57.812,0.0,64.0,54.098,37.705,8.197,61.0,B01,A40,A00,A01,0.117,0.417,0.467,0.317,0.433,0.25,282.0
Morio,-1,40.0,60.0,0.0,15.0,57.143,41.071,1.786,56.0,33.333,66.667,0.0,69.0,B01,D00,A48,D11,0.291,0.545,0.145,0.029,0.072,0.884,503.0
DMac87,1,57.0,42.0,0.0,21.0,53.03,34.848,12.121,66.0,44.068,42.373,13.559,59.0,A45,B27,D15,D02,0.082,0.705,0.18,0.188,0.792,0.021,567.0
asbelgm,1,42.0,49.0,9.0,100.0,50.0,40.909,9.091,44.0,44.898,44.898,10.204,49.0,C47,C50,C00,A43,0.545,0.25,0.205,0.75,0.2,0.025,327.0
ali_alizadeh1,1,48.0,49.0,3.0,100.0,50.769,49.231,0.0,65.0,35.0,65.0,0.0,60.0,D00,A40,C55,C11,0.352,0.556,0.093,0.338,0.563,0.056,260.0
RubenPuchler,1,25.0,75.0,0.0,36.0,59.322,33.898,6.78,59.0,48.485,42.424,9.091,66.0,C42,A45,C20,A26,0.239,0.567,0.149,0.312,0.604,0.083,379.0
Kaka9191,-1,66.0,33.0,0.0,9.0,100.0,0.0,0.0,1.0,50.0,50.0,0.0,2.0,C00,A40,A40,B00,0.5,0.0,0.0,1.0,0.0,0.0,375.0
Hamovi,1,54.0,41.0,5.0,100.0,62.295,34.426,3.279,61.0,46.875,46.875,6.25,64.0,A45,B00,D36,C45,0.118,0.662,0.221,0.275,0.314,0.373,433.0
AnargyaJ,-1,60.0,36.0,4.0,100.0,58.065,41.935,0.0,62.0,58.73,36.508,4.762,63.0,B10,B13,B01,B06,0.329,0.466,0.137,0.184,0.673,0.143,364.0
The_Sniper07,-1,0.0,0.0,0.0,0.0,46.875,46.875,6.25,64.0,45.902,54.098,0.0,61.0,C50,D02,C48,C60,0.345,0.31,0.31,0.429,0.444,0.127,303.0
Celantiy-74,-1,49.0,50.0,1.0,100.0,53.226,45.161,1.613,62.0,41.27,53.968,4.762,63.0,B30,B10,C68,C60,0.22,0.525,0.237,0.161,0.452,0.387,270.0
