user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
miaras,-1,49.0,40.0,11.0,100.0,50.0,39.394,10.606,66.0,45.763,45.763,8.475,59.0,B90,B50,B51,A45,0.317,0.45,0.233,0.094,0.755,0.151,266.0
Landau51,1,52.0,43.0,5.0,100.0,50.0,46.667,3.333,60.0,55.385,40.0,4.615,65.0,C00,B20,C55,C41,0.152,0.621,0.227,0.185,0.815,0.0,343.0
morexcuses93,-1,100.0,0.0,0.0,3.0,91.803,4.918,3.279,61.0,93.75,4.688,1.562,64.0,C00,B52,D02,B43,0.31,0.474,0.207,0.0,0.5,0.5,280.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RobertPash,1,28.0,71.0,0.0,21.0,46.429,53.571,0.0,28.0,51.724,44.828,3.448,29.0,B40,D00,A22,D06,0.393,0.5,0.107,0.107,0.464,0.393,310.0
sumuva2000,-1,45.0,49.0,6.0,100.0,50.794,42.857,6.349,63.0,45.161,48.387,6.452,62.0,A00,A40,A43,E91,0.2,0.517,0.283,0.088,0.509,0.386,271.0
eirfan87,1,46.0,53.0,1.0,100.0,53.226,45.161,1.613,62.0,46.032,50.794,3.175,63.0,A40,B10,D01,A43,0.242,0.516,0.226,0.217,0.667,0.033,240.0
guernsej,1,57.0,39.0,3.0,100.0,50.0,46.552,3.448,58.0,56.716,40.299,2.985,67.0,A02,B20,A10,A80,0.224,0.582,0.194,0.074,0.611,0.315,433.0
vahid_radaeii,0,0.0,0.0,0.0,0.0,61.404,33.333,5.263,57.0,51.471,48.529,0.0,68.0,C50,C41,C65,B00,0.257,0.5,0.2,0.423,0.519,0.038,348.0
Subash22krishna,1,50.0,47.0,3.0,100.0,54.688,43.75,1.562,64.0,47.541,47.541,4.918,61.0,A04,C00,E61,A13,0.328,0.5,0.125,0.316,0.404,0.281,360.0
A4n5,-1,43.0,54.0,3.0,100.0,54.237,44.068,1.695,59.0,34.848,65.152,0.0,66.0,D00,C60,A00,C46,0.273,0.509,0.164,0.087,0.725,0.116,275.0
nikolaielin,-1,54.0,39.0,7.0,100.0,57.143,39.683,3.175,63.0,40.323,46.774,12.903,62.0,C50,B23,B00,D35,0.098,0.689,0.164,0.222,0.759,0.0,529.0
CareyJA,1,0.0,0.0,0.0,0.0,30.769,69.231,0.0,13.0,62.5,25.0,12.5,8.0,A40,B23,B23,A43,0.333,0.444,0.222,0.091,0.364,0.455,388.0
ChantalDo1,-1,100.0,0.0,0.0,6.0,58.0,36.0,6.0,50.0,54.167,45.833,0.0,48.0,C20,C41,C24,B20,0.364,0.218,0.418,0.475,0.4,0.1,344.0
Derval,-1,44.0,52.0,4.0,100.0,50.794,49.206,0.0,63.0,46.774,46.774,6.452,62.0,C20,C41,B07,B30,0.279,0.279,0.344,0.533,0.0,0.433,440.0
miszczunio28,-1,0.0,0.0,0.0,0.0,55.556,38.095,6.349,63.0,53.226,41.935,4.839,62.0,C44,C50,C35,B44,0.176,0.574,0.25,0.16,0.76,0.06,243.0
mmari22,-1,40.0,56.0,4.0,100.0,43.548,53.226,3.226,62.0,49.206,47.619,3.175,63.0,A00,C00,A41,C41,0.241,0.586,0.172,0.397,0.286,0.317,401.0
nathyn,-1,49.0,50.0,1.0,100.0,46.032,52.381,1.587,63.0,53.226,43.548,3.226,62.0,B01,A40,B13,B07,0.21,0.581,0.194,0.133,0.833,0.033,467.0
Chennaiganesh,-1,49.0,46.0,5.0,100.0,52.308,43.077,4.615,65.0,51.667,45.0,3.333,60.0,B20,C26,C55,C64,0.292,0.415,0.215,0.182,0.636,0.164,583.0
guhi63,1,0.0,0.0,0.0,0.0,44.262,50.82,4.918,61.0,60.938,37.5,1.562,64.0,D00,C50,A06,C00,0.212,0.5,0.273,0.273,0.709,0.018,219.0
narwhal89,1,41.0,52.0,7.0,100.0,48.438,42.188,9.375,64.0,34.426,59.016,6.557,61.0,D00,C41,D31,A45,0.327,0.327,0.327,0.524,0.111,0.27,269.0
rojolangosta,1,45.0,48.0,7.0,100.0,42.373,50.847,6.78,59.0,50.0,50.0,0.0,66.0,A40,C00,C49,C24,0.362,0.414,0.224,0.079,0.857,0.063,352.0
ShapovalovSerg,-1,49.0,46.0,5.0,100.0,53.226,40.323,6.452,62.0,47.619,49.206,3.175,63.0,A00,B06,A10,A00,0.143,0.54,0.286,0.054,0.911,0.036,382.0
vamsilu,-1,47.0,50.0,3.0,100.0,53.226,45.161,1.613,62.0,50.794,46.032,3.175,63.0,B01,A45,D30,B15,0.262,0.462,0.231,0.158,0.439,0.386,420.0
Jammer69fanai,-1,53.0,42.0,5.0,100.0,51.562,40.625,7.812,64.0,49.18,49.18,1.639,61.0,A40,B10,E70,A84,0.238,0.556,0.19,0.054,0.821,0.125,543.0
JohnnyEnglishReborn,-1,0.0,0.0,0.0,0.0,62.295,32.787,4.918,61.0,67.188,28.125,4.688,64.0,B10,A40,A12,A46,0.333,0.42,0.247,0.158,0.395,0.447,262.0
Kolia2015,-1,0.0,0.0,0.0,0.0,55.556,33.333,11.111,9.0,22.222,66.667,11.111,9.0,A22,B06,A00,C44,0.571,0.143,0.286,0.222,0.111,0.667,467.0
okonedoc,-1,51.0,48.0,1.0,100.0,53.226,43.548,3.226,62.0,50.794,49.206,0.0,63.0,B00,B20,C33,C31,0.308,0.508,0.185,0.069,0.103,0.741,278.0
HoldMyRook,0,46.0,49.0,5.0,100.0,54.839,43.548,1.613,62.0,44.444,49.206,6.349,63.0,C00,C02,C41,A00,0.532,0.323,0.145,0.052,0.655,0.293,289.0
sanllanes,1,54.0,42.0,4.0,100.0,58.065,41.935,0.0,62.0,47.619,49.206,3.175,63.0,D02,A04,A05,B10,0.091,0.379,0.485,0.596,0.281,0.088,399.0
