user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin
Nonsilentgamer,100.0,0.0,0.0,3.0,633.0,620-639
Mendee123,49.0,45.0,6.0,100.0,1622.0,1620-1639
illgil,61.0,35.0,4.0,100.0,1078.0,1060-1079
Alex_314,53.0,46.0,1.0,100.0,2016.0,2000-2019
biniamd,38.0,60.0,2.0,100.0,1876.0,1860-1879
durniukas1967,40.0,57.0,2.0,100.0,1292.0,1280-1299
pjajcikm,56.0,38.0,6.0,100.0,2066.0,2060-2079
Peuplier,48.0,49.0,3.0,100.0,1441.0,1440-1459
jaspreet08,45.0,46.0,9.0,100.0,1022.0,1020-1039
odenkouzuki,52.0,43.0,5.0,100.0,1143.0,1140-1159
Ulf_de_wolf,40.0,40.0,20.0,30.0,1607.0,1600-1619
MikeByte,39.0,57.0,3.0,100.0,1915.0,1900-1919
krushidozho,61.0,38.0,0.0,39.0,625.0,620-639
ApostolicPentecostal,50.0,49.0,1.0,100.0,1296.0,1280-1299
almoulim,55.0,42.0,3.0,100.0,2071.0,2060-2079
karam980,37.0,55.0,8.0,100.0,943.0,940-959
ersh79,48.0,49.0,3.0,100.0,1936.0,1920-1939
oryzal,54.0,45.0,0.0,11.0,1500.0,1480-1499
edwin2023,100.0,0.0,0.0,3.0,1426.0,1420-1439
En4road,52.0,44.0,4.0,100.0,2083.0,2080-2099
eri92,49.0,48.0,3.0,100.0,1520.0,1500-1519
randomusername9,0.0,100.0,0.0,6.0,1429.0,1420-1439
Teni24,43.0,44.0,13.0,100.0,700.0,680-699
Himgautam,41.0,55.0,4.0,100.0,1642.0,1640-1659
erkan3838,45.0,52.0,3.0,100.0,872.0,860-879
WeisseFeder,48.0,50.0,2.0,100.0,968.0,960-979
mythicapplsauce,53.0,47.0,0.0,100.0,1426.0,1420-1439
ZuluWanati,0.0,100.0,0.0,1.0,1350.0,1340-1359
Avetiq,47.0,50.0,3.0,100.0,1375.0,1360-1379
Zaratustra10,36.0,56.0,6.0,46.0,1278.0,1260-1279
vishyhemu143,44.0,50.0,6.0,100.0,1924.0,1920-1939
Jonathan23v,44.0,54.0,2.0,100.0,1087.0,1080-1099
south-west3791,45.0,53.0,2.0,100.0,1650.0,1640-1659
MasterAndrey,64.0,30.0,6.0,100.0,1926.0,1920-1939
mohsam112,26.0,73.0,0.0,45.0,1753.0,1740-1759
alireza-ranjbar,48.0,47.0,5.0,100.0,1729.0,1720-1739
egenedy97,0.0,100.0,0.0,3.0,1422.0,1420-1439
ChessPlayer2134,63.0,34.0,3.0,100.0,2172.0,2160-2179
aw123aw,20.0,76.0,4.0,100.0,601.0,600-619
MURODILLA2001,25.0,75.0,0.0,12.0,1333.0,1320-1339
Vladmira,75.0,21.0,3.0,96.0,1376.0,1360-1379
shriyakokkonda,0.0,66.0,33.0,3.0,1144.0,1140-1159
Gamzat1990,45.0,51.0,4.0,100.0,1346.0,1340-1359
xiaqiqi,35.0,62.0,3.0,100.0,1329.0,1320-1339
zivkovi,43.0,55.0,2.0,100.0,1807.0,1800-1819
Md_naveed,50.0,50.0,0.0,42.0,1431.0,1420-1439
dasha2009krag,47.0,50.0,3.0,100.0,1654.0,1640-1659
Nalro1818,44.0,53.0,3.0,100.0,1787.0,1780-1799
mateowaza2813,19.0,79.0,2.0,100.0,1500.0,1480-1499
Kolia0011,39.0,56.0,4.0,100.0,1435.0,1420-1439
KHALID_23,55.0,39.0,6.0,100.0,1413.0,1400-1419
fabibi_b,47.0,49.0,4.0,100.0,994.0,980-999
AHLOKE,39.0,58.0,2.0,43.0,2169.0,2160-2179
namkhoanbbl,69.0,23.0,7.0,39.0,1917.0,1900-1919
Baukuna,49.0,47.0,4.0,100.0,1969.0,1960-1979
G5353,48.0,49.0,3.0,100.0,1054.0,1040-1059
Comtois,34.0,64.0,2.0,100.0,1813.0,1800-1819
WolffA24,60.0,40.0,0.0,15.0,1642.0,1640-1659
SUSANK9,25.0,75.0,0.0,12.0,1365.0,1360-1379
pavlos2,0.0,100.0,0.0,3.0,1794.0,1780-1799
VladimirBuev,0.0,100.0,0.0,3.0,1249.0,1240-1259
Anvar-1963mir,37.0,62.0,0.0,24.0,1752.0,1740-1759
SLaNiks,67.0,28.0,4.0,100.0,1202.0,1200-1219
ozlan,0.0,100.0,0.0,3.0,1500.0,1480-1499
Mahdie21,55.0,43.0,2.0,100.0,2001.0,2000-2019
Suidecide,52.0,44.0,4.0,100.0,1795.0,1780-1799
chitima,50.0,49.0,1.0,100.0,1625.0,1620-1639
sumeyye_13,55.0,45.0,0.0,100.0,1082.0,1080-1099
chicagoss96,27.0,67.0,6.0,100.0,1909.0,1900-1919
noga_2016,31.0,44.0,24.0,87.0,650.0,640-659
ullesweet,100.0,0.0,0.0,6.0,1787.0,1780-1799
Cch28,0.0,100.0,0.0,3.0,1271.0,1260-1279
dagnasty,53.0,45.0,2.0,100.0,1282.0,1280-1299
dexterashish,44.0,50.0,6.0,100.0,1290.0,1280-1299
casper751,38.0,55.0,7.0,100.0,1849.0,1840-1859
SiegbertJohann,24.0,65.0,10.0,87.0,1164.0,1160-1179
RomanK1,32.0,68.0,0.0,100.0,1775.0,1760-1779
Anvarito88,46.0,46.0,6.0,45.0,1790.0,1780-1799
omranlovesme,80.0,20.0,0.0,5.0,1839.0,1820-1839
Mark_Levitin,56.0,37.0,6.0,100.0,1319.0,1300-1319
NafsSays,53.0,47.0,0.0,100.0,1569.0,1560-1579
Hikmatullo,61.0,31.0,8.0,100.0,2079.0,2060-2079
Juhuelma,53.0,45.0,2.0,100.0,1538.0,1520-1539
jhusmith,45.0,51.0,4.0,100.0,2041.0,2040-2059
olivierCrolles,53.0,43.0,4.0,100.0,1909.0,1900-1919
Reubenferns07,0.0,100.0,0.0,2.0,1100.0,1080-1099
torrentgirl,37.0,62.0,0.0,24.0,941.0,940-959
TOXED,37.0,62.0,0.0,27.0,590.0,580-599
kingsgambit8,66.0,33.0,0.0,27.0,1831.0,1820-1839
victormatrix1983,44.0,56.0,0.0,100.0,1479.0,1460-1479
AMRULLAH_CKT,72.0,24.0,4.0,100.0,2385.0,2380-2399
rigby002,42.0,57.0,0.0,63.0,1171.0,1160-1179
Hamed2018,45.0,47.0,8.0,100.0,1507.0,1500-1519
Jonsey357,60.0,38.0,2.0,100.0,1434.0,1420-1439
Bashi_Alicia,52.0,46.0,2.0,100.0,1365.0,1360-1379
chachach,56.0,41.0,2.0,100.0,1490.0,1480-1499
shivakshi31,64.0,35.0,0.0,51.0,830.0,820-839
OLEGKOLOKOL,52.0,46.0,2.0,100.0,1932.0,1920-1939
roma18894,43.0,55.0,2.0,100.0,1222.0,1220-1239
feborba,56.0,43.0,1.0,100.0,1085.0,1080-1099
ashhu59,52.0,47.0,0.0,57.0,1546.0,1540-1559
cramis12345,32.0,66.0,2.0,100.0,1324.0,1320-1339
von-blutcher,0.0,100.0,0.0,12.0,986.0,980-999
Risky_Fellow,48.0,51.0,1.0,100.0,1096.0,1080-1099
Drew901,44.0,51.0,5.0,100.0,2208.0,2200-2219
