user_id,win_rate,lose_rate,draw_rate,game_count
AntipasTang,56.0,41.0,3.0,100.0
gawagei,0.0,0.0,0.0,0.0
MyBishopIsHard,42.0,50.0,7.0,42.0
Playitfast,0.0,0.0,0.0,0.0
navruzbek21,0.0,0.0,0.0,0.0
Scriptalorian,0.0,0.0,0.0,0.0
kevinteixeira,38.0,59.0,3.0,100.0
rdos14,45.0,50.0,5.0,100.0
Cesar310577,0.0,100.0,0.0,3.0
soran3220214029,33.0,50.0,16.0,18.0
Wudarski,46.0,54.0,0.0,100.0
salimandrah,0.0,0.0,0.0,0.0
voldemar_der,0.0,100.0,0.0,6.0
Khalk1979,100.0,0.0,0.0,18.0
Kasling0-0-0,47.0,49.0,4.0,100.0
ruedajoyce15,44.0,54.0,2.0,100.0
Gryka101606,16.0,83.0,0.0,6.0
luke1977,0.0,0.0,0.0,0.0
casibueno,48.0,52.0,0.0,100.0
Mrosama2005,63.0,35.0,2.0,100.0
Rafal-Rafalski,45.0,53.0,2.0,100.0
SergeyVoronChess,33.0,50.0,16.0,18.0
part_time_player,56.0,40.0,4.0,100.0
A500T,52.0,47.0,1.0,100.0
Mikhailzer,0.0,0.0,0.0,0.0
Fotonik,50.0,50.0,0.0,12.0
HASAN7A,56.0,41.0,3.0,100.0
MisterSOD,54.0,44.0,2.0,100.0
Topmark,52.0,47.0,1.0,100.0
Abheeshta,25.0,50.0,25.0,12.0
zimi1957,0.0,0.0,0.0,0.0
NabilForever10,57.0,36.0,6.0,75.0
T11228,0.0,0.0,0.0,0.0
Rapuncelino,56.0,44.0,0.0,100.0
chess-gael,0.0,100.0,0.0,1.0
MaximKhv,62.0,25.0,12.0,24.0
Millionaire_19,39.0,46.0,15.0,100.0
Willianromao,45.0,52.0,3.0,100.0
chesstrike,50.0,47.0,3.0,100.0
NurzhanKZ,0.0,0.0,0.0,0.0
HeroKiller461,37.0,62.0,0.0,24.0
shamiknag,38.0,61.0,0.0,39.0
lichess_mb,0.0,0.0,0.0,0.0
E6solo,5.0,94.0,0.0,17.0
abonent1,53.0,45.0,2.0,100.0
President_11,12.0,87.0,0.0,48.0
Neverlowcrow,0.0,0.0,0.0,0.0
MrPresident02,35.0,52.0,11.0,51.0
Al_ek_sa_nd_r7,65.0,30.0,5.0,100.0
Lapups,50.0,49.0,1.0,100.0
jose_pep,0.0,0.0,0.0,0.0
ChessmateIndia,52.0,46.0,2.0,100.0
Caro-Kann_lover0-0,55.0,44.0,0.0,27.0
korlor,0.0,0.0,0.0,0.0
Vector_20,48.0,48.0,4.0,100.0
Msh_7054200,45.0,48.0,7.0,100.0
RDRDavid,51.0,46.0,3.0,100.0
nelsonvidal,0.0,0.0,0.0,0.0
AABEABEABE,0.0,0.0,0.0,0.0
suvodip,25.0,68.0,7.0,100.0
Psycho179,44.0,54.0,2.0,100.0
Khpt,0.0,0.0,0.0,0.0
HulkChampion,25.0,75.0,0.0,48.0
VINAY_1,0.0,0.0,0.0,0.0
MihovilNiko77,38.0,53.0,9.0,100.0
MyRookIsBigger,51.0,45.0,4.0,100.0
jonnycat,50.0,48.0,2.0,100.0
josobo,64.0,32.0,4.0,100.0
levibmw,0.0,0.0,0.0,0.0
Pavel_alekhin2,48.0,48.0,4.0,100.0
DlaluMlungu27,0.0,0.0,0.0,0.0
Garick65,49.0,44.0,7.0,100.0
cheezymane,40.0,50.0,10.0,100.0
polomtzd,0.0,0.0,0.0,0.0
NevArt,0.0,0.0,0.0,0.0
khongten1111,49.0,47.0,4.0,100.0
Pattprofi,66.0,33.0,0.0,72.0
Nhelian,59.0,39.0,2.0,100.0
Orlando1979777,0.0,0.0,0.0,0.0
masterbill12,46.0,46.0,7.0,13.0
Pavel27111980,55.0,36.0,9.0,100.0
MariaBolkonskaya,0.0,0.0,0.0,0.0
zuberpinaz,0.0,0.0,0.0,0.0
j081157d,57.0,42.0,0.0,100.0
yultash,44.0,55.0,0.0,27.0
Iron15,49.0,38.0,13.0,100.0
Olm65,66.0,27.0,7.0,100.0
ZikaViktor,0.0,0.0,0.0,0.0
skdbatish7,0.0,0.0,0.0,0.0
magnehaga,0.0,0.0,0.0,0.0
josi_e4,0.0,0.0,0.0,0.0
anka0618,51.0,42.0,7.0,100.0
muammar123,42.0,53.0,5.0,100.0
