user_id,blitz_rating
Gatotkoco995,2304.0
Agron,1934.0
tempoocioso,2005.0
Pirschei,1464.0
MichaelMBrillantes,1704.0
datajunkie,2775.0
l3ab-idin,1807.0
Sallaia,1082.0
Javpine597,2251.0
alienvspredator,1190.0
HvChessGm,1204.0
mahmoud_abdellatif,1053.0
colorado7683,599.0
winx_m,2930.0
FaustiOro,2878.0
josmicar,708.0
alnikgul,1777.0
Hunterrun,2416.0
ping0062,819.0
pavelarshinn90,1014.0
naive_knight,1192.0
behrad98,2441.0
Ahmet-Tunahan,2248.0
DruzhkovVN,947.0
lublualiyu,737.0
Dmorineau,1473.0
iyad2017,860.0
TolloT,2420.0
Narsil737,1212.0
Koninaleks,1942.0
BWilliams001,1502.0
Josue_Daza,1406.0
KaiSolter,1710.0
darlinchess,2007.0
wcarmona,1487.0
tevydavid,1594.0
syed_nawfel,645.0
Wladi-71,598.0
Adrian_Chucua,1748.0
Oleksandr_11,2294.0
ZICK80,1909.0
juanfernando96,1728.0
StephenWilly,2628.0
Taladan,2460.0
anand10m,562.0
NastyGunz,970.0
larolarolang,2257.0
khairinasir,2004.0
Blochsky,958.0
