user_id,win_rate,lose_rate,draw_rate,game_count
sadiba,21.0,76.0,3.0,100.0
Johnwick1234,49.0,44.0,7.0,100.0
petxad,47.0,47.0,6.0,100.0
AVESPB,0.0,0.0,0.0,0.0
Katleho-Pitso,57.0,42.0,0.0,21.0
CORTOM34,44.0,52.0,4.0,100.0
Danish175,44.0,42.0,14.0,100.0
peterackland,48.0,44.0,6.0,87.0
DATV75,0.0,0.0,0.0,0.0
Skyiee,39.0,61.0,0.0,100.0
Takoulis,50.0,44.0,6.0,100.0
gfsolanoi24,47.0,49.0,4.0,100.0
akeefcf,36.0,62.0,2.0,100.0
TUTIO123,65.0,28.0,6.0,100.0
Dorsales9,0.0,0.0,0.0,0.0
Nikkisif,0.0,100.0,0.0,6.0
razvancc,42.0,57.0,0.0,42.0
KingDonat,50.0,48.0,2.0,100.0
Johnathan2002,42.0,51.0,7.0,100.0
jaydeeppurihit,0.0,0.0,0.0,0.0
GC-Zakaria-80,57.0,37.0,5.0,100.0
Rajeesh_suthar,0.0,0.0,0.0,0.0
Noponhurja,55.0,45.0,0.0,100.0
epsilondelta2718,52.0,43.0,5.0,100.0
Claudiman,38.0,50.0,11.0,54.0
doctor67,51.0,42.0,7.0,100.0
NAUTILUS1987,48.0,46.0,6.0,100.0
pro100_pasha_73RUS,56.0,38.0,6.0,100.0
RVF_Caissa,56.0,40.0,4.0,100.0
Horizon3,61.0,39.0,0.0,100.0
SPABERLEND,0.0,0.0,0.0,0.0
Andelush,42.0,49.0,9.0,100.0
itsfungus,46.0,50.0,4.0,100.0
grandficher,54.0,40.0,6.0,100.0
Aduchi,40.0,57.0,2.0,100.0
yolan1thenob,75.0,12.0,12.0,24.0
Arun_Srivatsan,55.0,43.0,2.0,100.0
Volts123,49.0,46.0,5.0,100.0
Eduardoalarcon,55.0,43.0,2.0,100.0
annapolivaeva,28.0,71.0,0.0,100.0
obilv,48.0,43.0,9.0,100.0
enxadrista7,55.0,44.0,1.0,100.0
Badalov_Eduard_1951,49.0,47.0,4.0,100.0
Makabusung07,56.0,42.0,2.0,100.0
misspenny20,38.0,55.0,5.0,54.0
Rodrivas_11,45.0,49.0,6.0,100.0
MOSSAD1984,0.0,0.0,0.0,0.0
Sok2020,35.0,63.0,2.0,100.0
himanshgothwal,54.0,45.0,0.0,33.0
veljo1987,47.0,42.0,11.0,100.0
mojtaba214,44.0,52.0,4.0,100.0
Sasha_Lopatnikova,0.0,0.0,0.0,0.0
SenneP,42.0,56.0,2.0,100.0
vikan123,48.0,49.0,3.0,100.0
karpasparov,55.0,29.0,14.0,81.0
MaximPopov18,45.0,54.0,0.0,33.0
Akimushkin_Roman,64.0,31.0,5.0,100.0
MHabb,59.0,40.0,1.0,100.0
lopesllucas,57.0,38.0,4.0,100.0
rldrez,43.0,51.0,6.0,100.0
kuderok-006,56.0,41.0,3.0,100.0
folniak,0.0,0.0,0.0,0.0
air-ron,39.0,52.0,9.0,100.0
Artandar,33.0,66.0,0.0,27.0
SuzuneSetsu,47.0,45.0,7.0,97.0
AndresDyer5536,45.0,48.0,7.0,100.0
PTCRUISER,52.0,44.0,4.0,100.0
MaksimV10,0.0,0.0,0.0,0.0
luigianedda,43.0,50.0,7.0,100.0
Violeta69,42.0,56.0,2.0,100.0
bvb774,55.0,39.0,6.0,100.0
hardikg2001,0.0,0.0,0.0,0.0
Vdmko,0.0,0.0,0.0,0.0
fridlyst,53.0,43.0,4.0,100.0
Endritith,37.0,62.0,0.0,81.0
DhRuThIN,41.0,53.0,6.0,100.0
MagnusAlexander,46.0,54.0,0.0,100.0
stalker03,0.0,0.0,0.0,0.0
ringout,52.0,44.0,4.0,100.0
Paintmaster,49.0,48.0,3.0,100.0
DiagonaleTV,56.0,41.0,3.0,100.0
Berseker_muito_pro,0.0,100.0,0.0,1.0
checkmate2428,47.0,49.0,4.0,100.0
feova,53.0,43.0,4.0,100.0
sportnets,47.0,49.0,4.0,100.0
