user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,op_id,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
bashir23,46.0,51.0,3.0,100.0,1383.0,1380-1399,saberkhairy,1,53.0,42.0,5.0,100.0
ioooHoooi,50.0,50.0,0.0,6.0,1665.0,1660-1679,W76en,1,58.0,41.0,0.0,87.0
Ramazan0800,48.0,49.0,3.0,100.0,1365.0,1360-1379,bergeramitchess,-1,43.0,56.0,1.0,100.0
ferhat_atbas36,62.0,38.0,0.0,100.0,811.0,800-819,Aleks-007,0,,,,
aeppler,39.0,53.0,8.0,100.0,1644.0,1640-1659,dusanpina,-1,47.0,46.0,7.0,100.0
gfrancis_6,20.0,80.0,0.0,15.0,1291.0,1280-1299,Deku03,1,100.0,0.0,0.0,9.0
Franz_Fleishhacker,56.0,36.0,8.0,100.0,2052.0,2040-2059,CanterosMario,1,60.0,36.0,4.0,100.0
crazycrab,48.0,46.0,6.0,100.0,2001.0,2000-2019,ladja64,1,,,,
Patapumpfete,41.0,52.0,7.0,100.0,1838.0,1820-1839,ChessUSA007,-1,49.0,43.0,8.0,100.0
elchapulinsin,67.0,27.0,6.0,100.0,2185.0,2180-2199,Chessterx07,-1,50.0,42.0,7.0,84.0
Nhloso,46.0,51.0,3.0,100.0,1586.0,1580-1599,denixoid,1,39.0,56.0,4.0,100.0
Justo73,50.0,50.0,0.0,6.0,917.0,900-919,edureis_sjcampos,1,50.0,50.0,0.0,12.0
AFERROB,55.0,41.0,4.0,100.0,1550.0,1540-1559,Vakonkx,1,10.0,90.0,0.0,10.0
NiceTry_GG,45.0,39.0,16.0,100.0,1363.0,1360-1379,rus31r,1,51.0,41.0,8.0,100.0
masturbyte1,56.0,44.0,0.0,100.0,1168.0,1160-1179,Eulenkind49,1,43.0,46.0,11.0,100.0
neighdork,56.0,44.0,0.0,100.0,1860.0,1840-1859,cimnono,1,49.0,47.0,4.0,100.0
fourknght,53.0,46.0,0.0,45.0,2078.0,2060-2079,sheldon66,1,,,,
pascalquartenoud,33.0,66.0,0.0,9.0,1416.0,1400-1419,GrandWizardMaster,1,35.0,57.0,7.0,42.0
Thomas_op13,0.0,100.0,0.0,9.0,1326.0,1320-1339,ibraheem_qm,1,50.0,50.0,0.0,6.0
GERAmini,54.0,40.0,6.0,100.0,2255.0,2240-2259,WWWgoogle,-1,70.0,29.0,0.0,51.0
NeworldsPS,50.0,40.0,10.0,30.0,1772.0,1760-1779,bymat53,1,0.0,100.0,0.0,3.0
AllRino,50.0,46.0,3.0,96.0,1625.0,1620-1639,BenKian,1,,,,
WarriorParth27,0.0,100.0,0.0,1.0,1258.0,1240-1259,Bizov,1,,,,
carried5,44.0,53.0,3.0,100.0,1440.0,1420-1439,Kitchpuri,-1,56.0,40.0,4.0,100.0
rv1ces,0.0,100.0,0.0,3.0,1915.0,1900-1919,ismailalsudani,-1,,,,
Aylenlf,48.0,51.0,1.0,100.0,1577.0,1560-1579,ShawnParkinsn,1,38.0,59.0,3.0,100.0
coolie95,39.0,56.0,4.0,100.0,2013.0,2000-2019,Amapamapamapa,1,21.0,75.0,4.0,100.0
vLegitZ,51.0,48.0,1.0,100.0,1553.0,1540-1559,BaNsofwa,1,48.0,49.0,3.0,100.0
MigueFernandez,0.0,100.0,0.0,3.0,1963.0,1960-1979,Blunderfy,-1,,,,
JulioManuel,49.0,49.0,2.0,100.0,1751.0,1740-1759,dog11,1,52.0,45.0,3.0,100.0
Trader72,61.0,15.0,24.0,100.0,2612.0,2600-2619,DeepDiego,-1,100.0,0.0,0.0,9.0
SerbianEagle021,72.0,24.0,4.0,75.0,1831.0,1820-1839,Uschiotze,1,100.0,0.0,0.0,3.0
nutchthehunt,55.0,38.0,5.0,54.0,1784.0,1780-1799,Darknight22548,-1,47.0,49.0,4.0,100.0
Djoy11,37.0,61.0,2.0,100.0,1612.0,1600-1619,greyyx,1,48.0,49.0,3.0,100.0
palet_master,55.0,42.0,3.0,100.0,1925.0,1920-1939,Nurzhan_Meirkhanov7,1,46.0,52.0,2.0,100.0
dayemit,0.0,100.0,0.0,3.0,1520.0,1500-1519,,-1,,,,
neel786,45.0,55.0,0.0,100.0,1716.0,1700-1719,renatherion,-1,55.0,41.0,4.0,100.0
Danialnajuan111,28.0,71.0,0.0,63.0,966.0,960-979,wanaisyah2010,-1,47.0,52.0,0.0,57.0
WerderFan007,52.0,42.0,6.0,100.0,1954.0,1940-1959,DIAB1,1,44.0,48.0,8.0,100.0
aamsulaeman2,56.0,34.0,8.0,69.0,1812.0,1800-1819,Schalk,-1,52.0,47.0,1.0,100.0
kl1172,39.0,56.0,5.0,100.0,1473.0,1460-1479,annihilate,1,17.0,79.0,4.0,100.0
MNMoslem,47.0,50.0,3.0,100.0,2094.0,2080-2099,Tarnopov,1,49.0,45.0,6.0,100.0
alimr212,47.0,51.0,2.0,100.0,1496.0,1480-1499,RAMAZAN73,1,41.0,51.0,8.0,100.0
Druzhinin_nik,44.0,51.0,5.0,100.0,1458.0,1440-1459,crenlot,0,50.0,46.0,4.0,100.0
jacksofia,46.0,51.0,3.0,100.0,1499.0,1480-1499,ela0454,-1,52.0,41.0,7.0,100.0
shoodowopwop,42.0,52.0,6.0,100.0,1280.0,1260-1279,Ever_Tovar,-1,50.0,37.0,13.0,100.0
Dojolp,52.0,47.0,1.0,100.0,1622.0,1620-1639,Shohraty2000,-1,61.0,32.0,7.0,100.0
terstenbirinci,52.0,45.0,2.0,75.0,1595.0,1580-1599,rustemv,1,44.0,55.0,1.0,100.0
aidotours,50.0,50.0,0.0,6.0,1351.0,1340-1359,panteliymon,1,50.0,33.0,16.0,18.0
roygbiv,33.0,65.0,2.0,100.0,1538.0,1520-1539,tere67,1,100.0,0.0,0.0,3.0
ANTOMOSQUITA,26.0,73.0,1.0,100.0,1568.0,1560-1579,Navman,-1,0.0,100.0,0.0,3.0
GoneTwoThree,51.0,40.0,9.0,100.0,2096.0,2080-2099,ElPeakyBlinder,-1,65.0,31.0,4.0,100.0
i1312,57.0,40.0,2.0,100.0,1366.0,1360-1379,Birdnest-on-my-rook,1,51.0,46.0,3.0,100.0
OscarFG,47.0,45.0,8.0,100.0,2137.0,2120-2139,Mikael2311,-1,53.0,38.0,9.0,100.0
Tony0g7,41.0,54.0,5.0,100.0,1435.0,1420-1439,Benedikt1709,-1,43.0,45.0,12.0,100.0
komone_komote,31.0,66.0,3.0,100.0,1251.0,1240-1259,Nurlan8989,1,52.0,45.0,3.0,100.0
danielsalvalaio,49.0,46.0,5.0,100.0,1499.0,1480-1499,vraj73,1,52.0,47.0,1.0,100.0
Secretaccount2110,46.0,36.0,18.0,100.0,1463.0,1460-1479,rohitkp_234,0,38.0,52.0,10.0,100.0
Alejo_castariza,45.0,50.0,5.0,60.0,1742.0,1740-1759,grossedrangsalkam,1,49.0,46.0,5.0,100.0
javimaufermu,57.0,36.0,5.0,57.0,2070.0,2060-2079,Chernobrovin,1,41.0,54.0,5.0,100.0
larastar,37.0,62.0,0.0,24.0,1356.0,1340-1359,FrozenFractals,1,0.0,0.0,100.0,3.0
bosco44,51.0,44.0,5.0,100.0,1918.0,1900-1919,Sajaldas,-1,55.0,42.0,3.0,100.0
mariozivovic,40.0,60.0,0.0,45.0,1865.0,1860-1879,Ekliptik39,-1,,,,
vuksmart7,48.0,45.0,7.0,100.0,1889.0,1880-1899,joachimszuflita,0,55.0,39.0,6.0,100.0
Lirzad,38.0,53.0,7.0,39.0,1477.0,1460-1479,Maxim1966,-1,0.0,100.0,0.0,3.0
tb4win,41.0,55.0,4.0,100.0,1727.0,1720-1739,sphinx99,1,46.0,50.0,4.0,100.0
hiskia_daimari,45.0,53.0,2.0,100.0,1358.0,1340-1359,shalaika,1,47.0,47.0,6.0,100.0
Natanail,41.0,55.0,3.0,87.0,1181.0,1180-1199,SudoKnight,1,,,,
merterimtek,41.0,55.0,4.0,100.0,1096.0,1080-1099,MatthewBecker27,0,46.0,46.0,7.0,39.0
jibisme,66.0,33.0,0.0,9.0,1659.0,1640-1659,Markost1985,-1,78.0,14.0,7.0,42.0
zacharyfeds,51.0,47.0,2.0,100.0,1864.0,1860-1879,santaklass,-1,33.0,66.0,0.0,27.0
PonzianiMaster,34.0,46.0,19.0,78.0,2502.0,2500-2519,Stripedgirafe,1,46.0,49.0,5.0,100.0
marcos500,54.0,46.0,0.0,100.0,1626.0,1620-1639,Vyselki1960,1,39.0,56.0,5.0,100.0
RamonCobo,39.0,53.0,8.0,100.0,1656.0,1640-1659,hhc8,-1,50.0,46.0,4.0,100.0
alirezattavakoli,21.0,79.0,0.0,100.0,1237.0,1220-1239,slava3000,-1,,,,
ligu88,45.0,50.0,5.0,100.0,1447.0,1440-1459,goyitoGGM,1,51.0,48.0,1.0,100.0
JPaul_6,29.0,62.0,7.0,81.0,2048.0,2040-2059,NikiPld,-1,46.0,46.0,8.0,100.0
jonatan-jaguaretama,54.0,45.0,0.0,33.0,1956.0,1940-1959,timo219300,1,,,,
rajupagla,49.0,50.0,1.0,100.0,1216.0,1200-1219,KennedyJamuJr,0,41.0,54.0,5.0,100.0
V_GAL,56.0,42.0,2.0,100.0,2068.0,2060-2079,Anabus0506,1,51.0,45.0,4.0,100.0
Marijuana000,48.0,51.0,1.0,100.0,1237.0,1220-1239,Flayvos777,-1,51.0,43.0,6.0,100.0
JohnJonzee,41.0,58.0,0.0,93.0,1321.0,1320-1339,AEKMURDER,1,51.0,38.0,11.0,100.0
LWalden,20.0,80.0,0.0,30.0,1192.0,1180-1199,FreeRedEagle,-1,,,,
Almeidaking,46.0,52.0,2.0,100.0,1423.0,1420-1439,LUBERT23,-1,51.0,46.0,3.0,100.0
alhazie007,57.0,38.0,4.0,100.0,1686.0,1680-1699,andiandika,-1,55.0,42.0,3.0,100.0
BARROS30,45.0,50.0,5.0,100.0,1824.0,1820-1839,mrsafari1969,1,47.0,49.0,4.0,100.0
Dabiz64,51.0,46.0,3.0,100.0,1720.0,1700-1719,Jailos,1,50.0,44.0,6.0,100.0
masuchess,45.0,53.0,2.0,100.0,1230.0,1220-1239,taheriiiiiiuuuuui,-1,43.0,51.0,6.0,100.0
Mark_S_Ingcad,50.0,50.0,0.0,6.0,2165.0,2160-2179,Kokomuci,-1,,,,
goskov,46.0,47.0,7.0,100.0,1864.0,1860-1879,SARLAHI,-1,51.0,47.0,2.0,100.0
Mayank0801,38.0,38.0,22.0,54.0,1150.0,1140-1159,amirh198,1,,,,
sukmibeautiful,50.0,50.0,0.0,6.0,1551.0,1540-1559,retadorV,-1,,,,
Evgeniy4169,100.0,0.0,0.0,3.0,1878.0,1860-1879,ElchinRassia,-1,45.0,53.0,2.0,100.0
KraLaz61,45.0,50.0,5.0,100.0,1397.0,1380-1399,theJumpingbishop,1,43.0,52.0,5.0,100.0
benlap,43.0,53.0,4.0,100.0,1210.0,1200-1219,blck_wht,1,52.0,48.0,0.0,100.0
Slavacat,50.0,46.0,4.0,100.0,1515.0,1500-1519,game-sleep-repeat,-1,46.0,49.0,5.0,100.0
Ricjame,44.0,55.0,1.0,100.0,1309.0,1300-1319,Mysicman,-1,52.0,45.0,3.0,100.0
erremme,52.0,44.0,4.0,100.0,1518.0,1500-1519,neilgrose1955,1,51.0,46.0,3.0,100.0
BasTienSeb,50.0,49.0,1.0,100.0,1413.0,1400-1419,daddy4455,1,64.0,34.0,2.0,100.0
Rathan8546,43.0,56.0,1.0,100.0,1350.0,1340-1359,volatilehammy,-1,45.0,50.0,5.0,100.0
That_ClassicalPlayer,45.0,27.0,27.0,11.0,1898.0,1880-1899,Said-Tursunov,-1,47.0,46.0,7.0,100.0
BonumPencsis,36.0,64.0,0.0,75.0,1194.0,1180-1199,Vanya_Melnev,1,59.0,40.0,0.0,66.0
tlomz,46.0,51.0,3.0,100.0,1780.0,1760-1779,Cooperating,-1,11.0,88.0,0.0,27.0
KaiqueM,49.0,45.0,6.0,100.0,1468.0,1460-1479,egbassam,1,38.0,55.0,7.0,100.0
Jaquetonsito23,30.0,68.0,2.0,100.0,1208.0,1200-1219,Dima_931103,-1,47.0,42.0,11.0,100.0
jloychin,0.0,75.0,25.0,12.0,2273.0,2260-2279,Dan206,-1,50.0,30.0,20.0,30.0
QuietQuitter,44.0,53.0,2.0,84.0,1657.0,1640-1659,w4ldas,1,47.0,49.0,4.0,100.0
majd7776,48.0,48.0,4.0,100.0,1668.0,1660-1679,karam2030,1,48.0,50.0,2.0,100.0
username1826,0.0,100.0,0.0,3.0,1410.0,1400-1419,volodymyr3001,-1,,,,
aleii91,52.0,43.0,4.0,74.0,1434.0,1420-1439,Malbah,-1,50.0,47.0,3.0,100.0
graagon,63.0,36.0,0.0,90.0,1930.0,1920-1939,mariasg11,-1,,,,
ja4516975,0.0,100.0,0.0,3.0,1618.0,1600-1619,hadyasaad69,-1,100.0,0.0,0.0,3.0
chamilton,54.0,38.0,8.0,100.0,1665.0,1660-1679,SG0815,1,33.0,33.0,33.0,18.0
bela-csi,42.0,52.0,6.0,100.0,1898.0,1880-1899,Rodney3857,-1,,,,
Akshi598,40.0,40.0,20.0,15.0,1011.0,1000-1019,maxim8r,-1,57.0,42.0,0.0,57.0
VaygeL,47.0,45.0,8.0,100.0,2065.0,2060-2079,ranjabov,-1,47.0,47.0,6.0,100.0
Hfjfjjf3157383,54.0,45.0,1.0,100.0,1251.0,1240-1259,nikhilkvora,-1,55.0,44.0,0.0,27.0
ababol40,48.0,47.0,5.0,100.0,1432.0,1420-1439,Alexei1223,-1,46.0,47.0,7.0,100.0
eyad187,45.0,52.0,3.0,100.0,1378.0,1360-1379,Galaxia2000,-1,52.0,44.0,4.0,100.0
blue_Air1,33.0,66.0,0.0,27.0,1304.0,1300-1319,aanvlmr,-1,40.0,60.0,0.0,100.0
Zsolt1981,38.0,57.0,4.0,63.0,728.0,720-739,bighapalovo,1,25.0,75.0,0.0,60.0
arigoro,51.0,44.0,5.0,100.0,1614.0,1600-1619,Thomeq_Atherion,-1,45.0,50.0,5.0,100.0
Kienbeo123,39.0,56.0,4.0,23.0,1039.0,1020-1039,Debraj25,-1,16.0,83.0,0.0,6.0
Simmmo,45.0,54.0,0.0,33.0,2117.0,2100-2119,LARMCHESS,-1,43.0,46.0,11.0,100.0
Argargarg,48.0,50.0,2.0,100.0,1958.0,1940-1959,osmantas,-1,46.0,52.0,2.0,100.0
nyug48,56.0,40.0,4.0,100.0,2042.0,2040-2059,Catch22Sqd,-1,49.0,43.0,8.0,100.0
youssefgamal11,55.0,44.0,0.0,27.0,1784.0,1780-1799,macedo_03,0,33.0,60.0,6.0,45.0
BOLONGJOZZ,51.0,47.0,2.0,100.0,1655.0,1640-1659,EloRusher,-1,75.0,23.0,2.0,100.0
Dmitri1985,28.0,66.0,4.0,63.0,1204.0,1200-1219,goooppp,-1,46.0,54.0,0.0,100.0
gramrusjr,26.0,65.0,9.0,100.0,1261.0,1260-1279,Luigi_TM,-1,76.0,24.0,0.0,100.0
Almanueva93,42.0,52.0,6.0,100.0,1989.0,1980-1999,Gerrard11,1,,,,
AkJn,50.0,44.0,6.0,100.0,2026.0,2020-2039,kayjo,0,48.0,49.0,3.0,100.0
karllkory,46.0,43.0,11.0,100.0,1724.0,1720-1739,aagon,1,53.0,46.0,1.0,100.0
