user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,op_id,game_result
bashir23,46.0,51.0,3.0,100.0,1383.0,1380-1399,saberkhairy,1
ioooHoooi,50.0,50.0,0.0,6.0,1665.0,1660-1679,W76en,1
Ramazan0800,48.0,49.0,3.0,100.0,1365.0,1360-1379,bergeramitchess,-1
ferhat_atbas36,62.0,38.0,0.0,100.0,811.0,800-819,Aleks-007,0
aeppler,39.0,53.0,8.0,100.0,1644.0,1640-1659,dusanpina,-1
gfrancis_6,20.0,80.0,0.0,15.0,1291.0,1280-1299,Deku03,1
Franz_Fleishhacker,56.0,36.0,8.0,100.0,2052.0,2040-2059,CanterosMario,1
crazycrab,48.0,46.0,6.0,100.0,2001.0,2000-2019,ladja64,1
Patapumpfete,41.0,52.0,7.0,100.0,1838.0,1820-1839,ChessUSA007,-1
elchapulinsin,67.0,27.0,6.0,100.0,2185.0,2180-2199,Chessterx07,-1
Nhloso,46.0,51.0,3.0,100.0,1586.0,1580-1599,denixoid,1
Justo73,50.0,50.0,0.0,6.0,917.0,900-919,edureis_sjcampos,1
AFERROB,55.0,41.0,4.0,100.0,1550.0,1540-1559,Vakonkx,1
NiceTry_GG,45.0,39.0,16.0,100.0,1363.0,1360-1379,rus31r,1
masturbyte1,56.0,44.0,0.0,100.0,1168.0,1160-1179,Eulenkind49,1
neighdork,56.0,44.0,0.0,100.0,1860.0,1840-1859,cimnono,1
fourknght,53.0,46.0,0.0,45.0,2078.0,2060-2079,sheldon66,1
pascalquartenoud,33.0,66.0,0.0,9.0,1416.0,1400-1419,GrandWizardMaster,1
Thomas_op13,0.0,100.0,0.0,9.0,1326.0,1320-1339,ibraheem_qm,1
GERAmini,54.0,40.0,6.0,100.0,2255.0,2240-2259,WWWgoogle,-1
NeworldsPS,50.0,40.0,10.0,30.0,1772.0,1760-1779,bymat53,1
AllRino,50.0,46.0,3.0,96.0,1625.0,1620-1639,BenKian,1
WarriorParth27,0.0,100.0,0.0,1.0,1258.0,1240-1259,Bizov,1
carried5,44.0,53.0,3.0,100.0,1440.0,1420-1439,Kitchpuri,-1
rv1ces,0.0,100.0,0.0,3.0,1915.0,1900-1919,ismailalsudani,-1
Aylenlf,48.0,51.0,1.0,100.0,1577.0,1560-1579,ShawnParkinsn,1
coolie95,39.0,56.0,4.0,100.0,2013.0,2000-2019,Amapamapamapa,1
vLegitZ,51.0,48.0,1.0,100.0,1553.0,1540-1559,BaNsofwa,1
MigueFernandez,0.0,100.0,0.0,3.0,1963.0,1960-1979,Blunderfy,-1
JulioManuel,49.0,49.0,2.0,100.0,1751.0,1740-1759,dog11,1
