,user_id,blitz_rating,total_games_played
0,engsultan00,1768.0,13599
1,Panfi,1351.0,8551
2,rsk86,1460.0,797
3,mercanet,1743.0,10282
4,cool-chess-21,1690.0,4165
5,bhavyamarella,1016.0,566
6,amirdna2000,1654.0,859
7,FrankJNG,1768.0,1428
8,HosSseiN1,1227.0,79
9,cironine999,1785.0,6754
10,chessenthusiast2,1439.0,4499
11,derwolf21,1705.0,15279
12,mmchess2023,1308.0,261
13,Oguzalp13,1228.0,212
14,Evalena2024,1739.0,7587
15,DanHarner,1712.0,1555
16,mm576,1590.0,10077
17,Krabulut,1100.0,517
18,the_think_machine,1249.0,2
19,lionsden19,1701.0,22
20,s7alamen,1801.0,5840
21,Marifercristobal,1189.0,222
22,maz350_k1,1805.0,52344
23,Beemsterboa,1838.0,1884
24,big-bad,908.0,1198
25,Cyanideandhappiness,1465.0,50
26,lvbnhbq1982,1338.0,3350
27,Bobbynae,1771.0,75
28,fortaken,1496.0,4262
29,jonateng,1432.0,2050
30,schachsinnig,1635.0,1473
31,BMBenito_2016_Tugue,1359.0,790
32,bobsonx10,1493.0,425
33,vahid1402,1228.0,4968
34,harrisonpeen65,1687.0,265
35,BenWeb1664,1238.0,115
36,VaChechnev,1768.0,3160
37,SirNefarious630,1816.0,88
38,GramBoLubie66,1745.0,1307
39,tshifeler,1466.0,1890
40,foreverStuck,1773.0,12536
41,soloview,1386.0,25366
42,Kawabanga222,1734.0,1496
43,NiemannFan,1381.0,544
44,Rawoul,1399.0,129
45,tolezet,1827.0,257
46,mangosta_1962,1499.0,9599
47,wdfub1,1232.0,132
48,P3rrys0n,1438.0,7720
49,Alexkonstbg,1886.0,1470
50,Sp1aw,1170.0,29
51,OLEGPLAYER152,1471.0,372
52,Endgamelost,1588.0,5
53,timlawson,1872.0,2335
54,AhmedHonda1986,1860.0,3679
55,gittilayke,1465.0,2401
56,ramac-bartol,1839.0,2401
57,bluecow1,1818.0,7055
58,AvBurakhan,1526.0,719
59,dukicmond,1730.0,4598
60,northern_monkey,1761.0,2163
61,mmevlutbyr,1462.0,1576
62,D4boss,1581.0,541
63,cursedfg,1378.0,82
64,zdarzbrum,1521.0,9842
65,deestar,1709.0,2259
66,bachmoch90,1426.0,10242
67,mehmeto,1466.0,1745
68,dvsuhov,1500.0,0
69,RoseWhite,1038.0,1575
70,potamianov,1841.0,140
