user_id,blitz_rating,highest_blitz_opponent_rating,second_highest_blitz_opponent_rating,third_highest_blitz_opponent_rating
engsultan00,1768.0,2221.0,2207.0,2126.0
Panfi,1351.0,1557.0,1548.0,1546.0
rsk86,1460.0,1574.0,1566.0,1543.0
mercanet,1743.0,1922.0,1917.0,1917.0
cool-chess-21,1690.0,1993.0,1959.0,1940.0
bhavyamarella,1016.0,1644.0,1641.0,1625.0
amirdna2000,1654.0,1711.0,1706.0,1695.0
FrankJNG,1768.0,2285.0,2039.0,2003.0
HosSseiN1,1227.0,1498.0,1469.0,1414.0
cironine999,1785.0,2220.0,2206.0,2188.0
chessenthusiast2,1439.0,1837.0,1623.0,1616.0
derwolf21,1705.0,2043.0,2029.0,2025.0
mmchess2023,1308.0,1427.0,1388.0,1388.0
Oguzalp13,1228.0,1783.0,1773.0,1729.0
Evalena2024,1739.0,2119.0,2001.0,1995.0
DanHarner,1712.0,1765.0,1762.0,1736.0
mm576,1590.0,2317.0,2249.0,2207.0
Krabulut,1100.0,1281.0,1255.0,1251.0
the_think_machine,1249.0,,,
lionsden19,1701.0,1864.0,1820.0,1807.0
s7alamen,1801.0,2089.0,2086.0,2037.0
Marifercristobal,1189.0,1807.0,1539.0,1504.0
maz350_k1,1805.0,1986.0,1979.0,1971.0
Beemsterboa,1838.0,2290.0,2179.0,2167.0
big-bad,908.0,1546.0,1071.0,1031.0
Cyanideandhappiness,1465.0,1573.0,1535.0,1529.0
lvbnhbq1982,1338.0,1944.0,1860.0,1851.0
Bobbynae,1771.0,1929.0,1929.0,1927.0
fortaken,1496.0,2101.0,2029.0,2013.0
jonateng,1432.0,1565.0,1539.0,1529.0
schachsinnig,1635.0,1984.0,1837.0,1831.0
BMBenito_2016_Tugue,1359.0,2210.0,2093.0,1908.0
bobsonx10,1493.0,1615.0,1592.0,1591.0
vahid1402,1228.0,1345.0,1339.0,1329.0
harrisonpeen65,1687.0,1733.0,1708.0,1704.0
BenWeb1664,1238.0,1366.0,1366.0,1357.0
VaChechnev,1768.0,1907.0,1899.0,1896.0
SirNefarious630,1816.0,1960.0,1939.0,1911.0
GramBoLubie66,1745.0,2026.0,2008.0,2001.0
tshifeler,1466.0,1812.0,1624.0,1526.0
foreverStuck,1773.0,1944.0,1925.0,1913.0
soloview,1386.0,2121.0,2059.0,1928.0
Kawabanga222,1734.0,2321.0,2078.0,1976.0
NiemannFan,1381.0,1684.0,1677.0,1656.0
Rawoul,1399.0,1725.0,1722.0,1708.0
tolezet,1827.0,1889.0,1850.0,1826.0
mangosta_1962,1499.0,2331.0,2238.0,2198.0
wdfub1,1232.0,1519.0,1516.0,1447.0
P3rrys0n,1438.0,1742.0,1727.0,1726.0
Alexkonstbg,1886.0,2259.0,2126.0,2058.0
Sp1aw,1170.0,1361.0,1175.0,1136.0
OLEGPLAYER152,1471.0,1595.0,1526.0,1510.0
Endgamelost,1588.0,,,
timlawson,1872.0,2053.0,2041.0,2037.0
AhmedHonda1986,1860.0,2065.0,2041.0,2030.0
gittilayke,1465.0,1595.0,1585.0,1579.0
ramac-bartol,1839.0,2005.0,1986.0,1979.0
bluecow1,1818.0,2082.0,2044.0,2025.0
AvBurakhan,1526.0,1677.0,1675.0,1644.0
dukicmond,1730.0,2024.0,1988.0,1987.0
northern_monkey,1761.0,1980.0,1935.0,1933.0
mmevlutbyr,1462.0,1576.0,1563.0,1556.0
D4boss,1581.0,1834.0,1820.0,1803.0
cursedfg,1378.0,1455.0,1446.0,1408.0
